date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,5.51,12.4,121.4,24.3,0.43
2000-01-02,2,5.5,0.0,94.9,22.2,0.67
2000-01-03,3,5.52,0.0,155.0,22.2,0.56
2000-01-04,4,5.52,2.9,47.8,25.5,0.68
2000-01-05,5,5.4,0.0,70.9,20.9,0.49
2000-01-06,6,5.35,3.0,91.2,25.3,0.75
2000-01-07,7,5.38,4.9,69.3,21.6,0.66
2000-01-08,8,5.24,0.0,182.7,22.8,0.66
2000-01-09,9,5.07,0.0,121.0,24.7,0.63
2000-01-10,10,5.02,5.6,184.3,23.9,0.61
2000-01-11,11,5.13,0.0,172.3,23.7,0.57
2000-01-12,12,5.15,0.0,122.3,22.7,0.54
2000-01-13,13,5.14,0.0,164.4,27.3,0.66
2000-01-14,14,5.33,9.6,96.0,22.6,0.49
2000-01-15,15,5.34,16.4,106.5,24.1,0.4
2000-01-16,16,5.23,10.7,57.5,25.1,0.41
2000-01-17,17,5.23,8.5,133.6,26.7,0.66
2000-01-18,18,5.15,12.4,148.0,22.3,0.53
2000-01-19,19,4.98,0.0,156.1,24.9,0.63
2000-01-20,20,4.95,0.0,110.1,22.4,0.53
2000-01-21,21,5.05,0.0,94.3,23.7,0.55
2000-01-22,22,5.1,0.0,93.1,25.5,0.65
2000-01-23,23,5.07,10.7,33.9,22.8,0.42
2000-01-24,24,5.08,8.4,136.1,26.7,0.57
2000-01-25,25,4.92,0.0,136.1,23.6,0.7
2000-01-26,26,4.79,0.0,156.7,25.4,0.64
2000-01-27,27,4.75,3.3,75.9,28.8,0.76
2000-01-28,28,4.52,0.0,174.3,27.9,0.66
2000-01-29,29,4.72,0.0,97.2,26.8,0.75
2000-01-30,30,4.68,16.1,82.6,24.5,0.37
2000-01-31,31,4.62,5.7,97.8,24.5,0.52
2000-02-01,32,4.77,0.0,92.4,27.6,0.78
2000-02-02,33,4.73,7.1,151.7,28.1,0.62
2000-02-03,34,4.73,4.2,159.9,28.5,0.79
2000-02-04,35,4.8,0.0,71.5,30.1,0.88
2000-02-05,36,4.68,0.0,205.4,27.8,0.72
2000-02-06,37,4.7,0.0,179.9,28.0,0.68
2000-02-07,38,4.58,1.9,86.0,27.6,0.69
2000-02-08,39,4.53,0.0,35.0,27.4,0.64
2000-02-09,40,4.63,7.3,127.1,29.1,0.58
2000-02-10,41,4.53,0.0,62.4,28.0,0.74
2000-02-11,42,4.54,0.0,83.3,29.6,0.82
2000-02-12,43,4.55,0.0,56.8,28.3,0.72
2000-02-13,44,4.49,0.0,65.5,31.5,0.86
2000-02-14,45,4.47,1.9,56.4,27.3,0.67
2000-02-15,46,4.66,0.0,149.4,28.8,0.84
2000-02-16,47,4.78,0.0,57.9,32.1,0.85
2000-02-17,48,4.72,0.0,84.4,31.3,0.86
2000-02-18,49,4.68,0.0,39.2,29.5,0.84
2000-02-19,50,4.69,0.0,138.2,29.6,0.71
2000-02-20,51,4.67,0.0,97.7,30.3,0.73
2000-02-21,52,4.58,0.0,113.1,27.3,0.83
2000-02-22,53,4.38,0.0,133.2,30.9,0.85
2000-02-23,54,4.21,0.0,209.6,33.1,0.84
2000-02-24,55,4.1,0.0,148.1,29.8,0.83
2000-02-25,56,3.87,2.6,63.5,33.5,0.93
2000-02-26,57,3.75,1.4,141.4,28.1,0.78
2000-02-27,58,3.76,0.0,80.7,33.8,0.97
2000-02-28,59,3.72,0.0,138.5,30.1,0.83
2000-02-29,60,3.65,0.6,140.2,31.9,0.88
2000-03-01,61,3.87,0.0,63.0,30.1,1.02
2000-03-02,62,3.92,0.0,65.1,31.0,1.04
2000-03-03,63,4.07,0.0,100.7,30.2,1.05
2000-03-04,64,3.98,27.2,97.8,34.6,0.89
