date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,4.63,0.0,147.1,23.4,0.58
2000-01-02,2,4.66,0.0,162.3,26.2,0.69
2000-01-03,3,4.6,3.6,109.5,20.5,0.64
2000-01-04,4,4.65,0.0,139.7,21.5,0.57
2000-01-05,5,4.63,5.6,89.2,23.7,0.57
2000-01-06,6,4.78,0.0,64.1,22.4,0.68
2000-01-07,7,4.92,0.0,85.4,25.7,0.65
2000-01-08,8,5.01,11.2,84.1,22.5,0.45
2000-01-09,9,5.06,0.0,123.5,24.4,0.57
2000-01-10,10,5.09,15.4,173.9,26.3,0.41
2000-01-11,11,5.22,12.5,148.7,24.3,0.42
2000-01-12,12,5.09,0.0,156.0,23.4,0.69
2000-01-13,13,5.27,67.6,52.5,22.9,0.53
2000-01-14,14,5.26,14.2,72.9,23.1,0.46
2000-01-15,15,5.24,64.6,102.2,22.7,0.44
2000-01-16,16,5.06,14.2,196.5,24.3,0.52
2000-01-17,17,4.85,16.3,72.5,26.0,0.51
2000-01-18,18,4.85,0.0,139.1,23.4,0.56
2000-01-19,19,4.88,0.0,196.9,27.2,0.68
2000-01-20,20,4.93,0.0,69.7,25.4,0.74
2000-01-21,21,5.02,61.1,84.6,23.3,0.44
2000-01-22,22,4.84,0.0,89.0,23.5,0.73
2000-01-23,23,4.77,0.0,113.0,25.7,0.68
2000-01-24,24,4.5,0.0,77.5,27.6,0.77
2000-01-25,25,4.37,0.0,82.2,24.7,0.74
2000-01-26,26,4.39,0.0,193.3,28.5,0.68
2000-01-27,27,4.45,36.4,218.3,28.0,0.58
2000-01-28,28,4.57,0.0,147.6,28.7,0.68
2000-01-29,29,4.53,0.0,188.7,29.1,0.73
2000-01-30,30,4.57,0.9,118.1,28.8,0.68
2000-01-31,31,4.75,0.0,209.1,29.8,0.84
2000-02-01,32,4.83,0.0,108.8,29.6,0.79
2000-02-02,33,5.06,0.0,99.9,29.9,0.86
2000-02-03,34,5.25,8.0,171.5,29.3,0.71
2000-02-04,35,5.26,0.0,152.6,27.1,0.77
2000-02-05,36,5.14,0.0,80.6,28.1,0.74
2000-02-06,37,5.11,7.2,110.9,25.1,0.49
2000-02-07,38,5.06,0.0,109.4,26.8,0.68
2000-02-08,39,4.93,0.0,87.0,27.9,0.73
2000-02-09,40,4.84,0.0,194.7,28.8,0.84
2000-02-10,41,4.86,0.0,55.0,28.4,0.76
2000-02-11,42,4.9,11.7,88.0,26.2,0.44
2000-02-12,43,5.01,10.5,60.7,29.2,0.63
2000-02-13,44,4.84,0.0,146.4,28.5,0.78
2000-02-14,45,4.81,10.0,122.6,30.0,0.63
2000-02-15,46,4.73,0.0,165.7,31.4,0.83
2000-02-16,47,4.76,0.0,105.2,29.7,0.7
2000-02-17,48,4.74,0.0,161.8,31.1,0.83
2000-02-18,49,4.7,0.0,40.9,31.5,0.94
2000-02-19,50,4.78,0.0,170.6,27.7,0.69
2000-02-20,51,4.84,0.0,61.8,30.2,0.78
2000-02-21,52,4.83,0.0,90.2,29.0,0.72
2000-02-22,53,5.01,0.0,90.0,32.2,0.84
2000-02-23,54,4.91,0.5,103.7,32.2,0.78
2000-02-24,55,4.95,2.4,129.4,30.4,0.83
2000-02-25,56,4.9,0.0,112.1,33.6,0.8
2000-02-26,57,4.86,0.0,64.5,28.7,0.85
2000-02-27,58,4.82,0.0,150.2,29.1,0.79
2000-02-28,59,4.74,0.0,155.9,30.8,0.86
2000-02-29,60,4.8,64.2,134.9,31.2,0.56
2000-03-01,61,4.68,0.0,87.3,33.8,1.1
2000-03-02,62,4.49,9.9,56.7,29.4,0.86
2000-03-03,63,4.53,0.0,90.5,32.2,1.03
2000-03-04,64,4.42,12.2,99.3,34.6,0.76
2000-03-05,65,4.36,0.0,175.3,33.6,1.18
2000-03-06,66,4.38,0.0,144.3,32.3,1.07
2000-03-07,67,4.4,3.2,92.2,32.2,1.04
2000-03-08,68,4.44,0.0,176.2,35.2,1.07
2000-03-09,69,4.46,9.4,106.7,31.0,0.88
2000-03-10,70,4.26,0.0,187.3,30.4,0.92
2000-03-11,71,4.28,0.0,212.3,31.2,1.08
2000-03-12,72,4.25,0.0,174.6,30.7,1.12
2000-03-13,73,4.36,0.0,179.6,32.6,0.99
2000-03-14,74,4.35,0.0,137.7,31.8,1.06
