date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,4.67,0.0,108.1,20.9,0.58
2000-01-02,2,4.49,0.0,98.4,24.2,0.7
2000-01-03,3,4.54,0.0,151.0,26.4,0.64
2000-01-04,4,4.6,1.4,150.0,20.9,0.53
2000-01-05,5,4.56,0.0,190.4,24.9,0.75
2000-01-06,6,4.85,11.9,109.6,22.3,0.39
2000-01-07,7,4.84,5.5,56.6,24.7,0.5
2000-01-08,8,4.98,0.0,43.3,26.9,0.78
2000-01-09,9,5.32,0.0,78.2,22.2,0.57
2000-01-10,10,5.23,6.0,90.0,21.9,0.53
2000-01-11,11,5.4,10.6,204.3,22.1,0.51
2000-01-12,12,5.38,7.8,137.1,21.6,0.6
2000-01-13,13,5.27,4.2,120.6,26.7,0.7
2000-01-14,14,4.98,0.0,171.2,26.2,0.74
2000-01-15,15,4.88,0.0,95.8,24.6,0.67
2000-01-16,16,4.7,0.0,84.6,22.8,0.73
2000-01-17,17,4.6,0.0,167.4,24.8,0.64
2000-01-18,18,4.33,0.0,109.4,26.8,0.63
2000-01-19,19,4.16,18.5,116.7,23.0,0.38
2000-01-20,20,4.12,0.0,157.0,27.4,0.77
2000-01-21,21,4.17,0.0,147.1,28.0,0.68
2000-01-22,22,4.27,0.0,172.8,23.0,0.67
2000-01-23,23,4.31,0.0,131.4,23.7,0.61
2000-01-24,24,4.31,0.0,148.5,23.5,0.59
2000-01-25,25,4.21,4.1,190.4,25.2,0.67
2000-01-26,26,4.18,0.0,87.0,24.0,0.59
2000-01-27,27,4.08,0.0,111.9,27.4,0.82
2000-01-28,28,4.09,3.9,156.2,29.4,0.71
2000-01-29,29,4.2,0.0,75.4,25.8,0.64
2000-01-30,30,4.04,0.0,163.4,27.7,0.78
2000-01-31,31,4.24,0.0,45.4,24.0,0.72
2000-02-01,32,4.22,0.0,90.9,28.9,0.73
2000-02-02,33,4.18,0.0,216.9,28.8,0.85
2000-02-03,34,4.37,0.0,63.0,28.5,0.76
2000-02-04,35,4.55,0.0,196.2,29.2,0.84
2000-02-05,36,4.48,8.5,115.5,29.4,0.72
2000-02-06,37,4.69,0.0,168.6,29.8,0.78
2000-02-07,38,4.6,2.1,78.1,27.8,0.66
2000-02-08,39,4.64,5.6,115.7,26.2,0.62
2000-02-09,40,4.73,0.0,175.9,25.9,0.66
2000-02-10,41,4.75,5.6,32.6,29.1,0.6
2000-02-11,42,4.89,84.4,65.3,27.3,0.6
