date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,3.55,12.4,121.4,24.3,0.43
2000-01-02,2,3.5,0.0,94.9,22.2,0.67
2000-01-03,3,3.47,0.0,155.0,22.2,0.56
2000-01-04,4,3.45,2.9,47.8,25.5,0.68
2000-01-05,5,3.33,0.0,70.9,20.9,0.49
2000-01-06,6,3.27,3.0,91.2,25.3,0.75
2000-01-07,7,3.28,4.9,69.3,21.6,0.66
2000-01-08,8,3.16,0.0,182.7,22.8,0.66
2000-01-09,9,3.03,0.0,121.0,24.7,0.63
2000-01-10,10,2.99,5.6,184.3,23.9,0.61
2000-01-11,11,3.06,0.0,172.3,23.7,0.57
2000-01-12,12,3.07,0.0,122.3,22.7,0.54
2000-01-13,13,3.06,0.0,164.4,27.3,0.66
2000-01-14,14,3.21,9.6,96.0,22.6,0.49
2000-01-15,15,3.24,16.4,106.5,24.1,0.4
2000-01-16,16,3.17,10.7,57.5,25.1,0.41
2000-01-17,17,3.18,8.5,133.6,26.7,0.66
2000-01-18,18,3.13,12.4,148.0,22.3,0.53
2000-01-19,19,3.0,0.0,156.1,24.9,0.63
2000-01-20,20,2.97,0.0,110.1,22.4,0.53
2000-01-21,21,3.04,0.0,94.3,23.7,0.55
2000-01-22,22,3.06,0.0,93.1,25.5,0.65
2000-01-23,23,3.05,10.7,33.9,22.8,0.42
2000-01-24,24,3.05,8.4,136.1,26.7,0.57
2000-01-25,25,2.93,0.0,136.1,23.6,0.7
2000-01-26,26,2.84,0.0,156.7,25.4,0.64
2000-01-27,27,2.82,3.3,75.9,28.8,0.76
2000-01-28,28,2.67,0.0,174.3,27.9,0.66
2000-01-29,29,2.81,0.0,97.2,26.8,0.75
2000-01-30,30,2.81,16.1,82.6,24.5,0.37
2000-01-31,31,2.79,5.7,97.8,24.5,0.52
2000-02-01,32,2.89,0.0,92.4,27.6,0.78
2000-02-02,33,2.88,7.1,151.7,28.1,0.62
2000-02-03,34,2.88,4.2,159.9,28.5,0.79
2000-02-04,35,2.91,0.0,71.5,30.1,0.88
2000-02-05,36,2.82,0.0,205.4,27.8,0.72
2000-02-06,37,2.84,0.0,179.9,28.0,0.68
2000-02-07,38,2.76,1.9,86.0,27.6,0.69
2000-02-08,39,2.72,0.0,35.0,27.4,0.64
2000-02-09,40,2.81,7.3,127.1,29.1,0.58
2000-02-10,41,2.73,0.0,62.4,28.0,0.74
2000-02-11,42,2.74,0.0,83.3,29.6,0.82
2000-02-12,43,2.74,0.0,56.8,28.3,0.72
2000-02-13,44,2.69,0.0,65.5,31.5,0.86
2000-02-14,45,2.69,1.9,56.4,27.3,0.67
2000-02-15,46,2.81,0.0,149.4,28.8,0.84
2000-02-16,47,2.88,0.0,57.9,32.1,0.85
2000-02-17,48,2.83,0.0,84.4,31.3,0.86
2000-02-18,49,2.79,0.0,39.2,29.5,0.84
2000-02-19,50,2.79,0.0,138.2,29.6,0.71
2000-02-20,51,2.78,0.0,97.7,30.3,0.73
2000-02-21,52,2.71,0.0,113.1,27.3,0.83
2000-02-22,53,2.57,0.0,133.2,30.9,0.85
2000-02-23,54,2.47,0.0,209.6,33.1,0.84
2000-02-24,55,2.4,0.0,148.1,29.8,0.83
2000-02-25,56,2.26,2.6,63.5,33.5,0.93
2000-02-26,57,2.2,1.4,141.4,28.1,0.78
2000-02-27,58,2.23,0.0,80.7,33.8,0.97
2000-02-28,59,2.22,0.0,138.5,30.1,0.83
2000-02-29,60,2.19,0.6,140.2,31.9,0.88
2000-03-01,61,2.37,0.0,63.0,30.1,1.02
2000-03-02,62,2.42,0.0,65.1,31.0,1.04
2000-03-03,63,2.53,0.0,100.7,30.2,1.05
2000-03-04,64,2.53,27.2,97.8,34.6,0.89
2000-03-05,65,2.58,0.0,65.9,32.5,1.1
2000-03-06,66,2.78,10.1,126.0,34.8,0.9
2000-03-07,67,2.91,12.1,184.3,34.3,0.78
2000-03-08,68,2.98,5.3,106.0,30.4,0.77
2000-03-09,69,3.0,0.8,129.2,31.7,1.08
2000-03-10,70,3.02,6.9,103.8,32.1,0.85
2000-03-11,71,2.85,2.9,179.2,34.3,1.04
2000-03-12,72,2.87,0.0,114.5,30.8,0.94
2000-03-13,73,2.82,0.0,87.1,34.1,1.04
2000-03-14,74,2.77,0.0,171.1,33.0,1.12
2000-03-15,75,2.8,7.3,85.1,34.2,1.03
2000-03-16,76,2.68,0.0,186.5,31.9,1.09
2000-03-17,77,2.63,4.8,206.1,33.0,1.17
2000-03-18,78,2.6,0.0,182.0,31.5,1.05
2000-03-19,79,2.53,6.5,155.7,36.0,1.03
2000-03-20,80,2.47,5.2,173.6,31.7,0.88
