date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,5.09,0.0,102.6,23.5,0.65
2000-01-02,2,5.21,2.4,166.7,26.1,0.68
2000-01-03,3,5.18,0.0,73.3,21.6,0.56
2000-01-04,4,5.29,0.0,42.3,24.8,0.61
2000-01-05,5,5.49,1.4,150.0,21.5,0.62
2000-01-06,6,5.73,0.0,116.2,23.4,0.69
2000-01-07,7,5.97,3.5,70.6,23.7,0.6
2000-01-08,8,6.06,0.0,125.0,21.0,0.67
2000-01-09,9,6.25,0.0,153.6,25.5,0.65
2000-01-10,10,6.17,0.0,168.4,26.2,0.78
2000-01-11,11,6.22,0.0,200.1,26.7,0.67
2000-01-12,12,6.29,3.7,153.8,25.8,0.66
2000-01-13,13,6.13,4.5,115.0,24.0,0.59
2000-01-14,14,6.03,0.0,123.1,26.4,0.77
2000-01-15,15,6.03,0.0,102.3,22.3,0.65
2000-01-16,16,6.05,20.1,169.5,27.6,0.56
2000-01-17,17,6.06,13.5,81.1,26.0,0.47
2000-01-18,18,6.05,0.0,109.0,25.2,0.69
2000-01-19,19,6.14,0.0,166.4,23.0,0.71
2000-01-20,20,6.01,0.0,134.6,23.2,0.7
2000-01-21,21,5.86,0.0,92.3,25.2,0.59
2000-01-22,22,5.82,0.0,73.0,24.6,0.71
2000-01-23,23,5.78,4.4,210.1,27.8,0.84
2000-01-24,24,5.84,0.0,134.5,28.7,0.86
2000-01-25,25,6.01,0.0,148.2,28.5,0.68
2000-01-26,26,6.01,13.4,212.3,23.7,0.45
2000-01-27,27,5.96,0.0,145.6,24.5,0.58
2000-01-28,28,5.98,1.4,127.2,29.2,0.7
2000-01-29,29,5.7,0.0,157.0,26.1,0.78
2000-01-30,30,5.66,16.0,90.0,28.3,0.46
2000-01-31,31,5.52,0.0,173.2,28.7,0.77
2000-02-01,32,5.21,0.0,62.1,27.5,0.74
2000-02-02,33,5.15,0.0,82.3,25.9,0.61
2000-02-03,34,5.19,8.9,129.7,25.2,0.68
2000-02-04,35,5.24,0.0,55.2,26.3,0.68
2000-02-05,36,5.42,0.0,54.0,24.7,0.64
2000-02-06,37,5.6,2.1,164.9,28.2,0.67
2000-02-07,38,5.79,0.0,111.2,25.3,0.75
2000-02-08,39,5.94,7.2,92.4,27.7,0.55
2000-02-09,40,5.9,0.0,174.0,28.6,0.7
2000-02-10,41,6.01,52.7,144.5,28.4,0.63
2000-02-11,42,5.91,13.2,159.9,25.8,0.52
2000-02-12,43,5.96,13.0,144.4,26.3,0.55
2000-02-13,44,5.71,0.0,109.2,31.1,0.84
2000-02-14,45,5.54,0.0,179.3,26.3,0.79
2000-02-15,46,5.42,6.1,154.4,26.4,0.68
2000-02-16,47,5.13,0.0,182.7,28.8,0.78
2000-02-17,48,5.16,0.0,161.1,29.3,0.71
2000-02-18,49,5.14,0.0,57.3,27.5,0.83
2000-02-19,50,5.09,0.0,175.4,31.8,0.76
2000-02-20,51,5.28,13.9,99.2,31.2,0.6
2000-02-21,52,5.07,0.0,147.2,29.6,0.7
2000-02-22,53,5.07,11.3,148.9,31.7,0.58
2000-02-23,54,5.01,0.0,108.1,27.7,0.74
2000-02-24,55,4.98,0.0,146.2,28.2,0.75
2000-02-25,56,4.93,3.1,208.7,28.8,0.74
2000-02-26,57,5.27,3.9,92.6,31.4,0.89
2000-02-27,58,5.42,0.0,150.7,31.7,0.81
2000-02-28,59,5.6,5.1,139.8,30.1,0.59
2000-02-29,60,5.81,0.0,48.0,32.5,0.92
2000-03-01,61,5.9,0.0,85.1,34.5,1.19
2000-03-02,62,5.69,0.0,64.7,33.0,1.09
2000-03-03,63,5.8,0.0,79.9,29.0,1.02
2000-03-04,64,5.52,0.0,180.1,29.8,1.03
2000-03-05,65,5.36,7.8,59.8,31.1,0.94
2000-03-06,66,5.5,10.8,148.8,31.5,0.73
2000-03-07,67,5.47,0.0,108.3,29.8,0.98
2000-03-08,68,5.57,0.0,172.4,31.5,1.14
2000-03-09,69,5.45,4.1,91.5,34.6,1.17
2000-03-10,70,5.55,11.6,74.6,34.1,0.8
2000-03-11,71,5.52,0.0,51.7,30.9,0.96
2000-03-12,72,5.43,5.0,98.1,33.8,1.05
2000-03-13,73,5.36,0.0,92.5,35.6,1.26
2000-03-14,74,5.61,0.0,212.7,36.1,1.11
2000-03-15,75,5.77,0.0,176.9,35.3,1.1
2000-03-16,76,5.81,0.0,53.5,36.4,1.16
2000-03-17,77,5.97,3.4,179.5,35.0,1.19
2000-03-18,78,6.05,0.0,118.9,34.1,1.19
2000-03-19,79,6.14,8.8,36.6,35.0,0.97
2000-03-20,80,5.78,0.0,189.2,33.6,1.04
2000-03-21,81,5.73,0.0,198.5,36.5,1.24
2000-03-22,82,5.74,0.0,87.2,33.9,1.11
2000-03-23,83,5.55,0.0,71.5,35.7,1.19
2000-03-24,84,5.6,5.4,72.6,34.0,0.94
2000-03-25,85,5.72,0.0,77.4,36.2,1.27
2000-03-26,86,5.69,0.0,119.2,35.5,1.18
2000-03-27,87,5.8,3.9,115.9,35.6,1.18
2000-03-28,88,5.7,7.1,103.9,36.9,0.99
2000-03-29,89,5.81,0.0,115.3,36.1,1.11
2000-03-30,90,5.7,6.5,121.7,33.5,0.99
2000-03-31,91,5.64,0.0,179.2,37.8,1.3
2000-04-01,92,5.6,0.0,102.5,35.5,1.16
2000-04-02,93,5.48,10.4,139.3,36.2,0.75
2000-04-03,94,5.59,0.0,31.0,39.2,1.28
2000-04-04,95,5.64,0.0,63.3,39.5,1.28
2000-04-05,96,5.94,0.0,192.7,34.5,1.22
2000-04-06,97,6.07,0.0,163.4,39.5,1.27
2000-04-07,98,6.42,70.2,158.5,34.7,0.72
2000-04-08,99,6.51,0.0,40.9,37.2,1.13
2000-04-09,100,6.53,0.0,114.8,36.8,1.29
2000-04-10,101,6.83,0.0,42.2,37.6,1.29
2000-04-11,102,6.93,0.0,99.3,35.9,1.15
2000-04-12,103,7.06,0.0,101.3,40.0,1.34
2000-04-13,104,7.02,0.0,118.3,34.9,1.19
2000-04-14,105,6.85,0.0,57.6,39.6,1.28
2000-04-15,106,6.73,12.1,89.1,37.8,0.86
2000-04-16,107,6.58,0.0,130.8,39.5,1.24
2000-04-17,108,6.53,23.3,107.1,38.5,0.93
2000-04-18,109,6.55,0.0,168.5,36.5,1.29
2000-04-19,110,6.4,0.0,113.3,38.8,1.31
2000-04-20,111,6.3,0.5,109.5,38.3,1.26
2000-04-21,112,6.06,7.3,200.5,39.8,1.12
2000-04-22,113,5.84,4.5,179.0,40.0,1.32
2000-04-23,114,5.64,0.0,55.8,40.0,1.25
2000-04-24,115,5.4,1.8,35.3,40.0,1.27
2000-04-25,116,5.17,5.4,157.0,40.0,1.17
2000-04-26,117,5.09,0.0,117.8,38.2,1.26
2000-04-27,118,4.92,0.0,44.0,38.0,1.33
2000-04-28,119,4.76,0.0,174.1,39.7,1.39
2000-04-29,120,4.7,0.0,194.5,40.0,1.3
2000-04-30,121,4.66,0.0,83.1,36.8,1.16
2000-05-01,122,4.92,9.1,367.6,38.9,1.03
2000-05-02,123,5.16,4.6,137.9,40.0,1.23
2000-05-03,124,5.4,1.3,167.6,39.3,1.37
2000-05-04,125,5.43,3.5,290.9,39.5,1.29
2000-05-05,126,5.81,0.0,167.6,38.9,1.23
2000-05-06,127,6.12,0.0,213.3,40.0,1.21
2000-05-07,128,6.37,8.1,184.9,37.4,0.94
2000-05-08,129,6.35,2.4,362.2,38.0,1.16
2000-05-09,130,6.52,0.0,240.8,40.0,1.24
2000-05-10,131,6.54,3.3,332.8,40.0,1.3
2000-05-11,132,6.46,12.5,407.3,40.0,0.98
2000-05-12,133,6.94,18.6,183.4,38.0,0.94
2000-05-13,134,7.58,3.5,327.2,40.0,1.3
2000-05-14,135,7.97,9.0,165.7,38.2,1.02
2000-05-15,136,12.48,14.7,422.0,39.4,0.91
2000-05-16,137,10.61,6.9,347.5,40.0,1.07
2000-05-17,138,11.01,0.0,260.1,39.3,1.29
2000-05-18,139,11.26,0.0,176.2,39.2,1.19
2000-05-19,140,11.34,1.2,325.7,40.0,1.33
2000-05-20,141,10.78,0.5,273.3,40.0,1.32
2000-05-21,142,10.17,2.4,235.8,40.0,1.23
2000-05-22,143,10.07,10.3,188.6,40.0,0.94
2000-05-23,144,9.81,0.0,331.6,38.3,1.17
2000-05-24,145,9.54,3.1,315.8,40.0,1.24
2000-05-25,146,9.48,8.6,412.3,39.4,1.15
2000-05-26,147,9.27,17.0,248.7,40.0,0.82
2000-05-27,148,8.85,0.0,368.9,38.3,1.3
2000-05-28,149,8.55,0.9,377.2,39.5,1.32
2000-05-29,150,8.22,1.3,187.1,40.0,1.23
2000-05-30,151,7.97,0.0,245.7,40.0,1.25
2000-05-31,152,7.8,0.0,245.2,40.0,1.26
2000-06-01,153,7.53,0.0,269.5,40.0,1.53
2000-06-02,154,7.71,1.1,256.2,40.0,1.56
2000-06-03,155,7.64,0.0,363.0,40.0,1.62
2000-06-04,156,7.88,88.4,270.2,40.0,1.01
2000-06-05,157,7.85,15.0,343.9,40.0,1.13
2000-06-06,158,7.78,3.2,251.9,40.0,1.51
2000-06-07,159,7.76,12.9,411.5,40.0,1.1
2000-06-08,160,8.01,1.0,248.2,38.8,1.6
2000-06-09,161,7.97,5.1,330.6,40.0,1.37
2000-06-10,162,8.0,24.4,203.3,40.0,1.01
2000-06-11,163,8.09,0.0,310.8,38.3,1.46
2000-06-12,164,7.93,0.0,304.8,39.2,1.59
2000-06-13,165,7.91,1.1,358.1,38.3,1.41
2000-06-14,166,7.95,0.0,360.4,38.3,1.59
2000-06-15,167,7.99,0.0,142.1,40.0,1.56
2000-06-16,168,7.95,4.9,252.1,40.0,1.6
2000-06-17,169,8.09,2.0,302.6,40.0,1.55
2000-06-18,170,8.09,11.6,201.7,40.0,1.15
2000-06-19,171,8.11,0.0,215.5,39.2,1.6
2000-06-20,172,8.16,14.5,187.3,40.0,1.07
2000-06-21,173,8.32,0.0,137.8,40.0,1.65
2000-06-22,174,8.32,9.1,148.7,40.0,1.3
2000-06-23,175,8.33,3.3,206.4,40.0,1.47
2000-06-24,176,8.35,10.4,217.2,39.5,1.09
2000-06-25,177,8.14,14.3,252.0,40.0,1.15
2000-06-26,178,7.89,58.5,164.5,38.3,1.08
2000-06-27,179,7.74,16.3,331.0,39.1,1.01
2000-06-28,180,7.66,10.8,350.1,40.0,1.0
2000-06-29,181,7.64,1.3,293.6,37.8,1.47
2000-06-30,182,7.82,0.0,309.0,36.6,1.53
2000-07-01,183,7.9,0.0,268.5,39.7,1.51
2000-07-02,184,8.34,3.2,449.6,38.0,1.51
2000-07-03,185,8.42,3.9,388.1,40.0,1.57
2000-07-04,186,8.45,9.0,371.5,40.0,1.37
2000-07-05,187,8.54,3.8,409.0,40.0,1.48
2000-07-06,188,8.45,0.0,416.3,36.3,1.33
2000-07-07,189,8.32,9.1,473.4,38.7,1.38
2000-07-08,190,8.29,0.7,290.0,38.3,1.43
2000-07-09,191,8.02,0.0,229.5,36.4,1.39
2000-07-10,192,8.03,0.0,268.7,40.0,1.53
2000-07-11,193,8.0,14.8,238.7,39.1,1.07
2000-07-12,194,8.11,4.2,344.7,40.0,1.58
2000-07-13,195,8.01,0.0,286.5,36.9,1.37
2000-07-14,196,7.88,0.0,234.4,37.0,1.41
2000-07-15,197,7.9,0.0,253.2,35.3,1.48
2000-07-16,198,7.58,14.4,456.9,40.0,1.17
2000-07-17,199,7.34,7.7,417.9,38.6,1.36
2000-07-18,200,7.14,0.0,274.9,38.6,1.59
2000-07-19,201,6.89,4.8,310.3,37.1,1.38
2000-07-20,202,7.11,71.8,385.2,36.4,0.95
2000-07-21,203,6.96,0.0,280.0,39.6,1.55
2000-07-22,204,7.04,0.0,388.2,36.3,1.49
2000-07-23,205,7.19,11.1,425.5,36.8,1.07
2000-07-24,206,6.8,0.0,268.8,40.0,1.51
2000-07-25,207,7.11,0.0,425.7,36.2,1.44
2000-07-26,208,7.06,0.0,359.3,36.7,1.52
2000-07-27,209,7.11,8.6,305.2,38.8,1.34
2000-07-28,210,7.31,8.1,242.8,35.9,1.13
2000-07-29,211,7.5,7.6,395.4,34.4,1.09
2000-07-30,212,7.43,0.0,267.1,36.3,1.43
2000-07-31,213,7.63,64.4,212.8,35.3,1.07
2000-08-01,214,7.57,3.5,281.4,37.8,1.4
2000-08-02,215,7.68,56.0,362.7,33.8,0.85
2000-08-03,216,7.61,0.4,356.6,35.2,1.49
2000-08-04,217,7.68,2.8,305.7,34.4,1.35
2000-08-05,218,7.81,11.5,219.3,32.6,0.89
2000-08-06,219,8.01,15.3,453.0,33.3,0.99
2000-08-07,220,8.3,3.6,336.7,34.9,1.43
2000-08-08,221,8.49,0.0,395.7,32.5,1.3
2000-08-09,222,8.73,11.7,228.1,34.4,0.93
2000-08-10,223,8.69,0.5,227.2,32.5,1.23
2000-08-11,224,8.78,8.7,231.2,32.6,1.0
2000-08-12,225,9.11,0.0,501.6,32.1,1.25
2000-08-13,226,9.23,0.0,230.9,35.8,1.39
2000-08-14,227,9.38,3.2,317.0,33.3,1.31
2000-08-15,228,9.45,0.0,185.2,34.1,1.38
2000-08-16,229,9.52,0.5,281.6,34.7,1.35
2000-08-17,230,9.52,14.0,356.9,34.9,1.06
2000-08-18,231,9.59,1.8,305.7,35.8,1.31
2000-08-19,232,9.89,0.0,417.6,35.9,1.47
2000-08-20,233,10.04,1.7,417.6,32.9,1.25
2000-08-21,234,10.12,0.0,275.1,35.6,1.49
2000-08-22,235,12.48,6.3,287.5,32.4,1.16
2000-08-23,236,11.68,2.4,278.5,31.5,1.34
2000-08-24,237,11.85,5.2,386.3,31.3,1.03
2000-08-25,238,12.01,16.3,242.3,33.8,0.87
2000-08-26,239,11.98,3.8,286.8,30.4,1.27
2000-08-27,240,11.68,0.0,247.2,34.0,1.36
2000-08-28,241,11.32,7.3,288.1,34.5,1.21
2000-08-29,242,10.79,9.9,438.8,32.8,1.05
2000-08-30,243,10.41,12.7,356.5,29.4,0.8
2000-08-31,244,10.21,2.5,484.8,32.4,1.36
2000-09-01,245,10.02,0.9,420.8,30.8,1.06
2000-09-02,246,9.88,12.1,305.4,33.3,0.84
2000-09-03,247,9.81,30.0,449.4,29.4,0.61
2000-09-04,248,9.78,4.0,246.0,28.1,0.89
2000-09-05,249,9.93,7.1,331.2,28.0,0.82
2000-09-06,250,10.12,63.0,430.9,30.1,0.66
2000-09-07,251,10.0,8.6,281.8,31.2,0.94
2000-09-08,252,10.09,15.1,410.6,28.8,0.72
2000-09-09,253,10.06,2.5,441.9,29.0,0.89
2000-09-10,254,9.81,0.0,407.7,30.9,0.96
2000-09-11,255,9.66,5.7,498.6,27.9,0.85
2000-09-12,256,9.48,3.0,306.8,30.0,1.08
2000-09-13,257,9.41,21.2,376.1,28.2,0.69
2000-09-14,258,9.4,21.8,290.5,28.2,0.75
2000-09-15,259,9.58,3.4,233.6,31.9,0.99
2000-09-16,260,9.72,5.4,512.8,26.9,0.72
2000-09-17,261,9.74,25.1,238.0,26.9,0.55
2000-09-18,262,9.65,0.0,410.7,30.8,1.03
2000-09-19,263,9.51,11.7,468.2,27.9,0.57
2000-09-20,264,9.25,72.5,174.4,28.7,0.64
2000-09-21,265,9.21,5.8,370.3,29.7,0.88
2000-09-22,266,8.96,46.1,264.9,30.9,0.67
2000-09-23,267,8.74,2.2,521.2,26.7,0.91
2000-09-24,268,8.81,15.0,488.8,29.1,0.68
2000-09-25,269,8.48,0.0,392.8,29.5,0.95
2000-09-26,270,8.33,0.0,382.7,29.1,0.99
2000-09-27,271,8.17,0.0,474.4,24.8,0.79
2000-09-28,272,7.92,0.2,191.7,29.9,1.02
2000-09-29,273,7.99,0.0,218.4,29.4,1.0
2000-09-30,274,7.89,0.0,258.9,27.3,0.89
2000-10-01,275,7.9,9.4,384.4,26.2,0.77
2000-10-02,276,7.92,0.1,394.4,29.0,0.92
2000-10-03,277,7.9,0.0,282.8,28.6,0.87
2000-10-04,278,8.01,10.0,487.3,26.2,0.76
2000-10-05,279,8.09,0.0,464.5,28.6,1.06
2000-10-06,280,8.28,54.9,446.5,27.5,0.56
2000-10-07,281,8.2,45.5,227.3,25.1,0.53
2000-10-08,282,8.13,0.0,250.2,23.6,0.78
2000-10-09,283,8.21,3.4,355.0,25.3,0.8
2000-10-10,284,8.2,1.4,189.5,26.3,0.88
2000-10-11,285,8.14,1.1,282.6,25.7,0.97
2000-10-12,286,8.3,8.6,486.7,23.4,0.62
2000-10-13,287,8.61,0.0,315.9,27.0,0.91
2000-10-14,288,8.54,5.8,307.2,24.5,0.76
2000-10-15,289,8.76,11.1,477.6,26.0,0.63
2000-10-16,290,8.66,15.6,312.6,21.6,0.48
2000-10-17,291,8.53,0.0,241.9,26.0,0.79
2000-10-18,292,8.59,8.7,334.9,23.2,0.68
2000-10-19,293,8.21,0.0,514.4,25.4,0.92
2000-10-20,294,8.13,0.0,312.4,22.2,0.77
