date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,4.09,0.0,121.4,19.1,0.44
2000-01-02,2,4.28,72.3,117.7,21.8,0.46
2000-01-03,3,4.34,13.7,103.0,21.0,0.36
2000-01-04,4,4.33,0.0,172.4,20.1,0.51
2000-01-05,5,4.36,3.3,100.8,22.4,0.55
2000-01-06,6,4.31,12.9,107.6,19.8,0.37
2000-01-07,7,4.33,4.8,32.5,21.2,0.51
2000-01-08,8,4.25,3.1,74.1,19.4,0.63
2000-01-09,9,4.21,0.0,42.8,23.5,0.56
2000-01-10,10,4.13,0.0,96.0,18.8,0.5
2000-01-11,11,4.11,4.4,213.4,18.4,0.49
2000-01-12,12,4.03,7.1,94.3,19.6,0.48
2000-01-13,13,3.88,0.0,174.0,24.1,0.7
2000-01-14,14,3.85,7.7,188.7,24.3,0.64
2000-01-15,15,3.65,0.0,126.6,22.4,0.68
2000-01-16,16,3.52,0.0,94.7,19.7,0.55
2000-01-17,17,3.25,0.0,124.7,21.7,0.53
2000-01-18,18,3.19,0.0,104.9,21.7,0.61
2000-01-19,19,3.05,0.0,128.6,23.7,0.71
2000-01-20,20,2.88,0.0,175.0,20.4,0.49
2000-01-21,21,2.92,0.0,97.1,22.0,0.62
2000-01-22,22,2.91,0.0,162.8,21.1,0.6
2000-01-23,23,3.04,0.0,126.7,20.2,0.66
2000-01-24,24,3.17,0.0,88.5,24.1,0.64
2000-01-25,25,3.29,9.2,166.4,23.8,0.61
2000-01-26,26,3.38,0.7,103.7,20.8,0.62
2000-01-27,27,3.39,0.0,82.2,21.9,0.55
2000-01-28,28,3.3,6.3,99.8,25.1,0.54
2000-01-29,29,3.4,0.0,65.0,22.1,0.55
2000-01-30,30,3.42,11.1,120.9,23.9,0.47
2000-01-31,31,3.31,0.0,117.8,27.3,0.71
2000-02-01,32,3.41,0.0,110.4,26.9,0.75
2000-02-02,33,3.57,0.0,37.6,25.1,0.63
2000-02-03,34,3.52,0.0,161.3,24.4,0.67
2000-02-04,35,3.6,0.0,120.6,27.5,0.79
2000-02-05,36,3.72,0.0,176.4,28.2,0.7
2000-02-06,37,3.82,0.0,62.8,25.7,0.63
2000-02-07,38,3.88,0.0,188.1,26.0,0.72
2000-02-08,39,4.19,0.0,104.4,28.8,0.81
2000-02-09,40,4.33,26.2,69.4,24.8,0.54
2000-02-10,41,4.5,11.3,182.0,27.3,0.54
2000-02-11,42,4.45,0.0,105.3,29.4,0.85
2000-02-12,43,4.36,4.9,149.9,29.6,0.8
2000-02-13,44,4.18,3.9,164.1,26.8,0.75
2000-02-14,45,3.99,0.3,170.1,24.3,0.6
2000-02-15,46,3.79,0.0,157.5,29.9,0.89
2000-02-16,47,3.73,0.0,184.0,28.5,0.77
2000-02-17,48,3.58,1.8,130.4,25.4,0.65
2000-02-18,49,3.57,0.0,168.7,25.8,0.62
2000-02-19,50,3.47,0.0,127.6,28.5,0.73
2000-02-20,51,3.4,0.0,51.1,31.0,0.9
2000-02-21,52,3.37,0.0,133.6,26.6,0.71
2000-02-22,53,3.45,19.6,167.7,26.5,0.59
2000-02-23,54,3.58,0.0,149.4,28.2,0.72
2000-02-24,55,3.65,0.0,92.7,29.9,0.7
2000-02-25,56,3.74,0.0,59.1,27.5,0.67
2000-02-26,57,3.76,0.0,189.3,29.1,0.86
2000-02-27,58,3.71,0.0,201.4,28.6,0.71
2000-02-28,59,3.73,0.0,65.3,30.0,0.89
2000-02-29,60,3.85,2.4,70.3,31.3,0.84
2000-03-01,61,4.05,18.9,76.2,28.1,0.75
2000-03-02,62,4.22,0.0,132.9,28.9,1.01
2000-03-03,63,4.31,1.0,98.4,31.6,1.0
2000-03-04,64,4.45,6.2,111.3,33.3,0.94
