date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,0.48,0.0,82.3,26.3,0.8
2000-01-02,2,0.48,0.0,64.7,28.7,1.0
2000-01-03,3,0.46,0.0,93.8,30.0,1.06
2000-01-04,4,0.5,0.0,40.6,28.0,0.84
2000-01-05,5,0.57,0.0,135.5,29.6,1.07
2000-01-06,6,0.69,7.6,67.1,27.8,0.71
2000-01-07,7,0.68,0.0,67.6,29.3,1.02
2000-01-08,8,0.69,0.0,82.9,26.9,0.86
2000-01-09,9,0.65,0.0,85.5,25.6,0.81
2000-01-10,10,0.76,6.0,40.4,28.7,0.82
2000-01-11,11,0.79,1.0,103.4,26.6,0.91
2000-01-12,12,0.87,0.0,107.0,29.3,0.98
2000-01-13,13,0.83,0.0,112.7,26.9,0.89
2000-01-14,14,0.83,0.0,41.1,27.1,0.95
2000-01-15,15,0.86,0.0,45.4,27.2,0.97
2000-01-16,16,0.8,0.0,92.3,28.3,0.97
2000-01-17,17,0.78,0.0,101.4,26.0,0.9
2000-01-18,18,0.69,0.0,33.3,26.1,0.79
2000-01-19,19,0.62,0.0,65.7,28.5,1.01
2000-01-20,20,0.62,0.0,146.7,26.1,0.79
2000-01-21,21,0.55,0.0,94.9,27.5,1.01
2000-01-22,22,0.56,6.1,89.7,29.6,0.89
2000-01-23,23,0.47,0.0,143.1,25.6,0.82
2000-01-24,24,0.55,0.0,132.9,27.7,1.03
2000-01-25,25,0.57,0.0,99.7,25.2,0.85
2000-01-26,26,0.57,0.0,149.0,29.7,1.01
2000-01-27,27,0.63,25.1,51.1,26.8,0.62
2000-01-28,28,0.63,0.0,80.1,29.2,0.89
2000-01-29,29,0.66,5.4,60.0,26.6,0.76
2000-01-30,30,0.64,0.0,127.0,25.9,0.79
2000-01-31,31,0.66,0.0,76.2,27.9,0.96
2000-02-01,32,0.67,0.0,125.9,26.0,0.79
2000-02-02,33,0.81,12.6,93.0,26.0,0.59
2000-02-03,34,0.87,0.0,111.9,27.9,0.98
2000-02-04,35,0.88,0.0,79.9,26.9,0.82
2000-02-05,36,0.81,0.0,47.9,25.9,0.89
2000-02-06,37,0.83,0.0,139.3,25.3,0.87
2000-02-07,38,0.83,0.0,58.2,29.8,0.94
2000-02-08,39,0.89,7.0,146.0,25.6,0.84
2000-02-09,40,0.91,0.0,38.1,28.1,0.87
2000-02-10,41,0.98,6.8,119.4,28.8,0.83
2000-02-11,42,1.01,0.0,138.1,26.0,0.95
2000-02-12,43,1.06,14.4,45.5,25.0,0.52
2000-02-13,44,1.11,0.0,96.4,28.6,0.88
2000-02-14,45,1.12,0.0,81.7,27.3,0.97
2000-02-15,46,1.07,0.0,120.2,28.2,0.91
2000-02-16,47,1.03,0.0,89.0,27.5,0.87
2000-02-17,48,0.96,4.0,114.1,28.6,0.87
2000-02-18,49,0.92,0.0,59.8,25.4,0.85
2000-02-19,50,0.85,0.0,143.7,28.1,0.88
2000-02-20,51,0.76,0.0,144.7,27.6,0.98
