date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,4.24,0.4,116.4,27.9,0.77
2000-01-02,2,4.17,0.0,165.3,27.8,0.84
2000-01-03,3,4.15,4.8,109.7,22.7,0.57
2000-01-04,4,4.19,0.0,166.9,27.6,0.64
2000-01-05,5,4.13,0.0,107.1,23.4,0.58
2000-01-06,6,4.01,0.0,172.2,24.7,0.61
2000-01-07,7,4.16,0.0,54.9,22.8,0.72
2000-01-08,8,4.15,0.0,105.9,25.8,0.62
2000-01-09,9,4.15,0.7,51.2,25.4,0.67
2000-01-10,10,4.22,0.0,126.4,28.4,0.83
2000-01-11,11,4.26,0.0,134.8,26.6,0.62
2000-01-12,12,4.26,0.0,88.1,28.2,0.66
2000-01-13,13,4.27,10.3,170.0,26.6,0.58
2000-01-14,14,4.25,0.0,201.8,24.9,0.63
2000-01-15,15,4.3,3.2,109.5,27.7,0.65
2000-01-16,16,4.42,0.0,79.3,23.9,0.64
2000-01-17,17,4.35,0.0,140.7,27.5,0.76
2000-01-18,18,4.39,0.0,123.1,29.3,0.69
2000-01-19,19,4.37,0.0,215.0,27.6,0.73
2000-01-20,20,4.23,0.0,132.7,24.4,0.71
2000-01-21,21,4.07,0.0,160.4,28.1,0.73
2000-01-22,22,3.95,0.0,42.8,24.5,0.71
2000-01-23,23,3.76,0.0,127.6,29.3,0.84
2000-01-24,24,3.59,4.5,70.7,24.4,0.58
2000-01-25,25,3.46,0.0,127.9,25.6,0.75
2000-01-26,26,3.41,12.2,111.9,27.6,0.48
2000-01-27,27,3.35,0.0,121.4,29.5,0.81
2000-01-28,28,3.3,1.8,177.1,26.2,0.7
2000-01-29,29,3.43,8.7,110.2,29.0,0.67
2000-01-30,30,3.55,12.8,185.6,30.5,0.59
2000-01-31,31,3.45,0.0,166.7,28.1,0.76
2000-02-01,32,3.52,0.0,60.6,30.0,0.89
2000-02-02,33,3.64,0.0,65.7,30.5,0.82
2000-02-03,34,3.62,0.0,113.0,29.3,0.73
2000-02-04,35,3.59,2.2,149.2,26.1,0.63
2000-02-05,36,3.75,0.0,89.3,30.0,0.81
2000-02-06,37,3.5,14.2,121.0,30.0,0.52
2000-02-07,38,3.32,0.0,98.7,29.0,0.87
2000-02-08,39,3.18,0.0,177.7,29.1,0.79
2000-02-09,40,3.35,0.0,157.6,30.0,0.76
2000-02-10,41,3.36,0.0,31.6,29.1,0.73
2000-02-11,42,3.52,0.0,140.0,28.4,0.73
2000-02-12,43,3.85,58.2,160.7,31.6,0.5
2000-02-13,44,4.14,11.4,129.0,26.9,0.6
2000-02-14,45,4.15,0.0,104.3,30.9,0.84
2000-02-15,46,4.18,3.8,125.8,28.5,0.67
2000-02-16,47,4.12,0.0,148.9,32.1,0.94
2000-02-17,48,4.11,4.1,120.0,27.6,0.68
2000-02-18,49,3.8,0.0,78.0,31.8,0.78
2000-02-19,50,3.67,0.0,58.0,30.6,0.84
2000-02-20,51,3.54,0.0,108.6,31.0,0.92
2000-02-21,52,3.52,1.2,111.5,33.2,0.96
2000-02-22,53,3.33,0.0,151.0,30.0,0.74
2000-02-23,54,3.72,0.0,121.1,29.9,0.71
2000-02-24,55,4.05,0.0,85.2,30.9,0.87
2000-02-25,56,4.38,0.0,168.1,31.3,0.75
2000-02-26,57,9.36,10.4,82.7,29.8,0.48
2000-02-27,58,7.16,1.9,202.3,31.6,0.86
2000-02-28,59,7.44,0.0,142.5,28.8,0.83
2000-02-29,60,7.63,0.0,129.6,33.5,0.98
2000-03-01,61,7.94,12.8,135.4,34.0,0.73
2000-03-02,62,7.78,9.5,174.3,29.7,0.82
2000-03-03,63,7.63,5.3,123.6,30.3,0.83
2000-03-04,64,7.28,16.2,50.2,34.0,0.76
2000-03-05,65,6.96,0.0,84.9,30.9,0.99
2000-03-06,66,6.72,10.7,170.0,35.8,0.76
2000-03-07,67,6.48,8.8,105.7,32.8,0.88
2000-03-08,68,6.24,11.8,162.0,31.0,0.69
2000-03-09,69,6.06,0.0,62.8,30.5,0.92
2000-03-10,70,5.85,10.4,126.9,31.0,0.71
2000-03-11,71,5.71,10.3,110.8,31.6,0.69
2000-03-12,72,5.6,0.0,62.8,30.9,1.09
2000-03-13,73,5.6,0.0,139.9,32.5,1.05
2000-03-14,74,5.63,14.8,104.3,34.2,0.7
2000-03-15,75,5.59,0.0,178.7,32.9,1.12
2000-03-16,76,5.61,0.0,83.5,33.1,1.08
2000-03-17,77,5.45,0.0,157.0,32.9,1.03
2000-03-18,78,5.48,77.2,35.6,37.0,0.93
2000-03-19,79,5.27,0.0,136.3,33.2,1.05
2000-03-20,80,5.13,0.0,132.4,32.2,1.16
2000-03-21,81,5.08,0.0,162.2,37.2,1.17
2000-03-22,82,5.06,14.3,153.9,34.1,0.85
2000-03-23,83,5.28,7.3,34.5,33.3,1.0
2000-03-24,84,5.73,0.0,82.8,32.8,1.12
2000-03-25,85,6.18,0.0,159.1,34.1,1.07
2000-03-26,86,9.36,0.0,201.6,36.9,1.22
2000-03-27,87,8.19,0.0,100.3,36.9,1.13
2000-03-28,88,8.5,0.0,91.0,32.7,1.03
2000-03-29,89,8.74,0.0,175.0,33.0,1.18
2000-03-30,90,8.76,0.0,128.6,36.7,1.15
2000-03-31,91,8.41,0.0,157.4,37.0,1.2
2000-04-01,92,7.93,0.0,88.8,34.6,1.21
2000-04-02,93,7.63,0.0,69.6,37.4,1.3
2000-04-03,94,7.34,12.9,79.1,37.4,0.92
2000-04-04,95,6.98,0.0,207.5,34.8,1.19
2000-04-05,96,6.79,0.0,80.3,35.6,1.14
2000-04-06,97,6.7,13.2,145.1,39.1,0.9
2000-04-07,98,6.48,0.0,71.2,39.0,1.31
2000-04-08,99,6.28,0.9,228.6,36.9,1.21
2000-04-09,100,6.26,38.9,100.7,36.1,0.86
2000-04-10,101,6.13,0.0,174.7,38.1,1.32
2000-04-11,102,6.0,4.1,143.7,36.3,1.1
2000-04-12,103,5.83,0.0,193.1,38.4,1.24
2000-04-13,104,5.61,77.3,86.6,35.7,0.77
2000-04-14,105,5.57,0.0,45.9,39.0,1.2
2000-04-15,106,5.36,16.9,108.7,35.7,0.81
2000-04-16,107,5.39,13.0,130.7,35.9,0.83
2000-04-17,108,5.31,4.5,49.2,40.0,1.36
2000-04-18,109,5.28,31.8,157.6,40.0,0.91
2000-04-19,110,5.15,0.0,62.5,38.6,1.2
2000-04-20,111,4.95,0.0,80.1,37.2,1.28
2000-04-21,112,4.81,0.0,185.0,39.3,1.36
2000-04-22,113,4.61,0.0,84.1,36.0,1.26
2000-04-23,114,4.41,0.0,90.7,37.4,1.17
2000-04-24,115,4.34,0.0,171.2,40.0,1.31
2000-04-25,116,4.17,0.0,196.4,39.4,1.24
2000-04-26,117,3.98,0.8,180.4,36.9,1.28
2000-04-27,118,3.92,0.2,44.1,37.1,1.31
2000-04-28,119,4.36,11.0,58.6,38.7,0.87
2000-04-29,120,4.64,0.0,131.0,39.9,1.33
