date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,3.24,8.2,81.7,29.8,0.7
2000-01-02,2,3.22,0.0,72.0,26.8,0.65
2000-01-03,3,3.3,0.0,71.7,29.2,0.82
2000-01-04,4,3.37,3.0,205.4,26.2,0.66
2000-01-05,5,3.49,22.3,198.3,29.0,0.5
2000-01-06,6,3.54,10.9,161.0,27.3,0.51
2000-01-07,7,3.35,0.0,50.8,29.1,0.83
2000-01-08,8,3.29,13.5,38.1,25.7,0.49
2000-01-09,9,3.29,14.5,176.6,31.4,0.63
2000-01-10,10,3.12,0.0,149.3,29.0,0.76
2000-01-11,11,3.17,0.0,62.5,29.9,0.78
2000-01-12,12,3.34,6.0,140.6,27.6,0.58
2000-01-13,13,3.28,0.0,32.8,27.4,0.83
2000-01-14,14,3.42,40.2,175.2,27.0,0.51
2000-01-15,15,3.31,0.0,157.8,27.5,0.8
2000-01-16,16,3.27,9.1,71.3,29.9,0.63
2000-01-17,17,3.17,0.0,61.0,31.6,0.8
2000-01-18,18,3.11,0.0,86.4,27.2,0.69
2000-01-19,19,3.03,0.0,178.3,28.1,0.84
2000-01-20,20,2.91,0.0,168.7,31.6,0.89
2000-01-21,21,2.82,13.2,125.3,29.9,0.58
2000-01-22,22,2.73,0.0,147.7,32.3,0.86
2000-01-23,23,2.59,0.0,192.8,30.0,0.81
2000-01-24,24,2.51,0.0,148.9,30.9,0.91
2000-01-25,25,2.54,0.0,163.6,31.4,0.9
2000-01-26,26,2.54,8.4,127.7,32.1,0.63
2000-01-27,27,2.6,0.0,119.4,32.3,0.94
2000-01-28,28,2.68,9.9,101.1,32.5,0.78
2000-01-29,29,2.82,0.0,205.0,28.8,0.86
2000-01-30,30,2.89,1.0,143.4,28.0,0.77
2000-01-31,31,2.77,0.1,68.0,28.2,0.77
2000-02-01,32,2.8,0.0,37.9,32.8,0.86
2000-02-02,33,2.84,0.0,184.6,29.2,0.69
2000-02-03,34,2.9,7.9,106.5,31.0,0.7
2000-02-04,35,2.96,0.0,78.0,31.0,0.88
2000-02-05,36,2.98,17.0,83.8,29.0,0.64
2000-02-06,37,3.07,0.0,148.2,31.7,0.82
2000-02-07,38,3.02,0.0,113.4,33.4,0.95
2000-02-08,39,2.91,0.0,169.5,31.2,0.76
2000-02-09,40,2.85,0.0,168.1,31.0,0.79
2000-02-10,41,2.8,0.0,197.6,33.1,0.96
2000-02-11,42,2.8,0.0,197.4,30.6,0.76
2000-02-12,43,2.72,0.0,103.2,29.6,0.85
2000-02-13,44,2.85,0.0,194.9,32.1,0.88
2000-02-14,45,2.88,0.0,180.5,34.1,0.8
2000-02-15,46,2.94,0.0,166.0,28.6,0.85
2000-02-16,47,2.99,8.3,51.7,31.8,0.68
2000-02-17,48,2.91,0.0,57.7,29.3,0.85
2000-02-18,49,2.92,11.8,43.7,32.8,0.53
2000-02-19,50,2.82,2.7,123.5,32.6,0.88
2000-02-20,51,2.83,7.7,149.2,29.7,0.65
2000-02-21,52,2.6,0.0,129.9,29.5,0.83
2000-02-22,53,2.71,0.0,143.0,29.3,0.68
2000-02-23,54,2.63,0.0,95.5,33.8,0.82
2000-02-24,55,2.53,6.5,107.0,33.5,0.8
2000-02-25,56,2.57,0.0,213.5,30.7,0.75
2000-02-26,57,2.65,0.0,97.8,29.5,0.73
2000-02-27,58,2.62,4.3,81.3,35.3,0.99
2000-02-28,59,3.01,68.2,122.4,30.6,0.65
2000-02-29,60,3.23,0.0,108.4,35.5,0.91
2000-03-01,61,3.32,4.3,201.6,33.5,1.08
2000-03-02,62,3.45,0.0,36.3,34.0,1.06
2000-03-03,63,3.56,0.0,81.1,34.9,1.22
2000-03-04,64,3.41,0.0,48.7,32.9,1.08
2000-03-05,65,3.28,0.0,157.4,32.3,1.03
2000-03-06,66,3.28,0.0,173.3,35.4,1.15
2000-03-07,67,3.22,11.8,169.7,31.3,0.64
2000-03-08,68,3.19,0.0,77.3,34.1,1.18
2000-03-09,69,3.3,15.7,151.7,32.4,0.71
2000-03-10,70,3.27,0.0,115.8,34.6,1.08
2000-03-11,71,3.19,0.0,164.4,35.9,1.13
2000-03-12,72,3.24,1.3,98.1,34.5,1.06
2000-03-13,73,3.27,0.0,54.1,36.5,1.13
2000-03-14,74,3.29,0.0,174.5,34.6,1.07
2000-03-15,75,3.42,17.4,136.5,36.8,0.93
2000-03-16,76,3.48,9.2,147.1,33.9,0.96
2000-03-17,77,3.48,0.0,152.9,37.1,1.26
2000-03-18,78,3.54,1.2,33.5,34.8,1.18
2000-03-19,79,3.55,0.0,190.3,36.7,1.13
2000-03-20,80,3.53,0.0,181.6,31.7,1.0
2000-03-21,81,3.51,0.0,124.0,35.2,1.15
2000-03-22,82,3.57,19.3,54.0,36.4,0.88
2000-03-23,83,3.41,0.0,47.0,33.3,1.05
2000-03-24,84,3.3,0.0,158.2,36.1,1.18
2000-03-25,85,3.27,0.0,90.8,37.2,1.21
2000-03-26,86,3.05,0.0,189.2,34.8,1.11
2000-03-27,87,3.05,29.0,185.3,37.4,0.85
2000-03-28,88,2.95,0.0,89.9,32.4,1.16
2000-03-29,89,2.87,0.0,222.5,37.4,1.14
2000-03-30,90,2.8,0.0,140.5,37.3,1.16
2000-03-31,91,2.82,1.5,85.8,33.7,1.17
2000-04-01,92,2.85,0.0,202.1,34.7,1.06
2000-04-02,93,2.92,0.0,120.1,35.8,1.16
2000-04-03,94,2.92,0.0,122.1,33.1,1.17
2000-04-04,95,3.04,8.2,47.3,35.4,0.99
2000-04-05,96,3.14,0.0,40.9,36.8,1.25
2000-04-06,97,3.1,0.0,60.1,37.1,1.27
2000-04-07,98,3.08,4.7,104.5,37.6,1.17
2000-04-08,99,3.23,24.0,169.7,36.1,0.92
2000-04-09,100,3.11,6.3,116.2,38.0,1.04
2000-04-10,101,2.94,0.0,132.3,37.4,1.24
2000-04-11,102,2.94,0.0,118.3,35.3,1.19
2000-04-12,103,2.86,1.9,144.8,35.2,1.19
2000-04-13,104,2.7,0.0,76.7,37.1,1.2
2000-04-14,105,2.91,77.1,61.0,37.8,0.9
2000-04-15,106,2.93,0.0,153.5,37.1,1.16
2000-04-16,107,2.81,0.0,141.9,35.9,1.21
2000-04-17,108,2.93,0.0,86.5,37.8,1.28
2000-04-18,109,2.91,0.0,161.6,38.2,1.32
2000-04-19,110,3.1,109.3,173.7,36.2,0.8
2000-04-20,111,3.13,0.0,180.2,35.8,1.12
2000-04-21,112,2.96,0.0,170.8,39.7,1.32
2000-04-22,113,2.9,0.0,163.6,35.5,1.22
2000-04-23,114,2.7,0.0,100.7,39.0,1.2
2000-04-24,115,2.63,0.0,76.5,37.7,1.2
2000-04-25,116,2.71,0.0,53.6,39.2,1.24
2000-04-26,117,2.78,0.0,90.7,35.0,1.23
2000-04-27,118,2.96,0.5,121.7,36.5,1.16
2000-04-28,119,3.12,0.0,157.7,35.9,1.25
2000-04-29,120,3.21,0.0,105.0,34.4,1.19
2000-04-30,121,3.49,0.0,133.2,39.1,1.18
2000-05-01,122,3.91,56.1,333.9,37.5,0.76
2000-05-02,123,4.09,9.2,159.7,36.2,1.02
2000-05-03,124,4.26,0.0,310.6,37.5,1.26
2000-05-04,125,4.31,0.0,136.1,37.4,1.2
2000-05-05,126,4.47,49.5,203.5,38.3,0.78
2000-05-06,127,4.45,0.0,343.2,36.3,1.26
2000-05-07,128,4.42,3.7,325.3,35.6,1.15
2000-05-08,129,4.3,0.0,166.9,38.9,1.24
2000-05-09,130,4.28,16.4,170.9,39.2,0.89
2000-05-10,131,4.15,3.2,213.9,38.5,1.22
2000-05-11,132,3.97,0.0,169.9,38.4,1.24
2000-05-12,133,3.85,8.8,298.7,35.7,0.96
2000-05-13,134,3.94,3.1,327.0,34.7,1.15
2000-05-14,135,3.85,10.0,290.4,35.6,0.92
2000-05-15,136,3.81,7.9,151.1,40.0,1.05
2000-05-16,137,3.84,0.0,366.0,37.6,1.14
2000-05-17,138,3.84,3.7,395.5,39.2,1.21
2000-05-18,139,3.69,0.0,266.9,36.6,1.3
2000-05-19,140,3.77,10.5,179.4,38.8,0.81
2000-05-20,141,3.83,0.0,356.9,36.4,1.14
2000-05-21,142,3.78,16.0,316.7,35.8,0.84
2000-05-22,143,3.72,5.4,339.1,39.7,1.12
2000-05-23,144,3.61,2.7,174.8,38.4,1.32
2000-05-24,145,3.67,3.6,165.1,36.2,1.1
2000-05-25,146,3.47,0.0,256.3,40.0,1.31
2000-05-26,147,3.58,37.1,285.6,36.1,0.81
2000-05-27,148,3.66,3.6,354.9,37.4,1.28
2000-05-28,149,3.55,0.0,185.0,35.1,1.06
2000-05-29,150,3.55,0.0,235.8,37.6,1.25
2000-05-30,151,3.63,0.0,346.4,38.6,1.29
2000-05-31,152,3.7,8.8,144.1,37.8,1.1
2000-06-01,153,3.71,0.0,262.9,37.5,1.49
2000-06-02,154,3.76,6.9,293.7,37.5,1.18
2000-06-03,155,3.82,5.6,379.4,38.1,1.2
2000-06-04,156,3.79,3.0,357.5,37.1,1.42
2000-06-05,157,3.89,2.1,370.1,40.0,1.58
2000-06-06,158,3.83,3.7,278.0,36.0,1.41
2000-06-07,159,3.75,0.4,181.9,36.6,1.51
2000-06-08,160,3.7,7.8,244.7,38.2,1.36
2000-06-09,161,3.6,0.7,246.1,35.7,1.46
2000-06-10,162,3.53,6.3,347.8,40.0,1.35
2000-06-11,163,3.38,10.6,226.1,36.5,0.99
2000-06-12,164,3.48,0.0,260.1,35.2,1.29
2000-06-13,165,3.52,10.5,363.9,36.3,0.98
2000-06-14,166,3.55,0.0,373.2,35.1,1.28
2000-06-15,167,3.58,5.8,271.0,36.7,1.16
2000-06-16,168,3.63,12.3,251.2,40.0,0.99
2000-06-17,169,3.66,11.6,387.3,36.0,1.02
2000-06-18,170,3.65,0.0,231.1,38.4,1.48
2000-06-19,171,3.53,17.4,331.9,34.8,1.03
2000-06-20,172,3.46,0.0,128.9,37.4,1.54
2000-06-21,173,3.49,0.0,278.0,40.0,1.66
