date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,4.41,0.0,121.4,15.7,0.36
2000-01-02,2,4.72,72.3,117.7,18.3,0.4
2000-01-03,3,4.78,13.7,103.0,17.5,0.3
2000-01-04,4,4.74,0.0,172.4,16.6,0.43
2000-01-05,5,4.76,3.3,100.8,18.9,0.47
2000-01-06,6,4.68,12.9,107.6,16.3,0.31
2000-01-07,7,4.69,4.8,32.5,17.7,0.43
2000-01-08,8,4.58,3.1,74.1,15.8,0.54
2000-01-09,9,4.51,0.0,42.8,19.9,0.48
2000-01-10,10,4.4,0.0,96.0,15.2,0.42
2000-01-11,11,4.37,4.4,213.4,14.8,0.4
2000-01-12,12,4.28,7.1,94.3,16.0,0.4
2000-01-13,13,4.09,0.0,174.0,20.4,0.61
2000-01-14,14,4.07,7.7,188.7,20.6,0.57
2000-01-15,15,3.82,0.0,126.6,18.7,0.59
2000-01-16,16,3.69,0.0,94.7,16.0,0.46
2000-01-17,17,3.39,0.0,124.7,17.9,0.44
2000-01-18,18,3.34,0.0,104.9,17.9,0.52
2000-01-19,19,3.2,0.0,128.6,19.9,0.62
2000-01-20,20,3.02,0.0,175.0,16.6,0.4
2000-01-21,21,3.11,0.0,97.1,18.1,0.52
2000-01-22,22,3.13,0.0,162.8,17.2,0.5
2000-01-23,23,3.31,0.0,126.7,16.3,0.57
2000-01-24,24,3.48,0.0,88.5,20.1,0.54
2000-01-25,25,3.65,9.2,166.4,19.8,0.53
2000-01-26,26,3.75,0.7,103.7,16.8,0.53
2000-01-27,27,3.75,0.0,82.2,17.8,0.45
2000-01-28,28,3.64,6.3,99.8,21.0,0.45
2000-01-29,29,3.77,0.0,65.0,18.0,0.45
2000-01-30,30,3.79,11.1,120.9,19.7,0.4
2000-01-31,31,3.65,0.0,117.8,23.2,0.61
2000-02-01,32,3.77,0.0,110.4,22.7,0.65
2000-02-02,33,3.96,0.0,37.6,20.9,0.53
2000-02-03,34,3.89,0.0,161.3,20.2,0.57
2000-02-04,35,3.97,0.0,120.6,23.3,0.69
2000-02-05,36,4.11,0.0,176.4,23.9,0.59
2000-02-06,37,4.21,0.0,62.8,21.4,0.53
2000-02-07,38,4.28,0.0,188.1,21.6,0.61
2000-02-08,39,4.63,0.0,104.4,24.4,0.7
2000-02-09,40,4.8,26.2,69.4,20.4,0.46
2000-02-10,41,4.97,11.3,182.0,22.9,0.46
2000-02-11,42,4.87,0.0,105.3,24.9,0.74
2000-02-12,43,4.72,4.9,149.9,25.1,0.7
2000-02-13,44,4.49,3.9,164.1,22.2,0.64
2000-02-14,45,4.24,0.3,170.1,19.7,0.49
2000-02-15,46,4.0,0.0,157.5,25.3,0.78
2000-02-16,47,3.93,0.0,184.0,23.8,0.65
2000-02-17,48,3.76,1.8,130.4,20.7,0.54
2000-02-18,49,3.77,0.0,168.7,21.1,0.51
2000-02-19,50,3.67,0.0,127.6,23.7,0.62
2000-02-20,51,3.6,0.0,51.1,26.2,0.78
2000-02-21,52,3.58,0.0,133.6,21.8,0.59
2000-02-22,53,3.71,19.6,167.7,21.6,0.51
2000-02-23,54,3.87,0.0,149.4,23.3,0.6
2000-02-24,55,3.95,0.0,92.7,25.0,0.58
2000-02-25,56,4.05,0.0,59.1,22.5,0.55
2000-02-26,57,4.07,0.0,189.3,24.1,0.74
2000-02-27,58,4.0,0.0,201.4,23.5,0.59
2000-02-28,59,4.01,0.0,65.3,25.0,0.77
2000-02-29,60,4.16,2.4,70.3,26.2,0.72
2000-03-01,61,4.41,18.9,76.2,23.0,0.65
2000-03-02,62,4.6,0.0,132.9,23.7,0.86
2000-03-03,63,4.68,1.0,98.4,26.4,0.84
2000-03-04,64,4.83,6.2,111.3,28.0,0.8
2000-03-05,65,4.69,0.0,174.8,23.2,0.84
2000-03-06,66,4.82,4.1,85.0,24.3,0.77
2000-03-07,67,4.62,9.2,170.1,28.2,0.73
2000-03-08,68,4.88,0.0,56.0,26.9,0.96
2000-03-09,69,5.08,5.1,186.4,27.5,0.73
2000-03-10,70,5.03,0.0,166.9,25.3,0.83
2000-03-11,71,5.21,0.0,53.5,26.1,0.87
2000-03-12,72,5.22,0.0,195.5,27.2,0.94
2000-03-13,73,5.27,5.0,159.5,28.8,0.92
