date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,5.48,6.5,210.0,25.0,0.65
2000-01-02,2,5.42,0.0,136.8,26.5,0.71
2000-01-03,3,5.42,0.0,188.1,24.1,0.6
2000-01-04,4,5.53,10.5,149.7,23.5,0.53
2000-01-05,5,5.58,0.0,162.4,26.4,0.63
2000-01-06,6,5.72,11.7,169.2,23.1,0.41
2000-01-07,7,5.81,3.9,100.2,28.5,0.68
2000-01-08,8,5.76,5.3,62.3,26.0,0.52
2000-01-09,9,5.73,0.0,58.9,26.1,0.78
2000-01-10,10,5.79,0.0,113.8,23.9,0.57
2000-01-11,11,5.85,0.0,92.2,27.2,0.79
2000-01-12,12,5.82,0.0,200.8,24.8,0.72
2000-01-13,13,5.9,0.0,136.6,28.7,0.72
2000-01-14,14,5.78,3.5,172.0,25.7,0.61
2000-01-15,15,5.63,16.9,157.0,25.6,0.46
2000-01-16,16,5.48,0.0,57.1,24.5,0.66
2000-01-17,17,5.28,0.0,123.7,23.7,0.73
2000-01-18,18,5.37,0.0,123.8,24.4,0.72
2000-01-19,19,5.29,0.0,208.2,27.1,0.65
2000-01-20,20,5.12,0.0,209.9,28.2,0.84
2000-01-21,21,5.05,0.0,40.0,28.5,0.66
2000-01-22,22,4.84,0.0,197.2,24.9,0.77
2000-01-23,23,4.65,0.0,30.8,26.2,0.63
2000-01-24,24,4.43,0.0,89.2,29.9,0.86
2000-01-25,25,4.61,0.0,183.8,28.7,0.8
2000-01-26,26,4.55,0.0,58.3,25.5,0.63
2000-01-27,27,4.73,6.9,64.4,25.6,0.62
2000-01-28,28,4.84,3.1,168.1,28.9,0.75
2000-01-29,29,4.9,0.0,135.4,26.6,0.73
2000-01-30,30,5.26,0.4,70.9,26.9,0.66
2000-01-31,31,5.5,0.0,169.8,28.1,0.72
2000-02-01,32,5.72,0.4,168.5,26.8,0.68
2000-02-02,33,5.91,0.0,101.1,25.5,0.59
2000-02-03,34,6.0,0.0,91.0,30.3,0.84
2000-02-04,35,6.14,0.0,103.6,29.1,0.7
2000-02-05,36,6.23,0.0,137.2,27.8,0.78
2000-02-06,37,6.39,8.9,59.5,31.4,0.71
2000-02-07,38,6.45,4.6,72.6,27.5,0.69
2000-02-08,39,6.74,20.6,179.4,30.7,0.51
2000-02-09,40,6.82,4.6,93.8,30.1,0.81
2000-02-10,41,6.74,0.0,186.4,30.8,0.74
2000-02-11,42,6.62,7.1,168.0,31.2,0.72
2000-02-12,43,6.55,9.7,148.8,28.1,0.6
2000-02-13,44,6.39,0.0,165.5,31.3,0.77
2000-02-14,45,6.41,6.0,103.2,28.8,0.57
2000-02-15,46,6.76,74.3,184.0,29.2,0.57
2000-02-16,47,6.66,0.0,107.3,29.5,0.83
2000-02-17,48,6.7,6.1,197.0,28.3,0.73
2000-02-18,49,6.34,0.0,117.5,27.2,0.81
2000-02-19,50,6.03,0.0,139.9,28.9,0.75
2000-02-20,51,5.68,0.0,164.9,30.2,0.71
2000-02-21,52,5.37,0.0,81.2,31.3,0.76
2000-02-22,53,5.07,0.0,100.6,33.6,0.81
2000-02-23,54,4.81,0.0,208.7,28.8,0.79
2000-02-24,55,4.52,11.4,75.1,31.7,0.54
2000-02-25,56,4.15,6.8,67.8,30.7,0.76
2000-02-26,57,4.2,0.0,48.8,28.7,0.7
2000-02-27,58,4.32,4.5,93.6,28.7,0.77
2000-02-28,59,4.3,0.0,56.2,32.0,0.81
2000-02-29,60,4.69,0.0,167.0,28.8,0.75
2000-03-01,61,4.84,0.0,79.1,30.8,0.99
2000-03-02,62,5.09,0.0,158.0,29.3,0.93
2000-03-03,63,5.33,1.7,96.4,30.2,0.94
2000-03-04,64,5.61,0.0,196.1,30.8,1.01
