date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,4.33,1.0,120.9,16.4,0.55
2000-01-02,2,4.23,0.0,130.5,16.3,0.47
2000-01-03,3,4.28,0.0,61.8,15.1,0.44
2000-01-04,4,4.45,32.3,66.0,14.8,0.39
2000-01-05,5,4.35,0.0,125.0,14.1,0.41
2000-01-06,6,4.39,5.3,97.3,18.8,0.38
2000-01-07,7,4.34,4.6,192.7,19.2,0.55
2000-01-08,8,4.3,7.0,48.4,19.1,0.51
2000-01-09,9,4.19,1.9,141.6,17.0,0.44
2000-01-10,10,4.33,11.2,149.0,16.5,0.27
2000-01-11,11,4.24,8.7,143.4,16.7,0.37
2000-01-12,12,4.3,0.0,85.3,19.5,0.49
2000-01-13,13,4.41,51.2,133.1,19.6,0.46
2000-01-14,14,4.39,17.6,201.0,20.8,0.36
2000-01-15,15,4.56,0.0,131.4,20.9,0.61
2000-01-16,16,4.51,3.0,119.3,18.8,0.61
2000-01-17,17,4.49,4.5,104.0,19.3,0.47
2000-01-18,18,4.45,8.2,169.3,19.6,0.47
2000-01-19,19,4.33,0.0,129.0,16.2,0.45
2000-01-20,20,4.23,0.0,149.0,21.0,0.5
2000-01-21,21,4.22,0.0,128.6,19.2,0.63
2000-01-22,22,3.97,0.0,189.3,19.2,0.48
2000-01-23,23,3.81,0.0,221.9,18.2,0.46
2000-01-24,24,3.61,2.7,207.1,20.1,0.52
2000-01-25,25,3.43,0.0,140.8,19.6,0.65
2000-01-26,26,3.55,0.0,119.0,19.7,0.48
2000-01-27,27,3.47,0.0,98.7,17.0,0.51
2000-01-28,28,3.24,0.0,94.2,19.7,0.51
2000-01-29,29,3.11,0.0,60.7,17.3,0.58
2000-01-30,30,3.19,3.9,68.1,19.7,0.61
2000-01-31,31,3.27,8.5,131.0,21.3,0.58
2000-02-01,32,3.34,0.0,165.2,19.4,0.58
2000-02-02,33,3.46,24.5,178.2,19.8,0.43
2000-02-03,34,3.65,0.2,77.0,18.0,0.59
2000-02-04,35,3.79,13.4,102.6,19.5,0.36
2000-02-05,36,3.95,0.0,84.3,19.7,0.53
2000-02-06,37,3.93,5.0,120.1,18.3,0.6
2000-02-07,38,4.03,4.7,52.8,24.3,0.64
2000-02-08,39,3.98,0.0,114.3,24.1,0.71
2000-02-09,40,3.87,0.5,51.0,20.6,0.55
2000-02-10,41,3.99,9.7,107.8,19.9,0.57
2000-02-11,42,4.1,4.1,106.5,23.6,0.65
2000-02-12,43,4.29,0.0,180.9,24.8,0.71
2000-02-13,44,4.42,20.4,199.5,23.9,0.42
2000-02-14,45,4.77,10.8,129.2,20.6,0.39
2000-02-15,46,4.8,0.0,115.4,21.0,0.56
2000-02-16,47,4.7,2.5,114.3,20.5,0.59
2000-02-17,48,4.7,0.0,92.6,22.7,0.55
2000-02-18,49,4.62,0.0,69.5,22.4,0.54
2000-02-19,50,4.42,5.9,154.0,24.1,0.47
2000-02-20,51,4.26,0.0,132.4,23.9,0.73
2000-02-21,52,4.23,0.0,207.4,25.5,0.68
2000-02-22,53,4.63,0.0,73.8,24.8,0.59
2000-02-23,54,4.87,6.7,224.6,24.7,0.5
2000-02-24,55,5.19,0.0,85.6,26.0,0.63
2000-02-25,56,7.42,0.0,104.4,27.3,0.67
2000-02-26,57,7.43,0.0,146.1,22.0,0.64
2000-02-27,58,7.78,0.0,149.6,25.7,0.64
