date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,6.29,0.0,157.1,17.5,0.43
2000-01-02,2,6.2,0.0,129.1,13.8,0.43
2000-01-03,3,6.09,0.0,65.1,13.7,0.42
2000-01-04,4,6.12,1.6,138.1,14.2,0.33
2000-01-05,5,6.23,20.8,86.9,15.4,0.25
2000-01-06,6,6.4,6.9,101.5,16.4,0.39
2000-01-07,7,6.29,0.0,66.4,19.0,0.59
2000-01-08,8,6.42,0.0,92.3,17.7,0.52
2000-01-09,9,6.33,0.0,88.7,17.9,0.43
2000-01-10,10,6.44,8.0,151.9,17.9,0.42
2000-01-11,11,6.37,0.0,105.5,16.5,0.44
2000-01-12,12,6.45,0.0,69.6,19.4,0.54
2000-01-13,13,6.45,0.0,77.0,20.0,0.47
2000-01-14,14,6.48,0.0,68.0,17.4,0.57
2000-01-15,15,6.48,6.3,100.0,15.5,0.37
2000-01-16,16,6.39,0.0,119.9,17.3,0.48
2000-01-17,17,6.14,0.0,121.9,19.1,0.46
2000-01-18,18,5.89,6.4,34.6,21.9,0.56
2000-01-19,19,5.81,5.7,36.2,22.2,0.54
2000-01-20,20,5.62,65.7,126.6,19.4,0.46
2000-01-21,21,5.42,0.0,61.7,21.4,0.66
2000-01-22,22,5.45,0.0,157.6,18.5,0.58
2000-01-23,23,5.39,16.8,172.8,18.5,0.35
2000-01-24,24,5.18,0.0,32.3,19.3,0.45
2000-01-25,25,5.48,17.0,108.8,20.9,0.41
2000-01-26,26,5.7,13.2,80.0,22.6,0.52
2000-01-27,27,5.8,2.9,138.2,23.5,0.61
2000-01-28,28,5.92,6.1,159.6,21.0,0.6
2000-01-29,29,5.99,0.0,47.6,18.7,0.55
2000-01-30,30,6.22,5.9,177.3,23.9,0.52
2000-01-31,31,6.02,11.4,175.8,21.9,0.43
2000-02-01,32,6.01,0.0,145.5,24.2,0.71
2000-02-02,33,6.23,2.9,142.4,25.2,0.64
2000-02-03,34,6.33,0.0,100.2,23.3,0.63
2000-02-04,35,6.32,6.1,177.2,23.9,0.52
2000-02-05,36,6.49,0.0,62.3,23.8,0.7
2000-02-06,37,6.5,0.0,191.3,24.4,0.62
2000-02-07,38,6.53,7.2,69.1,26.6,0.66
2000-02-08,39,6.75,0.0,127.8,23.9,0.66
