date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,3.87,0.0,100.5,26.9,0.63
2000-01-02,2,3.81,4.9,73.5,24.6,0.73
2000-01-03,3,3.62,0.0,133.5,29.1,0.84
2000-01-04,4,3.5,0.0,70.6,27.2,0.82
2000-01-05,5,3.41,0.0,158.1,23.3,0.72
2000-01-06,6,3.5,0.0,61.7,23.9,0.62
2000-01-07,7,3.48,0.0,164.2,26.0,0.61
2000-01-08,8,3.72,0.0,152.7,26.6,0.73
2000-01-09,9,3.8,0.0,118.5,25.6,0.73
2000-01-10,10,3.94,9.6,110.7,25.3,0.55
2000-01-11,11,4.27,6.8,69.7,26.4,0.57
2000-01-12,12,4.38,15.6,188.2,28.3,0.46
2000-01-13,13,4.68,4.4,163.4,25.0,0.69
2000-01-14,14,5.04,0.0,137.5,28.6,0.73
2000-01-15,15,5.03,0.0,132.6,27.9,0.69
2000-01-16,16,5.04,0.0,148.4,25.1,0.59
2000-01-17,17,4.96,1.8,130.4,29.8,0.7
2000-01-18,18,4.78,0.0,99.8,30.1,0.9
2000-01-19,19,4.63,0.0,182.0,25.2,0.68
2000-01-20,20,4.48,6.3,167.1,25.2,0.63
2000-01-21,21,4.23,0.0,198.3,25.2,0.69
2000-01-22,22,4.09,4.0,144.8,28.9,0.76
2000-01-23,23,4.06,0.0,128.5,29.1,0.71
2000-01-24,24,3.95,0.0,166.0,29.3,0.85
2000-01-25,25,4.11,16.6,82.1,30.4,0.52
2000-01-26,26,4.15,0.0,73.3,25.4,0.76
2000-01-27,27,4.23,0.0,147.3,28.7,0.72
2000-01-28,28,4.3,5.7,104.8,29.0,0.58
2000-01-29,29,4.49,0.5,188.4,30.8,0.89
2000-01-30,30,4.53,8.2,135.2,29.6,0.75
2000-01-31,31,4.41,7.6,165.9,27.5,0.66
2000-02-01,32,4.41,12.2,84.3,28.5,0.62
2000-02-02,33,4.22,14.9,119.3,26.0,0.53
2000-02-03,34,4.12,0.0,153.0,29.7,0.87
2000-02-04,35,4.12,15.6,82.4,27.4,0.42
2000-02-05,36,4.12,13.7,95.2,30.0,0.47
2000-02-06,37,4.13,0.0,109.4,28.4,0.85
2000-02-07,38,4.34,0.0,200.6,26.9,0.83
