date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,4.27,0.0,108.1,19.1,0.54
2000-01-02,2,4.12,0.0,98.4,22.3,0.66
2000-01-03,3,4.15,0.0,151.0,24.6,0.6
2000-01-04,4,4.19,1.4,150.0,19.1,0.49
2000-01-05,5,4.16,0.0,190.4,23.1,0.7
2000-01-06,6,4.37,11.9,109.6,20.5,0.36
2000-01-07,7,4.36,5.5,56.6,23.0,0.46
2000-01-08,8,4.48,0.0,43.3,25.2,0.74
2000-01-09,9,4.76,0.0,78.2,20.5,0.53
2000-01-10,10,4.71,6.0,90.0,20.2,0.5
2000-01-11,11,4.85,10.6,204.3,20.5,0.48
2000-01-12,12,4.86,7.8,137.1,20.0,0.57
2000-01-13,13,4.79,4.2,120.6,25.1,0.66
2000-01-14,14,4.57,0.0,171.2,24.6,0.7
2000-01-15,15,4.5,0.0,95.8,23.0,0.63
2000-01-16,16,4.35,0.0,84.6,21.3,0.69
2000-01-17,17,4.27,0.0,167.4,23.3,0.6
2000-01-18,18,4.04,0.0,109.4,25.2,0.59
2000-01-19,19,3.88,18.5,116.7,21.6,0.35
2000-01-20,20,3.83,0.0,157.0,25.9,0.74
2000-01-21,21,3.85,0.0,147.1,26.5,0.64
2000-01-22,22,3.92,0.0,172.8,21.6,0.64
2000-01-23,23,3.95,0.0,131.4,22.3,0.58
2000-01-24,24,3.94,0.0,148.5,22.2,0.56
2000-01-25,25,3.85,4.1,190.4,23.9,0.64
2000-01-26,26,3.82,0.0,87.0,22.7,0.55
2000-01-27,27,3.72,0.0,111.9,26.1,0.79
2000-01-28,28,3.71,3.9,156.2,28.1,0.67
2000-01-29,29,3.79,0.0,75.4,24.6,0.61
2000-01-30,30,3.65,0.0,163.4,26.5,0.75
2000-01-31,31,3.79,0.0,45.4,22.8,0.69
2000-02-01,32,3.77,0.0,90.9,27.7,0.7
2000-02-02,33,3.73,0.0,216.9,27.7,0.82
2000-02-03,34,3.89,0.0,63.0,27.4,0.73
2000-02-04,35,4.03,0.0,196.2,28.1,0.81
2000-02-05,36,3.97,8.5,115.5,28.4,0.7
2000-02-06,37,4.14,0.0,168.6,28.8,0.76
2000-02-07,38,4.08,2.1,78.1,26.8,0.63
2000-02-08,39,4.09,5.6,115.7,25.2,0.6
2000-02-09,40,4.16,0.0,175.9,25.0,0.64
2000-02-10,41,4.16,5.6,32.6,28.2,0.58
2000-02-11,42,4.22,84.4,65.3,26.5,0.58
2000-02-12,43,4.29,10.8,57.9,28.7,0.45
2000-02-13,44,4.12,5.9,163.2,30.1,0.61
2000-02-14,45,4.02,0.0,59.0,25.9,0.74
2000-02-15,46,4.06,0.0,157.3,28.1,0.83
2000-02-16,47,3.92,5.9,82.8,31.3,0.66
2000-02-17,48,3.68,0.0,186.8,30.2,0.88
2000-02-18,49,3.66,0.0,44.1,27.6,0.65
