date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,4.92,0.0,108.1,23.1,0.63
2000-01-02,2,4.73,0.0,98.4,26.3,0.75
2000-01-03,3,4.79,0.0,151.0,28.5,0.69
2000-01-04,4,4.85,1.4,150.0,23.1,0.58
2000-01-05,5,4.81,0.0,190.4,27.0,0.8
2000-01-06,6,5.11,11.9,109.6,24.4,0.42
2000-01-07,7,5.09,5.5,56.6,26.8,0.54
2000-01-08,8,5.24,0.0,43.3,29.0,0.83
2000-01-09,9,5.6,0.0,78.2,24.2,0.61
2000-01-10,10,5.5,6.0,90.0,24.0,0.57
2000-01-11,11,5.67,10.6,204.3,24.2,0.55
2000-01-12,12,5.65,7.8,137.1,23.7,0.65
2000-01-13,13,5.54,4.2,120.6,28.8,0.75
2000-01-14,14,5.23,0.0,171.2,28.2,0.79
2000-01-15,15,5.12,0.0,95.8,26.6,0.71
2000-01-16,16,4.94,0.0,84.6,24.8,0.77
2000-01-17,17,4.83,0.0,167.4,26.8,0.69
2000-01-18,18,4.54,0.0,109.4,28.7,0.67
2000-01-19,19,4.36,18.5,116.7,25.0,0.41
2000-01-20,20,4.33,0.0,157.0,29.3,0.82
2000-01-21,21,4.38,0.0,147.1,29.9,0.73
2000-01-22,22,4.5,0.0,172.8,24.8,0.71
2000-01-23,23,4.54,0.0,131.4,25.6,0.66
2000-01-24,24,4.54,0.0,148.5,25.4,0.63
2000-01-25,25,4.44,4.1,190.4,27.0,0.71
2000-01-26,26,4.41,0.0,87.0,25.8,0.63
2000-01-27,27,4.3,0.0,111.9,29.2,0.86
2000-01-28,28,4.31,3.9,156.2,31.2,0.75
2000-01-29,29,4.43,0.0,75.4,27.6,0.68
2000-01-30,30,4.26,0.0,163.4,29.4,0.82
2000-01-31,31,4.46,0.0,45.4,25.7,0.76
2000-02-01,32,4.44,0.0,90.9,30.6,0.77
2000-02-02,33,4.39,0.0,216.9,30.5,0.89
2000-02-03,34,4.6,0.0,63.0,30.2,0.8
2000-02-04,35,4.79,0.0,196.2,30.8,0.88
2000-02-05,36,4.71,8.5,115.5,31.1,0.75
2000-02-06,37,4.94,0.0,168.6,31.4,0.82
2000-02-07,38,4.84,2.1,78.1,29.4,0.69
2000-02-08,39,4.87,5.6,115.7,27.8,0.65
2000-02-09,40,4.96,0.0,175.9,27.5,0.7
2000-02-10,41,4.98,5.6,32.6,30.7,0.63
2000-02-11,42,5.11,84.4,65.3,28.9,0.62
2000-02-12,43,5.2,10.8,57.9,31.1,0.49
2000-02-13,44,4.97,5.9,163.2,32.4,0.66
2000-02-14,45,4.84,0.0,59.0,28.2,0.8
2000-02-15,46,4.86,0.0,157.3,30.3,0.88
2000-02-16,47,4.67,5.9,82.8,33.5,0.7
2000-02-17,48,4.35,0.0,186.8,32.3,0.93
2000-02-18,49,4.32,0.0,44.1,29.7,0.7
2000-02-19,50,4.24,0.0,128.1,29.4,0.88
2000-02-20,51,4.07,0.0,119.3,31.6,0.89
2000-02-21,52,4.14,0.0,109.5,33.5,0.81
2000-02-22,53,4.04,0.0,149.7,29.9,0.79
2000-02-23,54,3.72,0.0,147.0,31.4,0.8
2000-02-24,55,3.75,0.0,132.1,29.7,0.72
2000-02-25,56,3.64,0.0,124.8,31.2,0.84
2000-02-26,57,3.54,0.0,59.4,31.2,0.75
2000-02-27,58,3.75,0.0,173.8,33.0,0.9
2000-02-28,59,3.81,0.0,213.2,30.9,0.72
2000-02-29,60,4.07,0.0,182.7,30.0,0.83
2000-03-01,61,4.36,2.1,72.2,33.8,1.06
2000-03-02,62,4.5,0.0,55.7,35.6,1.13
2000-03-03,63,4.43,10.7,153.2,32.3,0.82
2000-03-04,64,4.48,0.0,152.1,32.5,1.16
2000-03-05,65,4.31,8.7,44.6,35.1,0.99
2000-03-06,66,4.27,0.0,143.4,34.0,1.02
2000-03-07,67,4.33,0.0,57.3,31.7,1.12
2000-03-08,68,4.27,10.3,209.3,31.4,0.76
2000-03-09,69,4.37,2.4,133.1,31.9,1.09
2000-03-10,70,4.32,0.0,107.1,32.7,1.04
2000-03-11,71,4.45,2.7,145.2,31.4,1.03
2000-03-12,72,4.59,5.5,128.5,35.5,0.98
2000-03-13,73,4.6,0.0,140.9,34.8,1.12
2000-03-14,74,4.59,0.0,94.5,32.0,1.09
2000-03-15,75,4.53,0.0,51.3,33.6,1.07
2000-03-16,76,4.51,2.4,163.0,33.1,1.0
2000-03-17,77,4.51,9.0,36.4,33.6,0.97
2000-03-18,78,4.48,4.9,134.4,33.0,1.02
2000-03-19,79,4.48,0.0,130.9,33.6,1.03
2000-03-20,80,4.57,0.0,173.1,32.7,1.12
2000-03-21,81,4.6,0.0,89.0,37.9,1.16
2000-03-22,82,4.39,0.0,122.3,34.5,1.06
2000-03-23,83,4.43,0.0,172.1,37.7,1.18
2000-03-24,84,4.21,0.0,189.9,35.6,1.22
2000-03-25,85,3.88,0.0,173.0,37.6,1.23
2000-03-26,86,3.97,0.0,125.3,37.9,1.28
2000-03-27,87,4.06,0.0,95.7,36.7,1.21
2000-03-28,88,4.04,1.3,103.3,38.5,1.22
2000-03-29,89,4.28,0.0,127.9,34.3,1.11
2000-03-30,90,4.51,0.0,87.1,35.1,1.08
2000-03-31,91,4.59,1.5,176.0,35.8,1.22
2000-04-01,92,4.84,7.5,101.4,39.8,1.04
2000-04-02,93,4.95,0.0,86.6,38.2,1.22
2000-04-03,94,5.1,44.0,63.5,40.0,0.87
2000-04-04,95,5.19,2.4,192.1,34.8,1.06
2000-04-05,96,5.25,2.5,139.8,37.3,1.29
2000-04-06,97,5.43,0.0,165.9,39.7,1.21
2000-04-07,98,5.63,71.7,165.3,36.6,0.84
2000-04-08,99,5.77,0.0,63.6,35.1,1.25
2000-04-09,100,5.89,0.7,58.9,38.4,1.33
2000-04-10,101,6.03,16.6,138.0,36.8,0.89
2000-04-11,102,6.09,49.9,48.3,36.8,0.81
2000-04-12,103,5.94,0.0,193.5,40.0,1.25
2000-04-13,104,5.71,0.0,167.3,35.3,1.25
2000-04-14,105,5.44,10.2,190.4,40.0,0.83
2000-04-15,106,5.16,2.1,171.9,37.8,1.29
2000-04-16,107,5.22,0.0,55.2,40.0,1.36
2000-04-17,108,4.93,0.0,49.6,37.8,1.16
2000-04-18,109,4.79,0.0,49.0,39.5,1.29
2000-04-19,110,4.87,0.0,104.8,36.1,1.18
2000-04-20,111,4.92,0.0,147.4,36.3,1.25
2000-04-21,112,4.8,0.0,81.1,40.0,1.33
2000-04-22,113,4.8,0.0,162.0,39.6,1.33
2000-04-23,114,4.48,0.0,129.9,40.0,1.35
2000-04-24,115,4.46,0.0,117.4,39.1,1.27
2000-04-25,116,4.47,0.0,88.2,40.0,1.29
2000-04-26,117,4.54,0.0,85.8,40.0,1.35
2000-04-27,118,4.67,0.0,36.8,40.0,1.25
2000-04-28,119,4.57,0.0,213.9,40.0,1.22
2000-04-29,120,4.65,0.0,171.2,40.0,1.34
2000-04-30,121,4.96,0.0,155.2,40.0,1.26
