date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,4.75,1.0,120.9,24.0,0.73
2000-01-02,2,4.66,0.0,130.5,23.9,0.66
2000-01-03,3,4.71,0.0,61.8,22.8,0.62
2000-01-04,4,4.84,32.3,66.0,22.5,0.52
2000-01-05,5,4.75,0.0,125.0,21.8,0.59
2000-01-06,6,4.79,5.3,97.3,26.4,0.54
2000-01-07,7,4.75,4.6,192.7,26.9,0.74
2000-01-08,8,4.7,7.0,48.4,26.7,0.67
2000-01-09,9,4.6,1.9,141.6,24.7,0.62
2000-01-10,10,4.72,11.2,149.0,24.2,0.4
2000-01-11,11,4.62,8.7,143.4,24.3,0.53
2000-01-12,12,4.67,0.0,85.3,27.1,0.68
2000-01-13,13,4.72,51.2,133.1,27.2,0.59
2000-01-14,14,4.7,17.6,201.0,28.4,0.48
2000-01-15,15,4.88,0.0,131.4,28.5,0.8
2000-01-16,16,4.85,3.0,119.3,26.4,0.8
2000-01-17,17,4.85,4.5,104.0,26.8,0.65
2000-01-18,18,4.84,8.2,169.3,27.2,0.62
2000-01-19,19,4.76,0.0,129.0,23.7,0.63
2000-01-20,20,4.68,0.0,149.0,28.5,0.68
2000-01-21,21,4.68,0.0,128.6,26.8,0.81
2000-01-22,22,4.45,0.0,189.3,26.7,0.66
2000-01-23,23,4.3,0.0,221.9,25.7,0.64
2000-01-24,24,4.09,2.7,207.1,27.6,0.7
2000-01-25,25,3.9,0.0,140.8,27.1,0.83
2000-01-26,26,4.0,0.0,119.0,27.2,0.66
2000-01-27,27,3.9,0.0,98.7,24.5,0.69
2000-01-28,28,3.66,0.0,94.2,27.2,0.69
2000-01-29,29,3.5,0.0,60.7,24.8,0.76
2000-01-30,30,3.54,3.9,68.1,27.2,0.79
2000-01-31,31,3.57,8.5,131.0,28.8,0.73
2000-02-01,32,3.62,0.0,165.2,26.9,0.76
2000-02-02,33,3.68,24.5,178.2,27.2,0.56
2000-02-03,34,3.86,0.2,77.0,25.4,0.77
2000-02-04,35,3.98,13.4,102.6,27.0,0.49
2000-02-05,36,4.13,0.0,84.3,27.1,0.71
2000-02-06,37,4.12,5.0,120.1,25.7,0.78
2000-02-07,38,4.22,4.7,52.8,31.7,0.82
2000-02-08,39,4.19,0.0,114.3,31.5,0.88
2000-02-09,40,4.1,0.5,51.0,28.0,0.73
2000-02-10,41,4.21,9.7,107.8,27.2,0.72
2000-02-11,42,4.33,4.1,106.5,30.9,0.82
2000-02-12,43,4.53,0.0,180.9,32.1,0.88
2000-02-13,44,4.66,20.4,199.5,31.3,0.55
2000-02-14,45,5.02,10.8,129.2,28.0,0.51
2000-02-15,46,5.1,0.0,115.4,28.3,0.73
2000-02-16,47,5.05,2.5,114.3,27.8,0.77
2000-02-17,48,5.09,0.0,92.6,30.0,0.73
2000-02-18,49,5.06,0.0,69.5,29.7,0.72
2000-02-19,50,4.9,5.9,154.0,31.4,0.62
2000-02-20,51,4.77,0.0,132.4,31.2,0.9
2000-02-21,52,4.76,0.0,207.4,32.7,0.86
2000-02-22,53,5.22,0.0,73.8,32.1,0.77
2000-02-23,54,5.52,6.7,224.6,32.0,0.65
2000-02-24,55,5.89,0.0,85.6,33.2,0.81
2000-02-25,56,9.75,0.0,104.4,34.5,0.84
2000-02-26,57,8.38,0.0,113.0,34.3,0.87
2000-02-27,58,8.71,0.0,167.6,31.3,0.87
2000-02-28,59,9.03,0.0,52.7,32.1,0.81
2000-02-29,60,9.07,0.0,166.1,29.4,0.7
2000-03-01,61,8.8,0.0,173.1,32.5,1.02
2000-03-02,62,8.47,3.7,151.3,32.3,1.05
2000-03-03,63,8.23,0.0,151.8,31.5,1.13
2000-03-04,64,7.93,0.0,81.9,35.2,1.16
2000-03-05,65,7.74,0.0,203.7,33.3,1.19
2000-03-06,66,7.55,3.5,138.0,32.1,1.04
2000-03-07,67,7.29,12.2,157.4,32.4,0.78
2000-03-08,68,6.98,0.0,175.3,36.5,1.21
2000-03-09,69,6.76,0.0,83.2,36.0,1.27
2000-03-10,70,6.65,0.0,160.5,36.8,1.17
2000-03-11,71,6.48,0.0,154.3,36.0,1.24
2000-03-12,72,6.29,0.3,120.5,36.6,1.26
2000-03-13,73,6.44,9.0,176.8,35.8,0.93
2000-03-14,74,6.28,0.0,51.7,36.0,1.13
2000-03-15,75,6.28,0.0,133.8,37.2,1.19
2000-03-16,76,6.16,0.0,146.2,33.8,1.2
2000-03-17,77,6.01,0.0,120.3,33.2,1.19
2000-03-18,78,5.78,0.0,197.3,37.3,1.21
2000-03-19,79,5.47,0.0,162.6,36.7,1.1
2000-03-20,80,5.29,0.0,83.8,33.3,1.06
2000-03-21,81,4.98,9.3,69.3,34.9,0.98
2000-03-22,82,4.68,0.0,21.9,38.7,1.3
2000-03-23,83,4.41,0.0,152.7,34.0,1.14
2000-03-24,84,4.24,12.4,92.7,36.4,0.91
2000-03-25,85,4.26,0.0,91.5,34.7,1.17
2000-03-26,86,4.2,0.0,214.2,35.5,1.26
2000-03-27,87,3.98,0.0,105.4,37.3,1.26
2000-03-28,88,3.91,6.9,180.0,35.4,1.07
2000-03-29,89,3.66,0.0,48.2,34.4,1.2
2000-03-30,90,3.48,0.3,177.0,39.3,1.2
2000-03-31,91,3.53,0.0,165.9,37.0,1.17
2000-04-01,92,3.5,0.0,39.0,34.4,1.14
2000-04-02,93,3.6,0.0,74.4,40.0,1.35
2000-04-03,94,4.01,0.0,106.0,38.7,1.29
2000-04-04,95,4.19,0.0,113.6,38.4,1.18
2000-04-05,96,4.58,97.2,160.7,40.0,0.86
2000-04-06,97,4.75,0.0,133.2,35.6,1.1
2000-04-07,98,4.71,15.4,41.9,40.0,0.96
2000-04-08,99,4.66,4.1,45.9,36.4,1.28
2000-04-09,100,4.55,1.8,47.4,36.3,1.17
2000-04-10,101,4.47,3.1,83.2,36.4,1.2
2000-04-11,102,4.37,0.0,140.7,35.9,1.21
2000-04-12,103,4.28,6.7,204.7,37.0,0.96
2000-04-13,104,4.08,0.0,119.1,39.3,1.22
2000-04-14,105,4.1,0.0,146.6,38.2,1.15
2000-04-15,106,3.96,0.0,92.5,37.5,1.23
2000-04-16,107,3.76,5.1,159.3,40.0,1.05
2000-04-17,108,3.81,0.0,145.9,37.1,1.29
2000-04-18,109,3.78,0.0,143.0,40.0,1.3
2000-04-19,110,3.66,0.0,148.8,40.0,1.26
2000-04-20,111,3.59,0.0,172.2,39.5,1.36
2000-04-21,112,3.52,11.6,176.7,38.1,0.81
2000-04-22,113,3.4,0.0,83.7,39.6,1.2
2000-04-23,114,3.31,0.0,144.2,40.0,1.38
2000-04-24,115,3.2,0.0,76.6,37.8,1.18
