date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2000-01-01,1,1.23,0.0,117.4,29.5,0.93
2000-01-02,2,1.28,0.0,103.8,25.6,0.9
2000-01-03,3,1.28,1.0,49.2,28.9,0.94
2000-01-04,4,1.22,0.0,128.6,25.9,0.93
2000-01-05,5,1.22,0.0,36.1,27.8,0.85
2000-01-06,6,1.29,0.0,39.5,28.0,0.84
2000-01-07,7,1.25,0.0,75.5,29.5,0.94
2000-01-08,8,1.31,0.0,39.6,27.5,0.83
2000-01-09,9,1.37,0.0,31.8,28.5,1.05
2000-01-10,10,1.35,9.7,135.4,27.8,0.78
2000-01-11,11,1.4,0.0,139.0,26.0,0.96
2000-01-12,12,1.31,0.0,119.6,28.1,0.99
2000-01-13,13,1.36,0.0,82.2,29.9,1.02
2000-01-14,14,1.28,0.0,147.8,29.2,0.93
2000-01-15,15,1.24,0.0,104.7,28.4,0.95
2000-01-16,16,1.13,0.0,141.4,28.2,0.86
2000-01-17,17,1.13,0.0,149.9,27.4,0.97
2000-01-18,18,1.06,0.0,35.3,27.5,0.92
2000-01-19,19,1.14,11.6,77.8,26.7,0.6
2000-01-20,20,1.03,0.0,90.1,26.4,0.84
2000-01-21,21,1.07,13.9,45.0,25.8,0.7
2000-01-22,22,0.99,0.0,42.7,25.2,0.91
2000-01-23,23,0.98,0.0,102.7,28.8,1.02
2000-01-24,24,0.96,0.0,103.2,29.1,0.94
2000-01-25,25,0.99,0.0,43.6,26.1,0.97
2000-01-26,26,0.96,0.0,43.7,27.7,0.85
2000-01-27,27,1.0,0.0,92.8,29.7,1.01
2000-01-28,28,1.09,10.7,107.2,29.2,0.68
2000-01-29,29,1.14,0.0,62.2,29.4,0.93
2000-01-30,30,1.13,0.0,39.0,29.6,1.06
2000-01-31,31,1.19,0.0,116.2,26.8,0.93
2000-02-01,32,1.14,0.0,72.1,25.6,0.93
2000-02-02,33,1.23,2.2,132.3,25.4,0.81
2000-02-03,34,1.13,0.0,45.5,29.2,0.98
2000-02-04,35,1.18,0.0,73.4,30.0,1.06
2000-02-05,36,1.23,0.0,37.1,27.4,0.84
2000-02-06,37,1.22,0.0,142.6,29.2,0.96
2000-02-07,38,1.37,12.8,132.4,27.0,0.72
2000-02-08,39,1.39,0.0,96.6,27.1,1.0
2000-02-09,40,1.34,0.0,66.7,25.2,0.79
2000-02-10,41,1.36,0.0,57.5,27.0,0.88
2000-02-11,42,1.31,0.0,93.0,27.0,0.97
2000-02-12,43,1.23,0.0,101.3,27.7,0.99
2000-02-13,44,1.25,0.0,137.9,29.6,1.07
2000-02-14,45,1.15,0.0,52.8,29.2,0.93
2000-02-15,46,1.14,0.0,65.1,28.2,1.04
2000-02-16,47,1.08,0.0,120.7,27.2,0.82
2000-02-17,48,1.08,0.0,109.3,27.6,1.0
2000-02-18,49,1.01,0.0,110.5,25.8,0.91
2000-02-19,50,0.95,0.0,36.5,25.2,0.86
2000-02-20,51,1.03,0.0,82.9,26.6,0.81
2000-02-21,52,1.09,13.6,91.2,28.1,0.71
2000-02-22,53,1.01,0.0,62.4,26.5,0.89
2000-02-23,54,1.01,0.0,144.3,28.3,0.98
2000-02-24,55,1.05,0.0,30.8,26.3,0.98
2000-02-25,56,1.06,0.0,122.4,28.1,1.02
2000-02-26,57,1.07,5.7,104.0,28.0,0.81
2000-02-27,58,1.21,14.5,31.7,25.6,0.57
2000-02-28,59,1.15,2.2,136.5,25.8,0.94
2000-02-29,60,1.1,0.0,134.5,28.0,0.98
2000-03-01,61,1.14,0.0,41.3,30.8,1.06
2000-03-02,62,1.18,0.0,132.5,28.8,0.98
2000-03-03,63,1.19,6.7,68.3,29.9,0.94
2000-03-04,64,1.18,0.0,149.2,34.7,1.19
2000-03-05,65,1.27,0.0,45.8,34.3,1.16
2000-03-06,66,1.22,0.0,67.5,28.8,1.0
2000-03-07,67,1.18,1.9,88.7,30.5,1.08
2000-03-08,68,1.26,0.0,141.9,31.2,1.02
2000-03-09,69,1.24,0.0,38.9,31.3,1.12
2000-03-10,70,1.24,0.0,131.6,32.7,1.03
2000-03-11,71,1.36,7.6,129.5,28.1,0.82
2000-03-12,72,1.45,10.5,90.7,28.9,0.76
2000-03-13,73,1.53,0.0,140.2,30.0,0.92
2000-03-14,74,1.45,0.0,141.1,31.3,1.06
2000-03-15,75,1.35,0.0,108.3,32.7,1.18
2000-03-16,76,1.21,1.6,89.8,28.1,0.86
2000-03-17,77,1.05,0.0,107.4,28.7,0.91
2000-03-18,78,1.07,15.0,148.6,29.3,0.71
2000-03-19,79,1.0,0.0,53.1,34.5,1.14
2000-03-20,80,0.98,11.8,119.6,29.3,0.69
2000-03-21,81,0.97,0.0,39.7,31.9,0.99
2000-03-22,82,0.85,0.0,134.8,34.5,1.19
2000-03-23,83,0.86,2.3,125.1,33.6,1.02
2000-03-24,84,0.95,37.6,123.5,32.8,0.79
2000-03-25,85,0.9,0.0,142.7,34.4,1.09
2000-03-26,86,0.86,0.0,72.2,28.2,0.88
2000-03-27,87,0.86,0.0,65.6,28.3,0.87
2000-03-28,88,0.97,0.0,109.6,31.3,0.97
2000-03-29,89,0.9,0.0,83.1,31.4,1.13
2000-03-30,90,0.94,14.6,35.8,29.1,0.7
2000-03-31,91,0.97,0.0,146.7,31.1,1.05
2000-04-01,92,0.99,0.0,116.9,29.9,1.08
2000-04-02,93,0.98,0.0,139.8,28.8,0.99
2000-04-03,94,0.98,0.0,82.6,32.3,1.04
2000-04-04,95,1.16,0.0,93.7,33.6,1.06
2000-04-05,96,1.29,0.0,80.3,30.2,1.02
2000-04-06,97,1.33,0.0,30.7,29.7,0.98
2000-04-07,98,1.26,0.0,101.3,32.9,1.09
2000-04-08,99,1.2,0.5,57.0,30.0,1.08
2000-04-09,100,1.26,0.0,107.1,30.0,1.06
2000-04-10,101,1.33,0.0,109.1,33.7,1.08
2000-04-11,102,1.37,4.2,53.6,28.7,0.95
2000-04-12,103,1.43,0.0,57.0,34.1,1.17
2000-04-13,104,1.49,9.1,46.5,30.0,0.76
2000-04-14,105,1.43,0.8,99.0,30.9,0.95
2000-04-15,106,1.39,0.0,112.2,31.1,1.05
2000-04-16,107,1.31,0.0,81.4,32.3,1.09
2000-04-17,108,1.18,0.0,105.9,33.1,1.08
2000-04-18,109,1.19,0.0,124.6,28.3,0.9
2000-04-19,110,1.15,0.0,40.0,31.0,0.99
2000-04-20,111,1.17,7.6,123.6,30.6,0.83
2000-04-21,112,1.24,4.6,50.1,29.6,0.96
2000-04-22,113,1.15,0.0,121.2,32.2,1.02
2000-04-23,114,1.12,0.0,53.3,30.4,1.08
2000-04-24,115,1.16,13.8,110.2,30.7,0.68
2000-04-25,116,1.12,0.0,112.3,28.0,0.85
2000-04-26,117,1.21,3.6,68.3,30.2,1.11
2000-04-27,118,1.15,1.7,124.0,32.9,1.1
2000-04-28,119,1.05,0.7,128.9,31.8,1.14
2000-04-29,120,1.05,0.0,115.0,34.8,1.14
2000-04-30,121,0.99,0.0,58.0,30.7,0.93
2000-05-01,122,1.23,15.7,168.5,30.4,0.78
2000-05-02,123,1.33,6.1,121.2,29.1,0.88
2000-05-03,124,1.52,14.5,132.6,33.3,0.68
2000-05-04,125,1.57,0.0,199.9,31.1,0.99
2000-05-05,126,1.75,0.0,260.8,34.9,1.18
2000-05-06,127,1.83,0.0,251.7,32.7,1.08
2000-05-07,128,1.88,0.0,158.9,29.3,0.91
2000-05-08,129,1.96,2.7,174.3,29.2,1.05
2000-05-09,130,2.12,22.3,199.4,33.1,0.85
2000-05-10,131,2.2,0.0,263.9,30.0,1.01
2000-05-11,132,2.23,0.0,275.7,29.4,0.9
2000-05-12,133,2.22,0.0,298.0,30.9,0.96
2000-05-13,134,2.42,15.7,271.9,30.2,0.73
2000-05-14,135,2.4,0.0,243.8,31.9,1.05
2000-05-15,136,2.33,0.0,274.8,31.9,1.06
2000-05-16,137,2.26,0.0,164.4,33.2,1.1
2000-05-17,138,2.22,0.0,101.5,31.6,1.12
2000-05-18,139,2.17,19.9,119.4,32.9,0.86
2000-05-19,140,2.06,0.0,233.7,34.7,1.23
2000-05-20,141,1.98,0.0,282.3,31.8,1.11
2000-05-21,142,1.94,0.0,124.5,29.8,0.98
2000-05-22,143,1.92,0.0,143.6,29.0,1.04
2000-05-23,144,1.86,23.4,184.1,29.8,0.66
2000-05-24,145,1.76,0.0,147.4,34.6,1.07
2000-05-25,146,1.74,0.0,255.3,32.2,1.0
2000-05-26,147,1.69,17.1,257.3,34.5,0.83
2000-05-27,148,1.64,0.0,105.3,33.3,1.1
2000-05-28,149,1.69,13.7,170.6,34.4,0.82
2000-05-29,150,1.71,0.0,112.9,29.2,1.05
2000-05-30,151,1.72,0.0,194.7,32.3,1.1
2000-05-31,152,1.84,7.4,267.7,29.7,0.89
2000-06-01,153,1.98,19.9,276.7,32.7,0.68
2000-06-02,154,2.03,9.4,132.6,29.5,0.84
2000-06-03,155,2.13,0.0,199.8,28.7,1.02
2000-06-04,156,2.15,0.0,124.5,34.4,1.12
2000-06-05,157,2.05,0.0,254.8,29.7,0.96
2000-06-06,158,2.16,10.5,230.3,32.8,0.78
2000-06-07,159,2.09,0.0,159.6,32.5,1.09
2000-06-08,160,2.12,0.0,273.5,34.2,1.08
2000-06-09,161,2.13,9.1,267.9,32.8,0.86
2000-06-10,162,2.22,8.9,236.0,33.1,1.02
2000-06-11,163,2.18,0.0,130.7,29.2,1.01
2000-06-12,164,2.24,0.0,281.7,30.1,0.94
2000-06-13,165,2.27,10.3,286.6,32.9,0.75
2000-06-14,166,2.21,0.0,218.2,35.0,1.15
2000-06-15,167,2.09,0.0,253.9,34.1,1.18
2000-06-16,168,2.16,15.7,249.8,30.7,0.63
2000-06-17,169,2.09,0.0,223.5,32.3,1.14
2000-06-18,170,1.94,0.0,101.0,28.6,0.98
2000-06-19,171,1.83,0.0,211.3,28.5,0.95
2000-06-20,172,1.82,17.6,287.6,30.9,0.76
2000-06-21,173,1.65,10.9,187.9,33.8,0.72
2000-06-22,174,1.71,0.0,254.3,29.0,1.04
2000-06-23,175,1.8,19.2,257.1,34.3,0.89
2000-06-24,176,1.76,0.0,198.8,32.3,1.03
2000-06-25,177,1.75,15.4,253.0,30.3,0.64
2000-06-26,178,1.87,0.0,117.6,33.7,1.03
2000-06-27,179,1.78,0.0,298.0,29.5,1.0
2000-06-28,180,1.65,0.0,155.3,30.4,1.1
2000-06-29,181,1.65,0.0,252.9,33.6,1.05
2000-06-30,182,1.66,0.0,152.3,34.1,1.17
2000-07-01,183,1.71,0.0,227.3,31.4,1.12
2000-07-02,184,1.75,0.0,267.1,32.7,1.06
2000-07-03,185,1.87,0.0,214.9,30.7,1.06
2000-07-04,186,1.95,18.5,294.3,33.2,0.81
2000-07-05,187,2.04,0.0,284.8,29.2,0.94
2000-07-06,188,2.17,0.0,237.9,33.2,1.0
2000-07-07,189,2.43,17.2,240.8,32.1,0.7
2000-07-08,190,2.71,15.1,176.8,31.1,0.65
2000-07-09,191,2.85,0.0,164.3,34.7,1.1
2000-07-10,192,2.95,24.0,212.2,29.0,0.76
2000-07-11,193,3.01,17.1,105.9,33.4,0.72
2000-07-12,194,3.05,0.0,130.4,31.6,1.05
2000-07-13,195,3.3,23.4,135.5,32.9,0.75
2000-07-14,196,3.28,0.0,137.5,32.6,1.05
2000-07-15,197,3.1,0.0,173.6,32.2,0.99
2000-07-16,198,2.81,0.0,155.9,34.2,1.15
2000-07-17,199,2.66,0.0,101.8,29.1,0.92
2000-07-18,200,2.67,15.9,194.1,28.8,0.63
2000-07-19,201,2.6,2.1,146.1,31.2,1.11
2000-07-20,202,2.45,0.0,231.9,28.5,1.03
2000-07-21,203,2.3,3.4,293.9,32.6,1.07
2000-07-22,204,2.21,15.7,114.6,31.7,0.77
2000-07-23,205,2.06,0.0,296.3,29.1,0.99
2000-07-24,206,1.97,0.0,234.1,32.9,1.14
2000-07-25,207,1.89,0.0,267.1,31.9,1.1
2000-07-26,208,1.81,0.0,256.5,33.6,1.02
2000-07-27,209,1.79,0.0,271.5,30.3,0.91
2000-07-28,210,1.77,0.0,241.5,29.7,0.93
