feature,correlation_score,rf_score
wl_lag_1,0.9663416205416381,0.9466032465075674
wl_lag_2,0.9433274879490735,0.0011003186596857896
wl_max_7,0.92080719306058,0.0008133228263034538
wl_lag_3,0.9146586630710868,0.009401438505403339
wl_ma_7,0.9038886493303644,0.0016029717095385847
wl_min_7,0.869695521488753,0.0006608938720167331
wl_ma_14,0.8399583249832192,0.0004288630728251271
wl_lag_7,0.7943368495660215,0.0003190855470380112
wl_ma_30,0.7612644623446279,0.0004168515023401016
wl_lag_14,0.6465515324918981,0.0004399009817893616
wl_lag_365,0.6274769358326739,0.001339040276380189
season,0.5893813241399177,3.2252719215474905e-05
cos_doy,0.5379520156622893,0.002731326070550747
sin_doy,0.5340198068888787,0.0010704751436346437
wl_lag_30,0.5087825972938352,0.001266827800661905
wl_std_7,0.46595091801864597,0.001463834917591699
month,0.34621393229425146,0.00029022389189447076
rain_ma_14,0.2703163529819737,0.0004797867882859096
et0_fao_evapotranspiration,0.26909236518973023,0.0005097469503320976
precip_evap_interaction,0.2585125872501959,0.0005064997141960492
precipitation_sum,0.23225002584387638,0.0004947625336661455
rain_ma_7,0.2293197593152477,0.0005198181007992022
temp_ma_14,0.18846541414709028,0.00036075716807150746
wl_delta_3,0.16362281167426126,0.0018665303797280207
temp_ma_7,0.15059136850242574,0.00040691642634615386
temp_lag_3,0.13259875540646748,0.00045345928289969393
wl_delta_1,0.1227244352367984,0.02161230628308121
temp_lag_1,0.11252256448192532,0.0004752104907006235
rain_temp_interaction,0.11185143923635167,0.0002747121921352145
rain_lag_3,0.10481313204542621,0.0002630514149907735
rain_lag_1,0.1038892232181057,0.00024279653038388556
rainfall,0.10304371383020823,0.0002630134489112515
temperature_2m_max,0.10149887472049343,0.0005607650923268655
rain_ratio,0.004487364208109661,0.0003208071924934293
rain_delta_1,0.00026759323633566723,0.0004081860062147763
