model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.3927184351979944,0.9328560392754875,0.1969963440219512,0.30538297348857113,0.9502510885117125,0.17138211083846408
Ridge_Regression,0.39296510624789616,0.9327716649688969,0.19613219963382866,0.30581563171997617,0.9501100228634536,0.17085248713608386
Lasso_Regression,0.44389470645292267,0.9142163915309384,0.23825099451749265,0.3657252579115852,0.9286483774460537,0.2224883299053084
ElasticNet,0.4391476812602468,0.9160413268078221,0.22830379905339085,0.36053518740014223,0.9306591344659741,0.21532553439118562
Random_Forest,0.3379530539501972,0.9502770222221673,0.1814704949101714,0.25748965592514156,0.9646317544025249,0.16254195651636996
Extra_Trees,0.33827643636777954,0.9501818182894677,0.1843917786387042,0.24047887521413072,0.9691505228591571,0.1600473727848451
Gradient_Boosting,0.330296593107941,0.9525044887293795,0.1803202162941902,0.24568872365399982,0.9677993682573922,0.16147409167694715
XGBoost,0.33442417613733266,0.9513100071807093,0.18282126864367387,0.245454225974365,0.9678608067296158,0.16189822928005498
LightGBM,0.3395015594161838,0.9498203155818641,0.19016636806882445,0.24151933186072647,0.9688829984857817,0.16479498827857084
SVR,0.4312381945756449,0.9190384494386103,0.2710317290622978,0.3319365067748978,0.9412234646703455,0.22722236503648469
