feature,correlation_score,rf_score
wl_lag_1,0.9659853910989329,0.9462342050683188
wl_lag_2,0.9434309966711834,0.0010082914947056787
wl_max_7,0.9229174219224765,0.0009261806196352721
wl_lag_3,0.9150853087061253,0.011519572927357466
wl_ma_7,0.9046906291499478,0.0018047401532086174
wl_min_7,0.8662315246615534,0.000664654629398227
wl_ma_14,0.8403139843409126,0.0006759930480339556
wl_lag_7,0.7962431108191637,0.0005487141460135632
wl_ma_30,0.7551260458205354,0.0004990457908394886
wl_lag_14,0.6437974649363429,0.00047555901588274056
wl_lag_365,0.5818542279566675,0.0010620946596068546
cos_doy,0.5497700995863404,0.002329113249176288
season,0.5458084966461054,0.00013700397859570825
wl_lag_30,0.48688315557815526,0.0010476915126442126
sin_doy,0.460016588493738,0.0007451592369104981
wl_std_7,0.45836972647088037,0.0013637114903555356
precip_evap_interaction,0.3443132641737919,0.0004590873323017583
rain_ma_14,0.33806396344352213,0.00044287987459697636
precipitation_sum,0.32120869239543204,0.0005146638892328302
month,0.31359603689882554,0.0002452040306959182
rain_ma_7,0.2877098979551211,0.0005930672883556774
et0_fao_evapotranspiration,0.27887565205396825,0.0007291674772477475
temp_ma_14,0.21743192128204317,0.0004758483524060744
temp_ma_7,0.17842887573303057,0.0004307164268777629
wl_delta_3,0.15874993060121242,0.002619855174420733
temp_lag_3,0.1584969277002921,0.0006015586975328189
temp_lag_1,0.13547848747044464,0.00046073352768830544
rain_lag_3,0.13457040669858383,0.0004828510356105312
rain_temp_interaction,0.1340670204354175,0.00027915042364054065
rain_lag_1,0.12784043846462334,0.00022515356710854737
rainfall,0.12538766323181205,0.0003348794976845001
temperature_2m_max,0.12458440452955032,0.0004668905319213137
wl_delta_1,0.11789454774719932,0.018871513348578235
rain_ratio,0.0028463878973471936,0.0002390083385677113
rain_delta_1,0.0011532322885929947,0.0004860401648489321
