model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.44477771445347514,0.9398295193047076,0.23893152056335523,0.4144271243244959,0.9479720876535604,0.23191368144527183
Ridge_Regression,0.44463462726411734,0.9398682273595664,0.23815513130702123,0.4145126465950092,0.9479506122044759,0.2309427589767696
Lasso_Regression,0.4974665019257105,0.9247294434833294,0.2853237880785402,0.4740408848099034,0.9319275070818354,0.2770238749306507
ElasticNet,0.49798706694538974,0.9245718299761863,0.28160405203246647,0.47281111485562016,0.9322802400347843,0.2736216787603785
Random_Forest,0.36118597791356577,0.9603211381221977,0.2263519629325141,0.31166505154936125,0.9705750138994185,0.21636138668882615
Extra_Trees,0.3627882641737391,0.9599683120525281,0.22398062302117078,0.32525934341366103,0.9679520970179628,0.21331166819084976
Gradient_Boosting,0.35398540657289396,0.9618874366150763,0.22362801466605203,0.32545591606434954,0.9679133485852978,0.21733967281813363
XGBoost,0.35511700671588553,0.9616433750452068,0.21994777538941146,0.31356340861265325,0.9702154660491037,0.21307033106191273
LightGBM,0.36640523713988465,0.9591661068103321,0.22532978131234013,0.32570927731860283,0.9678633714413464,0.2204069424495262
SVR,0.5000649999311026,0.9239410437827397,0.3188286952391065,0.49513076807634915,0.9257357353909934,0.3305496676561147
