feature,correlation_score,rf_score
wl_lag_1,0.9661846489269198,0.9470457025378827
wl_lag_2,0.9434538034111518,0.0007820996591576531
wl_max_7,0.9229687943512644,0.0006345537796324683
wl_lag_3,0.9145674588053636,0.00957216369682978
wl_ma_7,0.904060093581068,0.0014928403227250444
wl_min_7,0.8658018921110651,0.0008590120413595755
wl_ma_14,0.8425269514752124,0.0005795507151689577
wl_lag_7,0.7956052837355688,0.0004355357790631794
wl_ma_30,0.7738701119712152,0.0007749720062040867
wl_lag_14,0.6554184859935909,0.00046621092364764377
wl_lag_365,0.6349095765681656,0.0020915536882278774
season,0.5903023870651728,5.267506613529116e-05
cos_doy,0.5632138476072802,0.0022617310261324373
wl_lag_30,0.5374260619281811,0.0006661973249013013
sin_doy,0.5358851305833762,0.0008535452668988495
wl_std_7,0.4658657252634647,0.0018061804669938634
month,0.3431464061379976,0.0001531166348850887
rain_ma_14,0.2921528788377786,0.0004640908509501709
precip_evap_interaction,0.29030210911377585,0.0007678042909905196
et0_fao_evapotranspiration,0.2719750515846498,0.0006273294579983485
precipitation_sum,0.26629863535004505,0.0004841777923344037
rain_ma_7,0.25428551981926384,0.0005492261815161255
temp_ma_14,0.20068337623949745,0.00040834475183370894
wl_delta_3,0.1655508292568674,0.002648752084253196
temp_ma_7,0.15968031133000948,0.00047359865009125794
temp_lag_3,0.13855352606457388,0.0003111082792275735
rain_temp_interaction,0.12397309241600589,0.00013091404209976515
wl_delta_1,0.12190986887947215,0.02039158791282933
rain_lag_3,0.11734869428431509,0.00024639378049238076
rain_lag_1,0.1173446349069016,0.00010893676251148896
rainfall,0.11610434375362166,0.00024099177172497865
temp_lag_1,0.11519546095620863,0.00029296658834771454
temperature_2m_max,0.10295237754315974,0.0004522061603754506
rain_ratio,0.0014298256045422886,0.0003573832996057714
rain_delta_1,1.1022870311311051e-05,0.0005165464069722128
