model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.3342308540368991,0.9439720912416004,0.18620791623166183,0.3053088633339886,0.9559094190915648,0.17985600732126916
Ridge_Regression,0.3349434166980222,0.9437329394543081,0.1861853698162479,0.30547782164354176,0.9558606060226668,0.17938122811227103
Lasso_Regression,0.3856552514630333,0.9254049800520837,0.22134481657224334,0.36714165820068956,0.9362420527188865,0.22761634895403055
ElasticNet,0.38050099753633104,0.9273855696509631,0.21639029974949717,0.35759845831627307,0.9395135255498768,0.218238304041388
Random_Forest,0.27504987152831495,0.9620567761279755,0.17894329543456414,0.28796583518292784,0.9607762667527985,0.17711226340486694
Extra_Trees,0.2827304105464998,0.9599081235799894,0.17905489761754914,0.2751590996054923,0.9641874904251297,0.1730189925971809
Gradient_Boosting,0.28726587064634196,0.9586115274880813,0.1894584152694094,0.29095111562625686,0.9599588032008156,0.17901679492827355
XGBoost,0.2809511551918775,0.9604111414907218,0.1819993308998615,0.289824966789214,0.9602681684383431,0.17685825735791103
LightGBM,0.2791018037281603,0.9609306107912604,0.18525204113425112,0.29438703572198976,0.9590075045446506,0.1809947531203425
SVR,0.37442350539682345,0.929686689628786,0.2530481358965326,0.361147521877401,0.9383069453277753,0.24352128368558892
