feature,correlation_score,rf_score
wl_lag_1,0.9634077755626046,0.9472190030818404
wl_lag_2,0.9350163661008246,0.001538293480488798
wl_lag_3,0.8996191984145949,0.012054826373537515
wl_max_7,0.8946996532641941,0.0009216254118032604
wl_ma_7,0.8863203182006071,0.0015189775732625994
wl_min_7,0.8608812488213387,0.0007006039939079573
wl_ma_14,0.8187956186106482,0.000778671477316901
wl_lag_7,0.7600509167089113,0.0005326607566380301
wl_ma_30,0.7507015437836759,0.0008769519756967915
wl_lag_365,0.6486536804564261,0.0015956451433503979
wl_lag_14,0.6160778253160254,0.000991141215623918
season,0.5666014629987902,5.367356210990053e-05
cos_doy,0.5343167801708435,0.0031843058914952024
sin_doy,0.5258478253533545,0.0011266269276351667
wl_lag_30,0.5063051724619286,0.001176594143271381
wl_std_7,0.3992520611537063,0.0019203622978389851
rain_ma_14,0.333575458439092,0.0008138378206974401
month,0.3156216359297304,0.0004400174412847932
rain_ma_7,0.30387728327510977,0.0007292026712406972
precip_evap_interaction,0.30153150817756874,0.0006282472492237569
precipitation_sum,0.293466907399448,0.0006562066599461886
et0_fao_evapotranspiration,0.235089957556122,0.0006120419232477429
wl_delta_3,0.20267154545402433,0.001917799496662488
temp_ma_14,0.17831940132267884,0.0014148703522843269
rain_temp_interaction,0.1586847086762024,0.000279396561102971
wl_delta_1,0.15556323849292333,0.010785483219498638
rain_lag_1,0.15152504840598688,0.0002899324832424693
rainfall,0.15013211512918279,0.0005760257707632767
rain_lag_3,0.14786443007915623,0.0008609783124951744
temp_ma_7,0.14125641712404027,0.0009976599204176465
temp_lag_3,0.12431412744915629,0.0005809171128075362
temp_lag_1,0.10509140683156504,0.0006633172772624522
temperature_2m_max,0.09570132676750326,0.0007141031509030996
rain_delta_1,0.00111263743257846,0.00044729521748663553
rain_ratio,0.0007103686648891249,0.0004027040536154917
