model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.2873971188799459,0.9517668354797056,0.19213580809716566,0.27945968544430344,0.9481181144377773,0.1836720590507683
Ridge_Regression,0.28740010805772015,0.9517658321415113,0.19211124036303745,0.27941289855558377,0.9481354850206334,0.18353181600067495
Lasso_Regression,0.3552968838663124,0.9262836652884343,0.24455015577187017,0.34173043258081337,0.9224209008386609,0.22901274956766116
ElasticNet,0.33320852816422886,0.9351644569535293,0.22367251056403228,0.3192642306926271,0.9322860812073482,0.20813527691639208
Random_Forest,0.2852934830202066,0.9524703475577497,0.20293025622100208,0.2762826019425307,0.9492910644206263,0.19246391507389435
Extra_Trees,0.2856850277454042,0.9523397959942309,0.202708384500151,0.26374233022969884,0.9537898798633722,0.18357436256294507
Gradient_Boosting,0.2830831488280968,0.9532039741959106,0.1982737660257008,0.2676455718588553,0.9524119899548975,0.18597180812347375
XGBoost,0.2858422354364683,0.9522873283364109,0.19872847450136985,0.2677947292763786,0.9523589340982166,0.18595094096581666
LightGBM,0.276561537956875,0.9553352919523687,0.19574338596115437,0.2741207267079511,0.9500815411653915,0.1900158667639973
SVR,0.3853050587294038,0.9133057371518962,0.2799570552559422,0.35477031158914046,0.916387355699347,0.2528527301004542
