feature,correlation_score,rf_score
wl_lag_1,0.966995954382526,0.9547403463429276
wl_lag_2,0.9390748912560017,0.0008647432013982432
wl_lag_3,0.9043690064170502,0.005232299567791222
wl_max_7,0.8938213173893684,0.0011221348350044485
wl_ma_7,0.8908518482332782,0.001914083579460258
wl_min_7,0.8772913621956053,0.0009965094211578213
wl_ma_14,0.8259554022929947,0.0009501428082015406
wl_lag_7,0.7685765777282321,0.0006802387063067192
wl_ma_30,0.7634601521149902,0.0009514186565577564
wl_lag_365,0.6895188712679338,0.0015720115278706616
wl_lag_14,0.6317974683670461,0.001005816914193074
season,0.5742744466147378,4.69733001523133e-05
cos_doy,0.5566641801150511,0.00368305390241477
sin_doy,0.5288842563547396,0.0017894167858663946
wl_lag_30,0.5249566546472503,0.0018559677751040266
rain_ma_14,0.4028423547658702,0.0007196439513680621
rain_ma_7,0.3804003129339687,0.0006105851865648304
precip_evap_interaction,0.34328082826100026,0.0006507817001654152
precipitation_sum,0.33018267532427287,0.0006788621660310957
month,0.3278312766531937,0.000354497405524036
wl_std_7,0.2911214486798639,0.0016035701807924321
et0_fao_evapotranspiration,0.24065839624504873,0.0008036525775424073
wl_delta_3,0.22117081699880398,0.0013349929589807634
temp_ma_14,0.20754882535341931,0.0009321464304549038
rain_temp_interaction,0.19637125096983052,0.00026366729672254344
rain_lag_1,0.193008504739036,0.00022919711682538725
rainfall,0.18980621599576125,0.0013862485543614134
rain_lag_3,0.18448295213399696,0.0003824586537492259
wl_delta_1,0.17208866826288863,0.00806808880749207
temp_ma_7,0.16528418359384195,0.0004995182077151255
temp_lag_3,0.1438605429600904,0.0005659346555839369
temp_lag_1,0.12321860327281044,0.0008025019947362121
temperature_2m_max,0.11223536505939449,0.001617637130304978
rain_ratio,0.011873147276539875,0.000634739250034301
rain_delta_1,0.000726940839671275,0.00045611845064399937
