model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.13021904281303082,0.9534014422718343,0.10026753370314938,0.16230413222121434,0.9554893524946533,0.1101891102466572
Ridge_Regression,0.1301499143161189,0.9534509040579565,0.1002271864524853,0.16250483582450262,0.9553792016226976,0.11020345625900939
Lasso_Regression,0.17855071111633516,0.9123914190102983,0.14175039178812057,0.22410253235416963,0.9151409264038782,0.16102606294952157
ElasticNet,0.15780316639539785,0.9315686820710077,0.12250795079995684,0.20257066141026844,0.9306641489917106,0.14037697421279982
Random_Forest,0.13892739206283813,0.9469605216440468,0.10679866878727426,0.16542325451262532,0.9537621235964137,0.11665529820555415
Extra_Trees,0.14014748163715188,0.9460248231497951,0.10748755396227154,0.16618471088793144,0.9533354706597231,0.11662070379405495
Gradient_Boosting,0.13789897878794624,0.9477428671835703,0.10688253841801766,0.16303780354116507,0.9550860356630145,0.1154358712949958
XGBoost,0.13133383012607905,0.952600179454137,0.10111236724579971,0.16419771582642373,0.9544446926852048,0.1136577587096107
LightGBM,0.137345974273396,0.9481611514401038,0.10623351732109458,0.1652964473455108,0.953832984816602,0.11635917538280253
SVR,0.19898579359525922,0.891190298076225,0.15288689008971534,0.24651524908097072,0.8973184687121301,0.18113118795727237
