feature,correlation_score,rf_score
wl_lag_1,0.9691621115162817,0.9514864936977506
wl_lag_2,0.9469038843182682,0.001053549542073471
wl_max_7,0.92283121242662,0.0005524725923566814
wl_lag_3,0.9187720739505655,0.006834601851081785
wl_ma_7,0.9073010070528713,0.002371787458536589
wl_min_7,0.8760181116508371,0.0009662396486536435
wl_ma_14,0.8460830933624928,0.0006781296283867843
wl_lag_7,0.8010087281359439,0.00042714912245342515
wl_ma_30,0.7739768304077828,0.0010208708986036085
wl_lag_14,0.660853503136707,0.0007531593311185022
wl_lag_365,0.6393908231202199,0.0009631214287396627
season,0.6229897981752672,3.762835360008957e-05
sin_doy,0.567865724655548,0.0005432268115620423
wl_lag_30,0.5347522935979503,0.0007818256085413043
cos_doy,0.49756058177335993,0.002001210283761895
wl_std_7,0.4487071987535118,0.0017850709704676716
month,0.3713695288187779,0.00018933141894598524
rain_ma_14,0.2987906620435527,0.0004433451029606178
precip_evap_interaction,0.2905048237146303,0.00043684099383067257
precipitation_sum,0.2828447301987668,0.0005214823409807933
rain_ma_7,0.2517262431946092,0.0004629638851640153
et0_fao_evapotranspiration,0.22730047043767573,0.0003330041024684419
wl_delta_3,0.17100725987666715,0.0016307812624357383
temp_ma_14,0.14899209054870982,0.0004192010342383201
wl_delta_1,0.12680296797548263,0.01966003980732194
rain_temp_interaction,0.11950403414826749,0.0001711380944494884
rain_lag_3,0.11833000008613123,0.0003272725132103334
rain_lag_1,0.11705499967938197,0.00017141578910083918
rainfall,0.11413998534880851,0.00029327148675271827
temp_ma_7,0.1092960802464164,0.0005050799651202373
temp_lag_3,0.09369182873486351,0.00043925049451770616
temp_lag_1,0.07260286709338601,0.0008154588798235693
temperature_2m_max,0.06164878819622371,0.0002951724807078885
rain_ratio,0.009979186270379489,0.0003277833987986766
rain_delta_1,0.0010097293638264614,0.00030062972148424936
