model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.3324668083385029,0.9555195428603531,0.18758317952248693,0.3169007272699936,0.9609540685258299,0.18137649581112764
Ridge_Regression,0.33226101668929375,0.9555745912044504,0.18680547863348818,0.3174195245759809,0.960826119906018,0.18061050547543608
Lasso_Regression,0.39784033092556714,0.9363072106853395,0.23828878749606863,0.3841454374587828,0.942625267360291,0.23455320410514302
ElasticNet,0.3853477337172343,0.9402444467220017,0.22203674113372623,0.37401110507988516,0.9456125983694701,0.22499698098138357
Random_Forest,0.271379269736682,0.9703635628302594,0.1751020854841624,0.2966033712705238,0.9657956389500562,0.18367165226818372
Extra_Trees,0.2658163447553989,0.9715661271535311,0.16955819028827995,0.29462710425796296,0.9662499274569079,0.18288272578561557
Gradient_Boosting,0.2711882147470688,0.9704052771149869,0.17298937293386885,0.29394997900130415,0.9664048810594557,0.1864210823796422
XGBoost,0.2725020335742392,0.9701178288589413,0.17328383507908868,0.3062193630975664,0.963541851147719,0.18696046221861512
LightGBM,0.28439356254720993,0.9674529091091507,0.17535796115101007,0.3191223994490452,0.9604046766915647,0.19655957896654128
SVR,0.41738251017655925,0.929896266654506,0.2783940650477342,0.39909134996159007,0.938073869207863,0.2605114877643735
