feature,correlation_score,rf_score
wl_lag_1,0.9712903655530991,0.9556990635854978
wl_lag_2,0.9518886161536119,0.0017112758615938598
wl_lag_3,0.9272459723454055,0.005900626994084483
wl_max_7,0.9271579155009244,0.00040077390633299855
wl_ma_7,0.9181357273674727,0.0016147382985275214
wl_min_7,0.8976667024543385,0.000524201920284089
wl_ma_14,0.8657608388502562,0.0006176159888158627
wl_lag_7,0.8245803473185934,0.0003381007731892221
wl_ma_30,0.7906930175523014,0.0009914320006522192
wl_lag_14,0.7025956265154599,0.0006340098483945977
wl_lag_365,0.6654730110431268,0.0006149443559652468
season,0.6308869856397706,2.7883614032455138e-05
sin_doy,0.5568846659477997,0.0006183659265437129
cos_doy,0.5398900856529709,0.0018965832136995972
wl_lag_30,0.5393408642562167,0.0006699445450865626
wl_std_7,0.48268227881936937,0.0013326589105477045
month,0.35290589874248396,0.00014582685185900531
rain_ma_14,0.28517521813760743,0.0004712029893267115
et0_fao_evapotranspiration,0.2754616143753669,0.0004686497346044561
precip_evap_interaction,0.2603988337209576,0.0003725456076222135
rain_ma_7,0.24688678384233323,0.000388460255537129
precipitation_sum,0.23776373844610368,0.0006187390409317026
temp_ma_14,0.189427167281728,0.0003936179071842007
wl_delta_3,0.15175884414005641,0.002118014547473173
temp_ma_7,0.14804498149492076,0.000582052540852218
temp_lag_3,0.12827211449761716,0.0004012304255356881
rain_temp_interaction,0.12156392876780786,0.00022954779967910272
rain_lag_1,0.11736383460394659,0.00019978808871384972
rain_lag_3,0.11650341318989177,0.00032741741481128817
rainfall,0.11237058741905212,0.0006667848497174675
wl_delta_1,0.1119121899972076,0.017616212165761896
temp_lag_1,0.10692797937094128,0.0003692758802275696
temperature_2m_max,0.09631097261135681,0.0004036789146375587
rain_ratio,0.005989093216294062,0.00024383397630186918
rain_delta_1,0.0003874084715258263,0.0003909012659750101
