model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.4817899217375324,0.942181965013535,0.255137932296461,0.3942396620997595,0.9573408010332187,0.22340516487995174
Ridge_Regression,0.4830787292356579,0.9418722201196317,0.25489039853952195,0.3949827204824786,0.9571798423539428,0.22313525407491763
Lasso_Regression,0.552154611342513,0.9240602238491693,0.3179836389466871,0.45683771061342654,0.942718291708852,0.27083034603193135
ElasticNet,0.5589919545713568,0.922167851317209,0.31875622146814214,0.4589398023389171,0.9421899271165122,0.27096384710999666
Random_Forest,0.3945235611139434,0.9612301791073067,0.22735257443304754,0.34120102274441727,0.9680469207189261,0.21310662508609413
Extra_Trees,0.3858296938434519,0.9629200446761946,0.22496044131891352,0.3372272469114468,0.9687868655981466,0.21238758778585015
Gradient_Boosting,0.3927103769314272,0.9615857233379473,0.2299971400622251,0.32855044933188593,0.9703724186445397,0.20917323888768832
XGBoost,0.39795841423331185,0.9605521544790571,0.2319949516758925,0.33213159908776413,0.9697230264598674,0.2074823957300081
LightGBM,0.39119448012726427,0.9618817159684,0.23505417006077667,0.33905371962562225,0.9684478400539945,0.21540337118596994
SVR,0.5839170598497819,0.9150721297603234,0.3879731309401815,0.45728021330598534,0.9426072694112831,0.3078582225387406
