feature,correlation_score,rf_score
wl_lag_1,0.9724031866360417,0.957966810317394
wl_lag_2,0.9524731285191476,0.0010148137805156298
wl_max_7,0.9319189203053104,0.0005021168839763923
wl_lag_3,0.9273367626956931,0.00795210697157564
wl_ma_7,0.9166104873296355,0.002454276272375641
wl_min_7,0.8881803877551108,0.0006881804280591603
wl_ma_14,0.858331634994158,0.0004984406377024601
wl_lag_7,0.8197944806086843,0.00030293208637062084
wl_ma_30,0.7781654410775963,0.0007824944329330587
wl_lag_14,0.6795350380818169,0.0006892228033270736
wl_lag_365,0.6751258050063562,0.0007521506636539557
season,0.5967504432078727,4.289720260620807e-05
cos_doy,0.596604468609916,0.0017278507847703097
rain_ma_14,0.5581179606708307,0.0006633785412571473
wl_lag_30,0.5291453307681219,0.0013019990671384795
sin_doy,0.5206227372665316,0.0006194566403258931
rain_ma_7,0.4558281319178207,0.0005783148720475672
wl_std_7,0.43718493085834575,0.0011773202067997379
precip_evap_interaction,0.35852932937782056,0.000544927839309401
month,0.334425384679691,0.00013492618435485232
precipitation_sum,0.3287200503045893,0.0006240334248255299
temp_ma_14,0.31813404112160754,0.0003334663483957738
et0_fao_evapotranspiration,0.291095925937088,0.0004434677017356672
temp_ma_7,0.27766292797079895,0.0003574208704107394
temp_lag_3,0.2529892140346894,0.0002791613570543725
temp_lag_1,0.23102484332095424,0.00034938837212427097
temperature_2m_max,0.21916021971442054,0.0002527423632544031
rain_temp_interaction,0.2137962770864063,0.00033573161071396
rain_lag_3,0.20750820499684508,0.0005044345986047241
rain_lag_1,0.2032289089329348,0.0005100301999586055
rainfall,0.20210896525126762,0.0004692214208814866
wl_delta_3,0.163472574167749,0.0011116508935776748
wl_delta_1,0.11944340003640536,0.01312758560068811
rain_ratio,0.040580757026851794,0.00035431841598627673
rain_delta_1,0.0020967088851848027,0.0005527302052952332
