model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.315589057817434,0.9483783814799248,0.17208532308480484,0.3094826064441092,0.9450255057001177,0.16686645878669057
Ridge_Regression,0.3158806972869493,0.9482829291359908,0.1716836778992224,0.30939791119626,0.9450555910180977,0.16608396796388636
Lasso_Regression,0.36820853409935383,0.9297291116898351,0.21847073326660355,0.34624315760316365,0.9311900644829532,0.2042780038589038
ElasticNet,0.360688090683772,0.9325702811027845,0.21191484027037708,0.33961793828322556,0.9337981701341403,0.1945955710041718
Random_Forest,0.24096668338895447,0.9699044874736459,0.1555541367220605,0.2866803167777462,0.9528279768691018,0.1606252415342008
Extra_Trees,0.24875064410778877,0.9679287290153998,0.1575046911930352,0.28547300387233815,0.9532244566249621,0.161064448494456
Gradient_Boosting,0.23545932494356825,0.9712644487694095,0.1538885422335492,0.28331644558405444,0.9539285033528054,0.16163466687296757
XGBoost,0.24072599834250752,0.9699645781234533,0.15493940327904215,0.27974183243809825,0.9550837405054569,0.15741485447809925
LightGBM,0.2469710307374582,0.9683859764859971,0.155524436343275,0.2836778561775784,0.9538108868332017,0.16318818438929744
SVR,0.3633599023391055,0.9315676043692348,0.2262486900517665,0.3306354163438554,0.9372537905756444,0.2089646303660445
