feature,correlation_score,rf_score
wl_lag_1,0.9492131945601099,0.9218554250239006
wl_lag_2,0.9092474453931243,0.002769551305734124
wl_lag_3,0.8654491128323002,0.0034299012142256545
wl_ma_7,0.8469866157683283,0.0033878357527936075
wl_max_7,0.841285361204816,0.0019297397897481386
wl_min_7,0.8181755452727474,0.0015835005700102188
wl_ma_14,0.7441900584714306,0.004187529131511316
wl_ma_30,0.7129161530671762,0.0033473332376879688
wl_lag_7,0.6779184233791625,0.002832366325986985
wl_lag_365,0.6635775700966625,0.0033709502967050487
season,0.6376354676642823,0.0006733023677640312
precipitation_sum,0.6141599276524342,0.0027690859836462284
sin_doy,0.5973997145417794,0.002085219705175096
wl_lag_30,0.5515926476651066,0.0020379160930090266
precip_evap_interaction,0.5444459760575047,0.0013498319102715644
rain_ma_14,0.5041166458387756,0.0010960267756777392
month,0.4864940106160486,0.00036977837281780324
rain_ma_7,0.47479890132355906,0.0006589074227960615
wl_lag_14,0.4692917549951607,0.0015985436550342252
cos_doy,0.365665856301917,0.004074938038354701
rain_lag_1,0.2886777896807652,0.00017746436137785858
rainfall,0.2881713461044399,0.002560065177930227
rain_temp_interaction,0.2869715966185854,0.00015024622978337932
rain_lag_3,0.28656778495309976,0.00043540242346463287
wl_delta_3,0.2293958730289795,0.0012364516383500358
temp_ma_14,0.2094853609033143,0.0014761853909983171
wl_delta_1,0.1981075770579004,0.017577490406234086
et0_fao_evapotranspiration,0.17914810386099156,0.002211686641580703
temp_ma_7,0.17813275177047275,0.0013511916391077486
rain_ratio,0.17072401413386906,0.0008623177471854844
temp_lag_3,0.1346923405915869,0.0009331254395148024
temp_lag_1,0.12050110506239085,0.0014788819416252448
temperature_2m_max,0.11089477578209025,0.0013141646485822025
wl_std_7,0.009805617959119687,0.002131689170191486
rain_delta_1,0.0014520739658627055,0.0006959541712236723
