feature,correlation_score,rf_score
wl_lag_1,0.966287990218013,0.9466687267321261
wl_lag_2,0.9434372416503645,0.0018454514065736716
wl_max_7,0.9204361421309405,0.0005028413775721171
wl_lag_3,0.9148457045098531,0.011886775851848365
wl_ma_7,0.9046017230938763,0.0015296090546244104
wl_min_7,0.871488541916042,0.0005000686765297103
wl_ma_14,0.8428363603759097,0.000602776955050181
wl_lag_7,0.7968201912960937,0.0005536880197756018
wl_ma_30,0.7619766780204212,0.000578668678917135
wl_lag_14,0.6531427415200752,0.00055987864727853
wl_lag_365,0.6306398825146954,0.0011761152901450958
season,0.622009211006261,0.00014515248443646236
sin_doy,0.559062636030007,0.0008664262321585825
wl_lag_30,0.5055243144145076,0.0008742537573932423
cos_doy,0.4959004546955499,0.0020793504927457056
rain_ma_14,0.46306367677775007,0.0005842150051636136
wl_std_7,0.4391927252048482,0.0013244809202066896
rain_ma_7,0.3745684206053426,0.0006701012557631556
month,0.35195032772160967,0.00018503976795243904
precip_evap_interaction,0.2760111726725895,0.0006467158347613243
precipitation_sum,0.25874992146039677,0.0005553972004852086
et0_fao_evapotranspiration,0.2333087692329486,0.0004761823613020398
temp_ma_14,0.19507223078416577,0.0005818419771276118
rain_temp_interaction,0.16793090222513857,0.0003125695214166072
rain_lag_3,0.16474480773183692,0.00046213157343091247
rain_lag_1,0.16317673626950036,0.0002735564367013476
rainfall,0.16297971885441048,0.0005414581227190461
wl_delta_3,0.1622771159056456,0.0019623847503116723
temp_ma_7,0.15553789126365805,0.0005136677865648225
temp_lag_3,0.13307676711690403,0.0009075634112175852
wl_delta_1,0.12088746603201485,0.017920638548473995
temp_lag_1,0.11613094543479377,0.0004973036310330211
temperature_2m_max,0.10812463437699825,0.000353250354951554
rain_ratio,0.0030986834307191605,0.00038827638126951667
rain_delta_1,9.45343466909751e-05,0.000473441501972993
