model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.3122548184879636,0.9485893890156789,0.17565449868138766,0.27206514436903284,0.9621452519117638,0.16197112781953313
Ridge_Regression,0.3122566155725641,0.9485887972587055,0.17509165968640578,0.271913104036628,0.9621875494307217,0.161264414407539
Lasso_Regression,0.36476270735868394,0.9298455331349113,0.22049037901115506,0.3287267525028271,0.9447357032697672,0.2005705838814625
ElasticNet,0.3594456464220672,0.9318758771766297,0.21249095072548407,0.320280233979448,0.9475392103665352,0.19255185641644457
Random_Forest,0.2774139914862417,0.959421948423651,0.17016630826606294,0.24737005166482423,0.968705444409439,0.161357597492739
Extra_Trees,0.27037014022960854,0.9614564315465206,0.16824888896859422,0.2379220764668826,0.9710503023688078,0.15729992585957944
Gradient_Boosting,0.2626070730247229,0.9636380382288803,0.16834898212075394,0.2410925439659945,0.9702736143179876,0.1597316158725762
XGBoost,0.27001167611263105,0.9615585680256575,0.16923846123582226,0.2548729330937159,0.9667782900067233,0.16198832092432525
LightGBM,0.27449818880841964,0.9602704693878701,0.17285726197747703,0.23990505125768524,0.9705657256504061,0.15555667160630066
SVR,0.37887038895286873,0.9243139578546281,0.24939400555122732,0.3656175624834627,0.9316358140256881,0.2529675528704937
