feature,correlation_score,rf_score
wl_lag_1,0.9683589308458864,0.9538692437897737
wl_lag_2,0.9426575414495658,0.0009730661810854364
wl_lag_3,0.9152067855517353,0.0022164050383862155
wl_max_7,0.9128502956935249,0.0010910845830362807
wl_ma_7,0.9066415396191757,0.0013704756333560821
wl_min_7,0.8857033672320708,0.0012200110130723921
wl_ma_14,0.8497162411868789,0.0018151481927712486
wl_ma_30,0.8098879088602101,0.0007888292111175616
wl_lag_7,0.8036355910497447,0.001600285506318065
wl_lag_365,0.7779027702169259,0.0022051242236973932
season,0.7480226285601917,0.0001668755652504103
precipitation_sum,0.7223064516564968,0.0015119191566901515
sin_doy,0.70981346058019,0.002399113509168542
wl_lag_14,0.676411086220681,0.001162284748600896
wl_lag_30,0.6337368521170843,0.001117750936855103
precip_evap_interaction,0.6336888187802527,0.001086173982424078
rain_ma_14,0.6106920413684352,0.0008358895368249017
rain_ma_7,0.5626299868816077,0.000797421566243401
month,0.5232919592387361,0.0004823555142504768
cos_doy,0.36741366129842296,0.0029952523743212623
wl_std_7,0.33680848260164215,0.0013892034901880385
rainfall,0.33047328463464043,0.0014402892337853567
rain_lag_1,0.32722639665915104,0.00017338822896390948
rain_temp_interaction,0.32521264095243935,0.00013863857576521953
rain_lag_3,0.32406295073091673,0.000314647073456074
temp_ma_14,0.23105818828155494,0.0007615747560074938
et0_fao_evapotranspiration,0.18767060390153933,0.0011766367443158785
wl_delta_3,0.18443188250549938,0.0013664480541168444
temp_ma_7,0.18002837440177297,0.0006969988096838351
wl_delta_1,0.1656017917198861,0.008131102498165146
temp_lag_3,0.1288744470751302,0.001000173618218553
rain_ratio,0.12755929821984738,0.000793538643608017
temp_lag_1,0.10808602178935042,0.0012540426808306708
temperature_2m_max,0.09862929527918703,0.0013694195554573177
rain_delta_1,0.003436893373431143,0.0002891877741940472
