model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.18973560751473678,0.9322366254311144,0.10488252831555088,0.19247095297717423,0.940703030307789,0.10400308810120588
Ridge_Regression,0.1898078862448207,0.9321849874320192,0.10492035020107077,0.19254162922500725,0.9406594740545702,0.10404627594907129
Lasso_Regression,0.23503134098690875,0.896020219097014,0.15677069437311514,0.23949737595277829,0.9081871168759258,0.153929597359461
ElasticNet,0.21705052095722516,0.9113213636556172,0.13616569955277388,0.2231157180237738,0.9203175939284033,0.13257958934835512
Random_Forest,0.19243042980968403,0.9302980640268821,0.1092181266306772,0.19415794930311625,0.939659006121856,0.10770112231378609
Extra_Trees,0.1914096281431746,0.9310356098495788,0.10966574342529743,0.19727973077628752,0.9377030134010312,0.10837072481690815
Gradient_Boosting,0.19437567950881698,0.9288817289119539,0.10976119521620774,0.1984417027741949,0.9369669972535699,0.11099940927300657
XGBoost,0.18868092273838516,0.9329878851745822,0.10622105570939873,0.19212859032637286,0.9409137947051359,0.10470623257933863
LightGBM,0.19444178892574712,0.9288333443920517,0.10838120467711074,0.1999709756790305,0.9359917376160732,0.10899100443386057
SVR,0.24751926618673914,0.8846771521276688,0.14754226814755528,0.28759322972603535,0.8676087073430369,0.16641068418732113
