feature,correlation_score,rf_score
wl_lag_1,0.9642963007885033,0.9504327712008703
wl_lag_2,0.936388805876665,0.001385059452911166
wl_lag_3,0.9013461185669953,0.008025973067224055
wl_max_7,0.896460437862007,0.000932635103298334
wl_ma_7,0.8875625431934226,0.0018126108398427699
wl_min_7,0.8635816933115658,0.0011824635401828723
wl_ma_14,0.814746746637897,0.0010415990878709814
wl_lag_7,0.7609175580971238,0.0009246930941491322
wl_ma_30,0.738351020099629,0.0007595780770943134
wl_lag_365,0.6665104091751218,0.0013568720601454364
precipitation_sum,0.663288210772241,0.0016380988904382181
precip_evap_interaction,0.6087002566044668,0.0009879947581811353
wl_lag_14,0.5979905167644332,0.0009469854550002774
season,0.5978589066855768,7.21158481511582e-05
cos_doy,0.5435290758703214,0.0028660718099213687
sin_doy,0.5260040746291994,0.00104613788189552
rain_ma_14,0.4993737474358226,0.0010233543527907358
wl_lag_30,0.485498938992503,0.0014279289297164273
rain_ma_7,0.417870296828815,0.0009262268280841778
month,0.3437860608507263,0.0002838703779579863
wl_std_7,0.33960987218759175,0.002752994076612135
temp_ma_14,0.2922537531189413,0.0011645164737098302
et0_fao_evapotranspiration,0.26836503312353477,0.0009309503201870605
temp_ma_7,0.2469509017132814,0.000811245852472244
temp_lag_3,0.21526841487138204,0.0006270541376016537
wl_delta_3,0.2054624061020443,0.001443575846358391
rain_temp_interaction,0.19100703753571147,0.00028309686858392266
temp_lag_1,0.19078959866880904,0.0009336939236621139
rain_lag_1,0.18493553263013943,0.00024764587113635154
rainfall,0.18439806382486257,0.001461553731420147
temperature_2m_max,0.1797125603154878,0.000919780018394124
rain_lag_3,0.17466358770111978,0.0005314690518778382
wl_delta_1,0.15637303505297934,0.007274881302946359
rain_ratio,0.00474887269549949,0.0010056402189936285
rain_delta_1,0.0013258248188471784,0.0005388616503176567
