model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.18903798471341365,0.9470392372740615,0.12289703834907266,0.15601150682565085,0.9568942121254028,0.11269733240399811
Ridge_Regression,0.18895110550586347,0.9470879061358551,0.12280032064257887,0.15603410183671515,0.9568817252735826,0.11264766793630625
Lasso_Regression,0.24424004990666398,0.9115923526310906,0.17307849384947613,0.21367091237296346,0.9191438360399017,0.16226594720167625
ElasticNet,0.22659587622073116,0.9239043068280873,0.15419796315603257,0.1961806380415195,0.9318392108758982,0.1463639621087762
Random_Forest,0.1936704024647942,0.9444118035450023,0.13114621193223358,0.17239166746779952,0.9473673950287465,0.12538068885169418
Extra_Trees,0.1904950165948958,0.9462196887488272,0.12928492523833712,0.16730891834981235,0.9504252528882821,0.12110493722281697
Gradient_Boosting,0.1941112572420851,0.9441584430551601,0.132589141091544,0.1738101327636268,0.9464976932443647,0.12559930123132046
XGBoost,0.19277047931341662,0.9449272037210759,0.13017817366076576,0.16870290554294534,0.949595716066726,0.12234000946512286
LightGBM,0.19378115525372694,0.9443482077858224,0.13132993467485876,0.17330454380365568,0.9468085017414529,0.12706249605480466
SVR,0.2522312156206317,0.9057125827658656,0.17528043017157038,0.23883987245030536,0.8989733422288417,0.17386357527751883
