feature,correlation_score,rf_score
wl_lag_1,0.9609825318474059,0.942527206703257
wl_lag_2,0.9324196486484436,0.002461091170826028
wl_lag_3,0.896243492235754,0.007866161169082996
wl_max_7,0.8944439787387212,0.000998200692952564
wl_ma_7,0.882291631315767,0.0022058224667792195
wl_min_7,0.8544076377286187,0.0012126128272687239
wl_ma_14,0.8105220736193985,0.0009917535046302462
wl_lag_7,0.7512302144381453,0.0007915761508588468
wl_ma_30,0.7395075283717863,0.0016173905668137704
precipitation_sum,0.6495466482112768,0.0016018413986986359
wl_lag_365,0.6356808576626757,0.002065381827885306
wl_lag_14,0.596553277657487,0.0013054240540210172
season,0.5723441918519855,6.0646548179767375e-05
precip_evap_interaction,0.5680350668689799,0.0013845722638693653
cos_doy,0.5659348408743969,0.0020681706406657056
wl_lag_30,0.504976999924709,0.0017698843079937915
sin_doy,0.5027974613714108,0.001431981962228379
rain_ma_14,0.46166342431636903,0.0011664206217922284
wl_std_7,0.42136290349309174,0.0023068156290816286
rain_ma_7,0.4078999874777174,0.0012799861888521523
month,0.3192992684414314,0.00029557350751348164
temp_ma_14,0.3190270681831428,0.0007476378006160806
et0_fao_evapotranspiration,0.2797650932602615,0.001296314747497265
temp_ma_7,0.2783186001494721,0.0007388461617659645
temp_lag_3,0.2600354330327466,0.0008474656947433243
temp_lag_1,0.23524495536352844,0.0010064187286705122
temperature_2m_max,0.2228526797314568,0.0010484966650680472
rain_temp_interaction,0.20737972451758271,0.00040513693940302304
wl_delta_3,0.20033777261585586,0.001987215783395048
rain_lag_1,0.19416245009524655,0.00044065466897248885
rainfall,0.19400551182829043,0.0008810034893252137
rain_lag_3,0.1869614823847513,0.0006370069671679382
wl_delta_1,0.1488985022785923,0.01082880797033661
rain_ratio,0.0022671417361261716,0.0006841910033418065
rain_delta_1,0.001599434879493015,0.0010422891764459781
