model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.31398139077167,0.9434557983844014,0.19265601514565506,0.297572595815899,0.9332760507190029,0.1920706862571202
Ridge_Regression,0.3139369863220276,0.9434717906481631,0.1926083872157789,0.29754124777459495,0.9332901081622843,0.19198467359478885
Lasso_Regression,0.36661986189926027,0.922907480786916,0.23996270046531126,0.352739712901656,0.9062428082328243,0.23658114640658306
ElasticNet,0.3518583640373153,0.928990571567858,0.22491279792880567,0.33683723788643094,0.9145059144470508,0.2233957723190264
Random_Forest,0.29799156910733315,0.9490682952564566,0.199898794794383,0.30046487235058067,0.9319726916297569,0.21264254016298564
Extra_Trees,0.2926362594926237,0.9508824684643449,0.19462643612954952,0.2929203839015347,0.9353460495705971,0.20326876081767992
Gradient_Boosting,0.29659893691626815,0.9495432307848226,0.20135152042498583,0.2935038349561347,0.9350882321828103,0.2021846362858717
XGBoost,0.3036409216466125,0.9471188537087398,0.20472707057092462,0.30194762836984845,0.9312996226928419,0.21451107811980427
LightGBM,0.29943395401467093,0.9485740469377272,0.20202728599645808,0.2987576366322982,0.9327435551317347,0.2098945966068321
SVR,0.38759189075632156,0.9138352518526996,0.2702211007570072,0.38424258458961447,0.8887482461027956,0.27459807456442564
