feature,correlation_score,rf_score
wl_lag_1,0.9627179446579223,0.9411701569245388
wl_lag_2,0.9381977446715983,0.0010901625211419633
wl_max_7,0.9130474049916544,0.0010290525910264363
wl_lag_3,0.9069591080635472,0.014179509340147087
wl_ma_7,0.8948858692660049,0.0015389125257768968
wl_min_7,0.8571763928036032,0.000887029720988577
wl_ma_14,0.8259884453716453,0.00043837745103808524
wl_lag_7,0.77559792383751,0.0006428125946834332
wl_ma_30,0.743071796364499,0.0004986158997954715
season,0.6217416754261555,3.945664284227692e-05
wl_lag_14,0.6208936454279821,0.0005391367351402871
wl_lag_365,0.5988041202433494,0.0011792254662790938
sin_doy,0.5296547264199705,0.0005989915716288176
cos_doy,0.5225847320052369,0.0019402300247110724
wl_std_7,0.47831946083264754,0.0019662343103280765
wl_lag_30,0.4742823872641187,0.0005115053373016405
rain_ma_14,0.4606622788375138,0.0009748224731230165
month,0.3813198122668497,0.00016448991269147877
rain_ma_7,0.36840484274243235,0.0007354913800687603
precip_evap_interaction,0.25868036421537555,0.0004318514056005059
et0_fao_evapotranspiration,0.25177802000373645,0.0008262672119288007
precipitation_sum,0.2346487764045967,0.0004581850339650155
temp_ma_14,0.22258230239755472,0.000834565011192513
temp_ma_7,0.17938685778324406,0.0004279465575231516
wl_delta_3,0.16768872586710745,0.002438337464429914
rain_lag_3,0.1572545351792221,0.0005684524281750705
rainfall,0.15655657210736978,0.0007730866013973902
rain_temp_interaction,0.15654162358364124,0.0003796602283386131
rain_lag_1,0.15522169235422195,0.00023336759880113978
temp_lag_3,0.15319308410624652,0.0007466391310036317
temp_lag_1,0.13430048197020372,0.00045510112521874316
temperature_2m_max,0.12411293899899167,0.0008249365098249473
wl_delta_1,0.12268591290168612,0.0196545405990275
rain_ratio,0.025156187887175163,0.0003059309765656456
rain_delta_1,0.0007658238804188371,0.0005169186937563057
