model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.3985015052623216,0.9565547533037846,0.23360445047870107,0.43705612866571825,0.9475153798847566,0.2507321738424252
Ridge_Regression,0.39878746064866144,0.9564923803415176,0.23318312096468832,0.4369503393748136,0.9475407845795488,0.2501636434174094
Lasso_Regression,0.46138570048172517,0.9417614442758285,0.28427764648885107,0.49993648110602545,0.9313267996611215,0.29669299303987273
ElasticNet,0.45480782730153146,0.9434101951956999,0.27591014658796037,0.49115952344604136,0.9337169067374125,0.28800542004443214
Random_Forest,0.3576032440410233,0.9650147295904827,0.22533380538499967,0.34396492851518606,0.9674923215508996,0.22992980298649757
Extra_Trees,0.34798398078639714,0.9668715711789571,0.22373674068375507,0.34137540108576336,0.9679799448334804,0.22847092003317127
Gradient_Boosting,0.36003584981947656,0.9645371341649353,0.22840496363410842,0.3443391399068065,0.9674215506099967,0.24542319513529554
XGBoost,0.36185962687805506,0.9641769468579415,0.22588270303012495,0.3439047841759379,0.9675036888836921,0.23494455288051241
LightGBM,0.3532562551837493,0.965860114776894,0.22789873031674845,0.3491910419320562,0.9664969907862018,0.243451752228148
SVR,0.424740367687215,0.9506451981572708,0.2808226430283772,0.4978917423364192,0.9318873972742563,0.3375537249302049
