feature,correlation_score,rf_score
wl_lag_1,0.981990223861914,0.9708235247545982
wl_lag_2,0.9682481102013772,0.0012300712577190014
wl_max_7,0.9588220194597167,0.00033761168751262813
wl_lag_3,0.9527377016940493,0.001130344662452253
wl_ma_7,0.9482939711604809,0.0006421158887000487
wl_min_7,0.9277332493460679,0.00026124303564895246
wl_ma_14,0.9109760793682634,0.00025225319041875214
wl_lag_7,0.8892530939313087,0.00021372888027293663
wl_ma_30,0.8375847209955543,0.0002654048945401429
wl_lag_14,0.7879957273720593,0.00036243821562506314
sin_doy,0.6471587662124717,0.00036859459010594434
season,0.6348181131700369,2.296167854706682e-05
wl_lag_365,0.6166943365992313,0.0005143221940947255
wl_lag_30,0.6044994976785577,0.0003125982231221163
month,0.45513914098559793,0.00013534682738912838
cos_doy,0.43896954067464394,0.0009777315708735925
rain_ma_14,0.3359934971206356,0.0002851546555571354
wl_std_7,0.3214927254690807,0.00039933117905832107
rain_ma_7,0.3003449734847045,0.0003343663500872367
precipitation_sum,0.22609716591935772,0.00021028568740580897
precip_evap_interaction,0.22034235378298495,0.0002477796211786375
rain_lag_1,0.1591822047182242,7.28916316912616e-05
rain_lag_3,0.15817750861894284,0.00011874772030991648
rainfall,0.1560495204633347,0.00012249110906118168
rain_temp_interaction,0.15184025803467224,6.456539196354904e-05
et0_fao_evapotranspiration,0.12487303749693986,0.0002892116106002995
wl_delta_3,0.12255680280137876,0.000829585778581304
wl_delta_1,0.10523279454842178,0.017592306003754957
temperature_2m_max,0.09415552783031002,0.00023465573674312862
temp_lag_1,0.08414878785597117,0.00025753710974265605
temp_lag_3,0.06333646173577073,0.0002434227452341627
temp_ma_7,0.05788308620879064,0.00021433700691320825
temp_ma_14,0.022409515350633853,0.00024204582707984833
rain_ratio,0.0054048282434872065,0.00026161820299279225
rain_delta_1,0.0006857651900574408,0.00012937508042412823
