model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.33601902472350326,0.9663801305178502,0.18450835285686565,0.3074557663307545,0.9672223435243851,0.17242669499219374
Ridge_Regression,0.3365150156614327,0.9662808060374056,0.18491599865046254,0.30847876863499235,0.9670038574401105,0.17278927300746127
Lasso_Regression,0.38315328291112283,0.9562867203587937,0.2219225611185797,0.35009205046739844,0.957501156423468,0.20878558340159983
ElasticNet,0.39264042039900304,0.9540951786827285,0.23150314017708845,0.35587036046258896,0.9560866822284106,0.21156899746268001
Random_Forest,0.25535539435767174,0.9805840626220377,0.17445386994891693,0.23942825395303485,0.9801224245378982,0.1603742315887851
Extra_Trees,0.25847043042874696,0.9801074700194147,0.1751202321501209,0.23066960603613998,0.9815501278169374,0.15822549322525853
Gradient_Boosting,0.23899100776098497,0.9829928551630671,0.17038994514311193,0.21945169933703526,0.9833009982437518,0.15545560714725595
XGBoost,0.24864269072427336,0.9815914456946535,0.1703431711358539,0.2258519895298699,0.9823127442628884,0.15645773482901637
LightGBM,0.25564995223713066,0.9805392433933865,0.17385572650413988,0.24058271918858973,0.9799302726573791,0.1602665126594386
SVR,0.38319626130705653,0.9562769131505959,0.25362140808765044,0.3206028375060617,0.9643592087116122,0.22234996766970527
