feature,correlation_score,rf_score
wl_lag_1,0.9565024742340148,0.936879279511881
wl_lag_2,0.9210934771769633,0.0018962469375558705
wl_lag_3,0.8766086679871053,0.013320566788090162
wl_max_7,0.8698685782253494,0.0009276220983107846
wl_ma_7,0.8561732398077004,0.0022417032575724883
wl_min_7,0.818688909146897,0.0012142362771144803
wl_ma_14,0.7598189872020842,0.0012020778686431721
wl_lag_7,0.6941429356745166,0.0008341919116413675
wl_ma_30,0.6716363535148077,0.0010819904128990812
precipitation_sum,0.6305016983029286,0.002601844921734081
wl_lag_365,0.598386058940168,0.0018320990708380971
precip_evap_interaction,0.5438504104242036,0.001970893888165755
season,0.5047142463885881,0.00016018397436538609
cos_doy,0.49665443633292716,0.0022141678938310465
wl_lag_14,0.49012940365481633,0.0009126493171783903
sin_doy,0.4778933729579456,0.0008727061517530724
wl_lag_30,0.4230178259355812,0.0014154050735956047
rain_ma_14,0.415154891750932,0.0013415826154559122
rain_ma_7,0.3626069216568051,0.001020248825467868
wl_std_7,0.33524282618092055,0.00434526343844235
month,0.2786955051568391,0.0003829478972691318
temp_ma_14,0.2703017444138477,0.0007440496258863044
wl_delta_3,0.24098708554108972,0.0017225015142411763
et0_fao_evapotranspiration,0.2366279852795115,0.0005305783083186216
temp_ma_7,0.23206667375407725,0.0005033562053801513
temp_lag_3,0.21527591852785152,0.0007011083756423474
temp_lag_1,0.19144521082271318,0.0007018932816383908
wl_delta_1,0.18145235300536092,0.012127600341594281
temperature_2m_max,0.17839547375197595,0.0012400151691808394
rain_temp_interaction,0.1763353647442831,0.0003401454360258342
rain_lag_1,0.16067343505530246,0.00030183977953067757
rainfall,0.1600628850375044,0.0007192163081223075
rain_lag_3,0.15418082411727702,0.0004263401795718626
rain_ratio,0.023408511665933666,0.0006193875041979963
rain_delta_1,0.0005468919913672732,0.0006540598388642095
