model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.22783249547824652,0.9513313303025996,0.158848264152267,0.2861064616402132,0.9370727518375331,0.17668278217148642
Ridge_Regression,0.22787822647326456,0.9513117905959662,0.15869307550571024,0.28626009133588265,0.9370051539965676,0.17666082045638248
Lasso_Regression,0.3014517838735878,0.9147972018454328,0.21842668099710055,0.35086097892073653,0.9053646159177472,0.23024804592299508
ElasticNet,0.27381908579981407,0.929701578458688,0.1931777399673344,0.3289256512945579,0.9168276649951946,0.20740155853524275
Random_Forest,0.24374237260534246,0.9442967916736233,0.1732752405764502,0.28122497806950175,0.9392017343346117,0.18410531288385754
Extra_Trees,0.23775143854562883,0.9470013938310196,0.16951747959928914,0.2792170446208535,0.9400668285613963,0.18154567734849658
Gradient_Boosting,0.2439224282917351,0.9442144638958958,0.17407786241443848,0.2781324802092747,0.9405315218416539,0.1815953243742564
XGBoost,0.23507875958948646,0.9481862622967098,0.16702575934756997,0.2756365605753582,0.9415940554534017,0.18088376524695757
LightGBM,0.24156665274906983,0.9452868014530039,0.17305731732917667,0.2833555202237661,0.9382770374132512,0.18436617710806136
SVR,0.3331046044172753,0.8959650139988836,0.2317294276616675,0.3564756123830718,0.9023115868273366,0.24116778041915632
