feature,correlation_score,rf_score
wl_lag_1,0.9676231758098711,0.9501884438087859
wl_lag_2,0.9442051717127681,0.001125557648064817
wl_max_7,0.9158943441237618,0.0005793213327593362
wl_lag_3,0.9148483987777918,0.0076512477528260835
wl_ma_7,0.9032895563522428,0.0011073310621711123
wl_min_7,0.8760079012085724,0.0007935999665539363
wl_ma_14,0.8380788272836375,0.0005976032954439299
wl_lag_7,0.7934312859765017,0.0005750789354657664
wl_ma_30,0.7402084729451921,0.0009020297350605304
wl_lag_14,0.6371303103862408,0.0005673921000989885
wl_lag_365,0.6335428449313668,0.0011163911000880637
cos_doy,0.5408112210597557,0.003471742279800668
wl_std_7,0.4634368569682506,0.0018909387556503
wl_lag_30,0.44229762278305723,0.000991562331735615
et0_fao_evapotranspiration,0.3913354516129194,0.000599034932362139
temp_ma_14,0.32883223237095643,0.00044754821342747955
precip_evap_interaction,0.3286031643780851,0.00035922999138827873
temp_ma_7,0.3071735565958841,0.0003861520988826548
sin_doy,0.29827574484635677,0.0009374430720414772
temp_lag_3,0.28910776489914075,0.0003715925866156737
season,0.28204493831258903,5.0627064426239146e-05
temp_lag_1,0.2799071551448945,0.0003089747789772887
temperature_2m_max,0.274528482713626,0.00032657570482808393
rain_ma_14,0.27076297544469535,0.0006717222554747357
precipitation_sum,0.22399104696013056,0.0005464832825656775
rain_ma_7,0.20860517763137787,0.0012500515405757758
wl_delta_3,0.17791804166029637,0.0014274122865858365
month,0.15872727980923734,0.00016798105029973672
wl_delta_1,0.13227508315905148,0.01844184348571138
rain_temp_interaction,0.12902666350245706,0.00017665688728643023
rain_lag_3,0.08704566995035024,0.0004669997183762727
rain_lag_1,0.08570983043620581,0.00031633731880053364
rainfall,0.08325690330695698,0.00041536347673021875
rain_ratio,0.020719939775735656,0.00036738987365540803
rain_delta_1,0.0027637956501814407,0.0004063402764835808
