model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.34967946798349425,0.9457053485016583,0.21513399687675586,0.3772113845260867,0.9360405404686344,0.21784955046101048
Ridge_Regression,0.3497658254535908,0.9456785277807215,0.21477027525957154,0.3773979385524235,0.9359772611207029,0.2174606601725634
Lasso_Regression,0.3969100618983713,0.9300478605460439,0.2579289136496015,0.4315555883243722,0.916283957157175,0.2693628675485104
ElasticNet,0.3863610344594407,0.9337168064397701,0.24605366188045283,0.4232555232385216,0.9194731946338545,0.2550766369009128
Random_Forest,0.33095264325693896,0.9513650478934862,0.21376488671264451,0.330951156053,0.9507662396938503,0.21430027123925643
Extra_Trees,0.33509831856358313,0.9501389658588413,0.21449752840977218,0.31380361605069357,0.9557359559308909,0.2122812166613414
Gradient_Boosting,0.339976025274297,0.9486768423141423,0.2159176136417554,0.32307552597582073,0.9530815861050794,0.21264545118081915
XGBoost,0.3393227167739716,0.9488739011458444,0.21483608884948172,0.3311287139536464,0.9507133969223731,0.21453764219684052
LightGBM,0.3335304745635895,0.9506044498049787,0.21345735152040451,0.34470450590185936,0.9465891950889509,0.21686532855350277
SVR,0.3976346951599759,0.9297922060613828,0.2639272933941538,0.4308925938161819,0.9165409838002772,0.28362155270425427
