feature,correlation_score,rf_score
wl_lag_1,0.9443491641308512,0.9122885866244598
wl_lag_2,0.8999328123597475,0.0019813076626975386
wl_lag_3,0.8520244295407037,0.0023794443136275372
wl_ma_7,0.8327519081849933,0.00288935024386462
wl_max_7,0.8251992189035458,0.0019350298631785464
wl_min_7,0.8020925704334818,0.0014630934491619626
wl_ma_14,0.7209363335632275,0.005947252376791722
wl_ma_30,0.6834163616038507,0.004713356241220669
wl_lag_7,0.6500740924002627,0.00440078610391239
wl_lag_365,0.615470242954886,0.003122264366664218
season,0.5925165879292572,0.0008225829047820914
sin_doy,0.5867169172388337,0.003391129765947978
wl_lag_30,0.508639516785607,0.0013167744532639582
rain_ma_14,0.44637661652515964,0.0009050393222896155
month,0.44618402201681584,0.0007050918115545061
wl_lag_14,0.4277640176755489,0.0017564446444774606
rain_ma_7,0.4104080252733622,0.0008987136204349062
cos_doy,0.3236589753320953,0.004247278521394812
precipitation_sum,0.3170880916474835,0.0012874897679312433
precip_evap_interaction,0.2887332023893186,0.0013135830563579503
rainfall,0.2506659193830898,0.0018963927503484867
rain_lag_1,0.24709494037761728,0.00021296451561506047
rain_temp_interaction,0.244471479801246,0.00028482071506191677
rain_lag_3,0.239280354534964,0.00034380323261977457
wl_delta_3,0.23829296928605556,0.0031389488120427507
et0_fao_evapotranspiration,0.23315055511755964,0.002263126773119894
wl_delta_1,0.21147797332752455,0.022655132915117334
wl_std_7,0.05935311524516442,0.002943492002707265
temperature_2m_max,0.051985464502441375,0.0012224453195766112
temp_lag_1,0.04570780184772244,0.0011152676756448678
temp_ma_7,0.04013403535086957,0.0019433889694967551
temp_lag_3,0.0340959370334555,0.0012353763224469958
temp_ma_14,0.023425005120095703,0.0016908682283222698
rain_delta_1,0.004934373858015393,0.0004661290457029546
rain_ratio,0.0012856249316065837,0.0008232436081635551
