model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.09087194062110479,0.9175986908360881,0.05600469888329992,0.08497600770203806,0.932931820575994,0.05471050507237332
Ridge_Regression,0.09087973307403756,0.9175845580718945,0.05599867042173331,0.08500738806048586,0.9328822768948878,0.05471669530378894
Lasso_Regression,0.1588458937644823,0.7482169492634183,0.11983687825859275,0.16328667511869113,0.7523573957501892,0.1284804990788777
ElasticNet,0.12854725625323074,0.8351077937327512,0.09313411110916847,0.12887992432363246,0.8457254048399231,0.09763828961453437
Random_Forest,0.08989110097772916,0.9193679121278979,0.0538629431963922,0.08424622655958659,0.9340788483458854,0.05460594079719819
Extra_Trees,0.08818549914998773,0.9223987242412934,0.05358209167848474,0.07836179504303908,0.9429661587609761,0.051880099973825027
Gradient_Boosting,0.09016194669977654,0.9188812842743174,0.053828326833110576,0.08164256909072345,0.9380905144011413,0.05243910567682993
XGBoost,0.0894469307706052,0.9201627825374809,0.054497511923080014,0.08260512824422432,0.9366220933947632,0.053635292914397954
LightGBM,0.09049590637792508,0.9182792442220066,0.055006742077029165,0.0790049031449605,0.942026174278455,0.05170484262776374
SVR,0.1416943576626841,0.7996544872590474,0.09569195788886223,0.12730010136046013,0.849484450124516,0.0910652012684236
