feature,correlation_score,rf_score
wl_lag_1,0.9650375146743394,0.950259133293641
wl_lag_2,0.9374375649069309,0.001814593547345414
wl_lag_3,0.9026551433157456,0.007892146917714627
wl_max_7,0.8943427604055142,0.0011886889652673912
wl_ma_7,0.8896180010623951,0.001206127792464468
wl_min_7,0.8707403189950634,0.0007950168697901465
wl_ma_14,0.825279052254837,0.0007911887110405825
wl_lag_7,0.7669110925532847,0.0006807246493200402
wl_ma_30,0.762175787525544,0.0008326260433837532
wl_lag_365,0.660708748789031,0.0014517003376060362
wl_lag_14,0.6316615598649816,0.0010477543714090295
season,0.5868639739288541,0.00010486001669560244
sin_doy,0.5453477176396248,0.000875870676979928
cos_doy,0.5409867762040579,0.00332951253803936
wl_lag_30,0.5401612654573881,0.0014674892041733718
rain_ma_14,0.3985609804724807,0.0010790308960915433
rain_ma_7,0.34916568037751794,0.0009362002039031557
wl_std_7,0.34691913567952476,0.0019709957697484678
month,0.3405025259609286,0.00034172285393535887
precip_evap_interaction,0.2730304000525428,0.00053433102191691
et0_fao_evapotranspiration,0.2664283414858719,0.0008398895102615937
precipitation_sum,0.24100699704057618,0.0006883939539642723
temp_ma_14,0.22072062849945887,0.001533731646651648
wl_delta_3,0.20476580720134757,0.0019669859292047497
temp_ma_7,0.18114174974825983,0.0014057050065894422
rain_temp_interaction,0.16861437457568437,0.0003408039033270216
rain_lag_1,0.1649607371137939,0.00027202639391336707
rainfall,0.16352303120689904,0.0007989123319787605
wl_delta_1,0.15733342129262612,0.009429985908000862
rain_lag_3,0.1551172665303361,0.0005001828281657014
temp_lag_3,0.15396998801941728,0.0008216735107170513
temp_lag_1,0.13661154018484895,0.0008988875643951825
temperature_2m_max,0.12837528943449159,0.0007068971551066051
rain_ratio,0.004532199583001439,0.0005915436586940246
rain_delta_1,0.0014463406235334924,0.0006046660185636269
