model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.23772308884268062,0.9579006495869874,0.1659253981237227,0.30786108860805755,0.9315307341838258,0.1939910974238816
Ridge_Regression,0.23760292472824848,0.9579431995354826,0.16580836565047832,0.3078519684625808,0.931534790821307,0.1939049716921167
Lasso_Regression,0.29853448726262943,0.9336070931889431,0.2151911827820396,0.3694877644536471,0.9013751871065655,0.24665773000644517
ElasticNet,0.2770363966322881,0.9428249800082706,0.19494211006405343,0.3504203435157282,0.9112916111278158,0.2276355487990116
Random_Forest,0.2466820657403701,0.95466769325845,0.1742785093657418,0.28806969756685,0.9400510994105709,0.18884195843438875
Extra_Trees,0.24462781519102508,0.9554195612142931,0.17247983493851843,0.29092324598865665,0.938857538500603,0.19074551109610077
Gradient_Boosting,0.2506182635828711,0.9532094555267018,0.17809183869534612,0.28933971115963164,0.9395213404697842,0.19209383950417888
XGBoost,0.24453145889639613,0.955454673819082,0.1736328881163019,0.29088769218451405,0.9388724820590688,0.1919403157802607
LightGBM,0.2493397805828471,0.9536856245984671,0.17828506301686947,0.2935602607546433,0.9377440880592772,0.19705532420464886
SVR,0.3836703529445664,0.890339770923185,0.27198468849309027,0.4644128677387301,0.8441902759102039,0.3230145652691104
