feature,correlation_score,rf_score
wl_lag_1,0.9692261706292848,0.9527409628199284
wl_lag_2,0.9483866088435673,0.0017216596039781212
wl_max_7,0.9275530281745954,0.0006536511203139711
wl_lag_3,0.9218245516421647,0.009156200100454504
wl_ma_7,0.9119102926741967,0.002074766542486198
wl_min_7,0.8792926081071801,0.001189083156401088
wl_ma_14,0.8545895375914261,0.00046697898320007
wl_lag_7,0.8114980058787138,0.0003478197967790351
wl_ma_30,0.7827638206049625,0.0005291615659464492
wl_lag_14,0.6776139027380967,0.0004846360609279533
wl_lag_365,0.6550894544971629,0.0009310133307517958
season,0.6235714574670351,1.8089180635767567e-05
sin_doy,0.5615759688571442,0.0005723914711362708
cos_doy,0.5513269739872568,0.001891164493608367
wl_lag_30,0.5504475629366476,0.0005128327780514236
wl_std_7,0.44097870536821526,0.0010206257640979733
month,0.36315195848444565,0.00015780851616294773
rain_ma_14,0.31523236237854346,0.0008046592493670783
et0_fao_evapotranspiration,0.2942874225052431,0.000995288523385971
temp_ma_14,0.24874029217838708,0.0005128387635758694
rain_ma_7,0.2481576703284273,0.001073474624764154
precip_evap_interaction,0.24220544577758293,0.00040797400870831767
temp_ma_7,0.2059207085799366,0.0003107906790633042
precipitation_sum,0.19907376772245428,0.0004384249607793049
temp_lag_3,0.18246218836695627,0.0003809644062494072
temp_lag_1,0.16277107809016692,0.0002924083289471746
wl_delta_3,0.15837929857050462,0.0018105202023335507
temperature_2m_max,0.15201734478920598,0.0003405194815395456
wl_delta_1,0.11617071019931752,0.015789618525973256
rain_temp_interaction,0.11607700285493994,0.0003219610364833651
rain_lag_1,0.10399473981246714,0.0002061778401293456
rainfall,0.10325230071525016,0.00035764667105578433
rain_lag_3,0.10176838457209036,0.00035679416352221884
rain_ratio,0.03205855503992751,0.0002800352426276345
rain_delta_1,0.0002449008943395975,0.0008510580066342796
