model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.3281989055539436,0.9511132318808505,0.17557106741018377,0.3470586249096698,0.9378950690608501,0.1846640370617003
Ridge_Regression,0.32797202872149706,0.9511807972586261,0.17433490373314753,0.34699295026800164,0.9379185713332628,0.1839920764378629
Lasso_Regression,0.3847439037791036,0.9328168187445298,0.22112199003132843,0.4031711365955351,0.9161893390267137,0.23249497289192772
ElasticNet,0.37634565372465917,0.9357177780391558,0.21088504796016605,0.3982870796892049,0.91820762174114,0.2231257993621198
Random_Forest,0.2752040238110853,0.9656262725365691,0.162724550058493,0.28214195345647614,0.9589554274084406,0.17176311315490353
Extra_Trees,0.2795013172717307,0.9645444041501028,0.16158897741041708,0.2975026783734739,0.9543645686695802,0.17352421710654548
Gradient_Boosting,0.27615021663264167,0.9653895021200184,0.16220910222121016,0.2743007984834912,0.9612051083382798,0.17112756848406654
XGBoost,0.2854209726788225,0.963026647279193,0.1665220023258413,0.28671292891266587,0.9576147299718826,0.17264705675853534
LightGBM,0.2725145888804139,0.9662948251809846,0.16370115368042526,0.2807906481131312,0.9593476479137262,0.17305955933068595
SVR,0.34160228433467316,0.9470387041684903,0.21405655887495617,0.3948802320336734,0.9196009001945809,0.24683375619890907
