feature,correlation_score,rf_score
wl_lag_1,0.9700198285246228,0.9539856174575629
wl_lag_2,0.9503646069677968,0.001149911627905058
wl_max_7,0.9273481784677183,0.0006086391534301342
wl_lag_3,0.9255563191063866,0.0102536841162517
wl_ma_7,0.9175436792004926,0.0017008301751303121
wl_min_7,0.8932204082804784,0.0006519605247569518
wl_ma_14,0.8642116322507218,0.0005494676330413428
wl_lag_7,0.8242888143759582,0.0005470835101254193
wl_ma_30,0.7830271534873439,0.0005446433073309256
wl_lag_14,0.6969820690948169,0.0004608760862808934
wl_lag_365,0.6790482992607626,0.0011420406646581408
season,0.6423535278683566,4.3013412101455624e-05
sin_doy,0.6025209113005012,0.000864837987867319
wl_lag_30,0.516061532184331,0.0014200386671575388
cos_doy,0.49042998389887865,0.0017405288080777112
wl_std_7,0.44551326725413354,0.0013968916194836121
precipitation_sum,0.4188704081008278,0.0006161948149303337
precip_evap_interaction,0.40068580009140775,0.0004914128603108707
month,0.3795721716839589,0.000196187093185567
rain_ma_14,0.35821731016877917,0.0006105086896205362
rain_ma_7,0.2711484639824406,0.0008422517592451303
et0_fao_evapotranspiration,0.22640700801428057,0.0004377500593914515
temp_ma_14,0.15654454358678005,0.0009351326979357216
wl_delta_3,0.14615090242012485,0.0024991874854739912
temp_ma_7,0.11288622171343915,0.0004570344381149304
rain_temp_interaction,0.11014775174469932,0.0003703704442532668
wl_delta_1,0.10993089447817048,0.012222004520856066
rain_lag_3,0.10778497161310188,0.0004161719373896899
rainfall,0.10721624747368795,0.00033621977652154744
rain_lag_1,0.10689395291990231,0.0002977441790106463
temp_lag_3,0.09299195744937025,0.0006586869003629601
temp_lag_1,0.07243516778944413,0.0003492276762680648
temperature_2m_max,0.060516104754725124,0.00038828537897476627
rain_ratio,0.04130591762656261,0.00032217717700726913
rain_delta_1,0.0002489317926947228,0.0004933873599858561
