model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.23575225841097622,0.9592022960496083,0.1463306722223017,0.3457359809932111,0.9401655574236736,0.18321315714391093
Ridge_Regression,0.23578427767464225,0.9591912132191951,0.14618472831963542,0.34590258125682904,0.940107878522974,0.18290201947223042
Lasso_Regression,0.28015445112159953,0.9423871907226236,0.18515641475994335,0.4024461391040255,0.9189267427960678,0.22669523640478326
ElasticNet,0.2744100943418974,0.9447255837384636,0.17620141958092497,0.397266918424393,0.921000035857362,0.2180173358869792
Random_Forest,0.21034801834772257,0.9675211346687214,0.14383541227565566,0.29733119402592795,0.9557469670809124,0.1765908706020859
Extra_Trees,0.20678657907586337,0.9686116348796862,0.1411891721382824,0.2861799811957079,0.9590040841889053,0.1722174041815489
Gradient_Boosting,0.19935988110872874,0.9708257613966104,0.1405623852063949,0.2893721657435271,0.9580844083857527,0.17468957031934726
XGBoost,0.20056665031629725,0.9704714962438756,0.13907706627478966,0.28709355589979096,0.958741923209021,0.17298531414394083
LightGBM,0.21290995921702002,0.9667251618218663,0.14796782635274244,0.29779833336095396,0.9556078052841223,0.1787088724570935
SVR,0.2360077891206455,0.9591138072592776,0.16483849612270932,0.3673378393029727,0.9324549659056403,0.2329860189077974
