feature,correlation_score,rf_score
wl_lag_1,,0.0
wl_lag_2,,0.0
wl_lag_3,,0.0
wl_lag_7,,0.0
rain_lag_1,,0.0
rain_lag_3,,0.0
temp_lag_1,,0.0
temp_lag_3,,0.0
wl_ma_7,,0.0
wl_ma_14,,0.0
rain_ma_7,,0.0
temp_ma_7,,0.0
rainfall,,0.0
precipitation_sum,,0.0
temperature_2m_max,,0.0
et0_fao_evapotranspiration,,0.0
sin_doy,,0.0
cos_doy,,0.0
month,,0.0
season,,0.0
wl_lag_14,,0.0
wl_lag_30,,0.0
wl_lag_365,,0.0
wl_ma_30,,0.0
rain_ma_14,,0.0
temp_ma_14,,0.0
wl_std_7,,0.0
wl_min_7,,0.0
wl_max_7,,0.0
rain_temp_interaction,,0.0
precip_evap_interaction,,0.0
rain_ratio,,0.0
wl_delta_1,,0.0
wl_delta_3,,0.0
rain_delta_1,,0.0
