feature,correlation_score,rf_score
wl_lag_1,0.9593724718827638,0.9407819219587512
wl_lag_2,0.9303882988585738,0.002484946140677493
wl_lag_3,0.8941239980363518,0.009678580166745696
wl_max_7,0.8930745168900162,0.0012417963900223788
wl_ma_7,0.881250576660144,0.0018344564978920517
wl_min_7,0.8524269629146614,0.000910296459422185
wl_ma_14,0.8095095607557102,0.00090830301171297
wl_lag_7,0.7502566850594037,0.0009453573124974065
wl_ma_30,0.7330406509233705,0.001237442834551149
wl_lag_365,0.5977537908554444,0.0019349364479399921
wl_lag_14,0.5937861914617398,0.0011129686900215106
season,0.5855889820215752,0.00011386723517256642
cos_doy,0.5295644167054215,0.0028655368666231445
sin_doy,0.5292883835522111,0.0013498752483074345
wl_lag_30,0.4869909377281763,0.0010003276151686184
wl_std_7,0.4498820251520965,0.0032251471714089693
month,0.32202184678901374,0.0003432292496797085
precip_evap_interaction,0.32133818902780487,0.0009912637628874525
rain_ma_14,0.30443841337800603,0.000959535923867333
precipitation_sum,0.30215313144614725,0.0007464914783738718
rain_ma_7,0.2880937639602409,0.0005985645482025837
et0_fao_evapotranspiration,0.27406987363731006,0.0009278205608733495
wl_delta_3,0.19084579976883126,0.0032402537160310502
temp_ma_14,0.18961712982900544,0.0007933841377256303
rain_temp_interaction,0.16614418993890434,0.0003563485872697956
rainfall,0.1607418813736887,0.0006065040336063747
rain_lag_1,0.1596364477818632,0.0004158482570554097
rain_lag_3,0.15007100270905657,0.00039392346624827514
temp_ma_7,0.1492072046854913,0.0007433458543121143
wl_delta_1,0.144900275570288,0.013859148821141108
temp_lag_3,0.13006122838135295,0.0006939167900657607
temp_lag_1,0.110491161058928,0.0006337094727986531
temperature_2m_max,0.09922940537888268,0.000951937331211256
rain_ratio,0.020909071099653717,0.0006937528015449562
rain_delta_1,0.0012814312631274497,0.00042526116019038886
