model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.3385274210896559,0.9341417079652046,0.2182113706406938,0.3642551661484159,0.9248793641158415,0.2308863736329686
Ridge_Regression,0.3385830106915305,0.9341200770036002,0.21809130205020186,0.36435927682750946,0.9248364163209215,0.2308126788716989
Lasso_Regression,0.3857030216389436,0.9145073379226833,0.2517629129428789,0.4218141025428592,0.8992627696149309,0.2736339882154559
ElasticNet,0.3716665814598083,0.920616583849253,0.23830860229095777,0.4051619967653254,0.9070594536497555,0.2574205799190596
Random_Forest,0.33034685128638114,0.937286202210729,0.22025290188979807,0.3465571611718149,0.9320017759080721,0.23389410368261218
Extra_Trees,0.32488606934221537,0.9393424398393841,0.2176590437431591,0.3487925171314628,0.9311217453274372,0.23348330557518066
Gradient_Boosting,0.332699570753809,0.9363897299829682,0.22089645842646366,0.3398836568195558,0.934595387053202,0.2282898912532603
XGBoost,0.3297017829370569,0.9375308855665804,0.21833429090358134,0.34735145570897047,0.9316897205300227,0.22974959056108993
LightGBM,0.33279362384479266,0.9363537600648176,0.224479352608734,0.35214855195114064,0.9297898939007763,0.23479464933299998
SVR,0.4067249268340992,0.9049341933942044,0.2840818348820781,0.4316544167176133,0.8945078378770788,0.2956003750780045
