feature,correlation_score,rf_score
wl_lag_1,0.9614728884764502,0.937385782231819
wl_lag_2,0.9359795141084124,0.0014237363586132989
wl_max_7,0.9138594395774934,0.0007691400915855369
wl_lag_3,0.9036071611605289,0.011121557920081945
wl_ma_7,0.8910172197530418,0.0027609941458197644
wl_min_7,0.8472820307554978,0.0006970393739155356
wl_ma_14,0.8189685564492903,0.0006453920055361566
wl_lag_7,0.7676863017515276,0.000580110631583051
wl_ma_30,0.7365421701856886,0.0005741324798743182
wl_lag_365,0.610002369961503,0.0011790693056135094
wl_lag_14,0.6043200048149018,0.0006645099469117254
season,0.5786995974161815,3.021580048815422e-05
sin_doy,0.5366329559177714,0.0008854336604637878
precipitation_sum,0.5001996155263125,0.0012287812771386087
cos_doy,0.49463138029400056,0.002241200216878746
wl_std_7,0.49338604807017417,0.002198924493547605
wl_lag_30,0.47738477065459617,0.0008247172392136287
precip_evap_interaction,0.4716310925318361,0.0008384901773518122
month,0.34302290202595936,0.00014847406123288002
rain_ma_14,0.3187311133356384,0.0010994989515883161
rain_ma_7,0.26415974570263995,0.0008700055070287542
et0_fao_evapotranspiration,0.23943674768765785,0.0006760257403666059
temp_ma_14,0.17653094845848002,0.0006281798429978026
wl_delta_3,0.17230253643060164,0.002577725147539985
temp_ma_7,0.13835545077517483,0.00036504278857084
rain_temp_interaction,0.12522293743365065,0.00028207562628516323
wl_delta_1,0.12505805423797767,0.02375532218390778
temp_lag_3,0.1242451110635521,0.0007027557533569119
rain_lag_3,0.11542084998790836,0.00066609866818221
rain_lag_1,0.11497589801439019,0.00018937034907293287
rainfall,0.11423241836595645,0.00027548445522260814
temp_lag_1,0.10232173176487178,0.0005238561988047812
temperature_2m_max,0.09099906964078626,0.00039732393604316224
rain_ratio,0.017689802547239904,0.0001788821625448331
rain_delta_1,0.0008672994079320722,0.0006146512708182977
