model,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae
Linear_Regression,0.41861729268774467,0.9336829742234709,0.21999246716541362,0.36715553808934553,0.9411349259892923,0.2023147604913235
Ridge_Regression,0.4193317028568472,0.9334564284711642,0.21946349779702598,0.3670562099046413,0.9411667717300511,0.20157523970781654
Lasso_Regression,0.4910173957765487,0.9087601698074564,0.2723300698347633,0.4169622344404964,0.9240809141035045,0.2425855234760134
ElasticNet,0.491511901871754,0.9085763010803807,0.2599239203083451,0.4278454174192952,0.9200660458607285,0.23908363788645845
Random_Forest,0.3094950388966757,0.9637508276767083,0.18605169053810885,0.3036654678862195,0.9597330863678898,0.18605765720038955
Extra_Trees,0.30351613393289395,0.9651378413790822,0.1817925087695764,0.2954693543188085,0.961877408642545,0.18323643907854525
Gradient_Boosting,0.30971677971273814,0.9636988669053455,0.19179495091363066,0.30915343590299477,0.9582644940472396,0.19649090451658133
XGBoost,0.30873824624498225,0.9639278874896426,0.18635316797154514,0.3039777525396234,0.9596502240978796,0.18758936100974516
LightGBM,0.3128309236945333,0.9629651947536267,0.19341233955628687,0.3203193979460524,0.9551952553384857,0.1971486827054357
SVR,0.5298020593148358,0.8937771388182428,0.37535138233141746,0.5389843749085896,0.873144331565791,0.38819607702985537
